attributes,datatype,date,station,value
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1TXHYS028,3
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1TXHYS028,0
"T,,N,",PRCP,2017-01-01T00:00:00,GHCND:US1TXHYS107,0
"T,,N,",PRCP,2017-01-01T00:00:00,GHCND:US1TXHYS127,0
"T,,N,",PRCP,2017-01-01T00:00:00,GHCND:US1TXTV0001,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1TXTV0001,0
",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1TXTV0001,0
",,N,",WESD,2017-01-01T00:00:00,GHCND:US1TXTV0001,0
",,N,",WESF,2017-01-01T00:00:00,GHCND:US1TXTV0001,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1TXTV0009,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1TXTV0009,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1TXTV0010,3
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1TXTV0014,0
"T,,N,",PRCP,2017-01-01T00:00:00,GHCND:US1TXTV0030,0
"T,,N,",PRCP,2017-01-01T00:00:00,GHCND:US1TXTV0034,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1TXTV0043,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1TXTV0043,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1TXTV0044,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1TXTV0044,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1TXTV0047,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1TXTV0047,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1TXTV0052,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1TXTV0052,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1TXTV0059,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1TXTV0059,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1TXTV0060,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1TXTV0060,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1TXTV0068,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1TXTV0068,0
"T,,N,",PRCP,2017-01-01T00:00:00,GHCND:US1TXTV0087,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1TXTV0090,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1TXTV0090,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1TXTV0096,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1TXTV0096,0
"T,,N,",PRCP,2017-01-01T00:00:00,GHCND:US1TXTV0099,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1TXTV0111,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1TXTV0111,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1TXTV0117,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1TXTV0117,0
"T,,N,",PRCP,2017-01-01T00:00:00,GHCND:US1TXTV0122,0
"T,,N,",PRCP,2017-01-01T00:00:00,GHCND:US1TXTV0135,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1TXTV0149,3
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1TXTV0160,3
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1TXTV0163,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1TXTV0163,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1TXTV0164,3
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1TXTV0171,3
"T,,N,",PRCP,2017-01-01T00:00:00,GHCND:US1TXTV0175,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1TXTV0183,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1TXTV0183,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1TXTV0200,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1TXTV0200,0
"T,,N,",PRCP,2017-01-01T00:00:00,GHCND:US1TXTV0208,0
"T,,N,",PRCP,2017-01-01T00:00:00,GHCND:US1TXTV0218,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1TXTV0219,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1TXTV0219,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1TXTV0262,5
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1TXTV0267,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1TXTV0267,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1TXTV0271,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1TXTV0272,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1TXTV0272,0
"T,,N,",PRCP,2017-01-01T00:00:00,GHCND:US1TXTV0273,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1TXTV0279,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1TXTV0279,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1TXTV0281,3
"T,,N,",PRCP,2017-01-01T00:00:00,GHCND:US1TXTV0290,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1TXTV0290,0
",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1TXTV0290,0
",,N,",WESD,2017-01-01T00:00:00,GHCND:US1TXTV0290,0
",,N,",WESF,2017-01-01T00:00:00,GHCND:US1TXTV0290,0
"T,,N,",PRCP,2017-01-01T00:00:00,GHCND:US1TXTV0292,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1TXTV0293,0
