attributes,datatype,date,station,value
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1MEHN0028,147
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1MEHN0028,140
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1MEWL0008,119
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1MEWL0008,135
",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1MEWL0008,305
",,7,0700",PRCP,2017-01-01T00:00:00,GHCND:USC00174550,97
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00174550,147
",,7,0700",SNWD,2017-01-01T00:00:00,GHCND:USC00174550,686
",,7,0700",TMAX,2017-01-01T00:00:00,GHCND:USC00174550,-39
",,7,0700",TMIN,2017-01-01T00:00:00,GHCND:USC00174550,-122
",,7,0700",TOBS,2017-01-01T00:00:00,GHCND:USC00174550,-39
",,W,",AWND,2017-01-01T00:00:00,GHCND:USW00014606,16
",,W,2400",PRCP,2017-01-01T00:00:00,GHCND:USW00014606,33
",,W,",SNOW,2017-01-01T00:00:00,GHCND:USW00014606,41
",,S,",SNWD,2017-01-01T00:00:00,GHCND:USW00014606,201
"H,,S,",TAVG,2017-01-01T00:00:00,GHCND:USW00014606,-14
",,W,2400",TMAX,2017-01-01T00:00:00,GHCND:USW00014606,28
",,W,2400",TMIN,2017-01-01T00:00:00,GHCND:USW00014606,-105
",,W,",WDF2,2017-01-01T00:00:00,GHCND:USW00014606,300
",,W,",WDF5,2017-01-01T00:00:00,GHCND:USW00014606,300
",,W,",WSF2,2017-01-01T00:00:00,GHCND:USW00014606,63
",,W,",WSF5,2017-01-01T00:00:00,GHCND:USW00014606,107
",,W,",WT01,2017-01-01T00:00:00,GHCND:USW00014606,1
",,R,",PRCP,2017-01-01T00:00:00,GHCND:USW00094644,49
",,R,",TMAX,2017-01-01T00:00:00,GHCND:USW00094644,23
",,R,",TMIN,2017-01-01T00:00:00,GHCND:USW00094644,-86
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1MEHN0028,5
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1MEHN0028,3
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1MEWL0008,0
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1MEWL0008,0
"T,,7,0700",PRCP,2017-01-02T00:00:00,GHCND:USC00174550,0
"T,,7,",SNOW,2017-01-02T00:00:00,GHCND:USC00174550,0
",,7,0700",SNWD,2017-01-02T00:00:00,GHCND:USC00174550,660
",,7,0700",TMAX,2017-01-02T00:00:00,GHCND:USC00174550,22
",,7,0700",TMIN,2017-01-02T00:00:00,GHCND:USC00174550,-83
",,7,0700",TOBS,2017-01-02T00:00:00,GHCND:USC00174550,-72
",,W,",AWND,2017-01-02T00:00:00,GHCND:USW00014606,6
",,W,2400",PRCP,2017-01-02T00:00:00,GHCND:USW00014606,0
",,W,",SNOW,2017-01-02T00:00:00,GHCND:USW00014606,0
