attributes,datatype,date,station,value
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1MNBM0012,5
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1MNBM0012,13
",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1MNBM0012,229
",,N,",WESD,2017-01-01T00:00:00,GHCND:US1MNBM0012,386
",,N,",WESF,2017-01-01T00:00:00,GHCND:US1MNBM0012,5
",,7,0700",PRCP,2017-01-01T00:00:00,GHCND:USC00210643,8
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00210643,3
",,7,0700",SNWD,2017-01-01T00:00:00,GHCND:USC00210643,178
",,7,0700",TOBS,2017-01-01T00:00:00,GHCND:USC00210643,-78
",,7,0800",PRCP,2017-01-01T00:00:00,GHCND:USC00211374,15
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00211374,25
",,7,",SNWD,2017-01-01T00:00:00,GHCND:USC00211374,254
",,7,0800",TMAX,2017-01-01T00:00:00,GHCND:USC00211374,-44
",,7,0800",TMIN,2017-01-01T00:00:00,GHCND:USC00211374,-178
",,7,0800",TOBS,2017-01-01T00:00:00,GHCND:USC00211374,-72
",,U,",TAVG,2017-01-01T00:00:00,GHCND:USR0000MBEM,-87
"H,,U,",TMAX,2017-01-01T00:00:00,GHCND:USR0000MBEM,-50
"H,,U,",TMIN,2017-01-01T00:00:00,GHCND:USR0000MBEM,-122
",,U,",TAVG,2017-01-01T00:00:00,GHCND:USR0000MCLK,-82
"H,,U,",TMAX,2017-01-01T00:00:00,GHCND:USR0000MCLK,-44
"H,,U,",TMIN,2017-01-01T00:00:00,GHCND:USR0000MCLK,-117
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1MNBM0012,23
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1MNBM0012,41
",,N,",WESF,2017-01-02T00:00:00,GHCND:US1MNBM0012,23
",,7,0700",PRCP,2017-01-02T00:00:00,GHCND:USC00210643,33
",,7,",SNOW,2017-01-02T00:00:00,GHCND:USC00210643,51
",,7,0700",SNWD,2017-01-02T00:00:00,GHCND:USC00210643,254
",,7,0700",TOBS,2017-01-02T00:00:00,GHCND:USC00210643,-106
",,7,0800",PRCP,2017-01-02T00:00:00,GHCND:USC00211374,20
",,7,",SNOW,2017-01-02T00:00:00,GHCND:USC00211374,30
",,7,",SNWD,2017-01-02T00:00:00,GHCND:USC00211374,279
",,7,0800",TMAX,2017-01-02T00:00:00,GHCND:USC00211374,-67
",,7,0800",TMIN,2017-01-02T00:00:00,GHCND:USC00211374,-117
",,7,0800",TOBS,2017-01-02T00:00:00,GHCND:USC00211374,-94
",,U,",TAVG,2017-01-02T00:00:00,GHCND:USR0000MBEM,-79
"H,,U,",TMAX,2017-01-02T00:00:00,GHCND:USR0000MBEM,-50
"H,,U,",TMIN,2017-01-02T00:00:00,GHCND:USR0000MBEM,-117
",,U,",TAVG,2017-01-02T00:00:00,GHCND:USR0000MCLK,-74
"H,,U,",TMAX,2017-01-02T00:00:00,GHCND:USR0000MCLK,-44
"H,,U,",TMIN,2017-01-02T00:00:00,GHCND:USR0000MCLK,-117
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1MNBM0012,74
",,N,",SNOW,2017-01-03T00:00:00,GHCND:US1MNBM0012,91
",,N,",WESF,2017-01-03T00:00:00,GHCND:US1MNBM0012,74
",,7,0700",PRCP,2017-01-03T00:00:00,GHCND:USC00210643,58
",,7,",SNOW,2017-01-03T00:00:00,GHCND:USC00210643,86
",,7,0700",TOBS,2017-01-03T00:00:00,GHCND:USC00210643,-183
",,7,0800",PRCP,2017-01-03T00:00:00,GHCND:USC00211374,53
",,7,",SNOW,2017-01-03T00:00:00,GHCND:USC00211374,58
",,7,",SNWD,2017-01-03T00:00:00,GHCND:USC00211374,330
",,7,0800",TMAX,2017-01-03T00:00:00,GHCND:USC00211374,-44
",,7,0800",TMIN,2017-01-03T00:00:00,GHCND:USC00211374,-172
",,7,0800",TOBS,2017-01-03T00:00:00,GHCND:USC00211374,-172
",,U,",TAVG,2017-01-03T00:00:00,GHCND:USR0000MBEM,-166
"H,,U,",TMAX,2017-01-03T00:00:00,GHCND:USR0000MBEM,-67
"H,,U,",TMIN,2017-01-03T00:00:00,GHCND:USR0000MBEM,-239
",,U,",TAVG,2017-01-03T00:00:00,GHCND:USR0000MCLK,-154
"H,,U,",TMAX,2017-01-03T00:00:00,GHCND:USR0000MCLK,-50
"H,,U,",TMIN,2017-01-03T00:00:00,GHCND:USR0000MCLK,-233
"T,,N,",PRCP,2017-01-04T00:00:00,GHCND:US1MNBM0012,0
",,N,",SNOW,2017-01-04T00:00:00,GHCND:US1MNBM0012,3
"T,,N,",WESF,2017-01-04T00:00:00,GHCND:US1MNBM0012,0
",,7,0700",PRCP,2017-01-04T00:00:00,GHCND:USC00210643,3
"T,,7,",SNOW,2017-01-04T00:00:00,GHCND:USC00210643,0
",,7,0700",SNWD,2017-01-04T00:00:00,GHCND:USC00210643,254
",,7,0700",TOBS,2017-01-04T00:00:00,GHCND:USC00210643,-294
",,7,0800",PRCP,2017-01-04T00:00:00,GHCND:USC00211374,0
",,7,",SNOW,2017-01-04T00:00:00,GHCND:USC00211374,0
",,7,",SNWD,2017-01-04T00:00:00,GHCND:USC00211374,330
",,7,0800",TMAX,2017-01-04T00:00:00,GHCND:USC00211374,-156
",,7,0800",TMIN,2017-01-04T00:00:00,GHCND:USC00211374,-272
",,7,0800",TOBS,2017-01-04T00:00:00,GHCND:USC00211374,-272
",,U,",TAVG,2017-01-04T00:00:00,GHCND:USR0000MBEM,-253
"H,,U,",TMAX,2017-01-04T00:00:00,GHCND:USR0000MBEM,-211
"H,,U,",TMIN,2017-01-04T00:00:00,GHCND:USR0000MBEM,-294
",,U,",TAVG,2017-01-04T00:00:00,GHCND:USR0000MCLK,-249
"H,,U,",TMAX,2017-01-04T00:00:00,GHCND:USR0000MCLK,-206
"H,,U,",TMIN,2017-01-04T00:00:00,GHCND:USR0000MCLK,-300
",,N,",PRCP,2017-01-05T00:00:00,GHCND:US1MNBM0012,0
",,N,",SNOW,2017-01-05T00:00:00,GHCND:US1MNBM0012,0
",,7,0700",TOBS,2017-01-05T00:00:00,GHCND:USC00210643,-322
",,7,0800",PRCP,2017-01-05T00:00:00,GHCND:USC00211374,0
",,7,",SNOW,2017-01-05T00:00:00,GHCND:USC00211374,0
",,7,",SNWD,2017-01-05T00:00:00,GHCND:USC00211374,330
",,7,0800",TMAX,2017-01-05T00:00:00,GHCND:USC00211374,-206
",,7,0800",TMIN,2017-01-05T00:00:00,GHCND:USC00211374,-317
",,7,0800",TOBS,2017-01-05T00:00:00,GHCND:USC00211374,-289
",,U,",TAVG,2017-01-05T00:00:00,GHCND:USR0000MBEM,-262
"H,,U,",TMAX,2017-01-05T00:00:00,GHCND:USR0000MBEM,-206
"H,,U,",TMIN,2017-01-05T00:00:00,GHCND:USR0000MBEM,-317
",,U,",TAVG,2017-01-05T00:00:00,GHCND:USR0000MCLK,-261
"H,,U,",TMAX,2017-01-05T00:00:00,GHCND:USR0000MCLK,-189
"H,,U,",TMIN,2017-01-05T00:00:00,GHCND:USR0000MCLK,-311
