attributes,datatype,date,station,value
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1MTGN0011,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1MTGN0011,0
",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1MTGN0011,305
",,N,",WESD,2017-01-01T00:00:00,GHCND:US1MTGN0011,427
",,N,",WESF,2017-01-01T00:00:00,GHCND:US1MTGN0011,0
",,7,1600",PRCP,2017-01-01T00:00:00,GHCND:USC00241044,8
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00241044,8
",,7,1600",SNWD,2017-01-01T00:00:00,GHCND:USC00241044,254
",,7,1600",TMAX,2017-01-01T00:00:00,GHCND:USC00241044,-39
",,7,1600",TMIN,2017-01-01T00:00:00,GHCND:USC00241044,-167
",,7,1600",TOBS,2017-01-01T00:00:00,GHCND:USC00241044,-94
",,7,1600",PRCP,2017-01-01T00:00:00,GHCND:USC00241047,0
",,7,1600",SN31,2017-01-01T00:00:00,GHCND:USC00241047,-17
",,7,1600",SN32,2017-01-01T00:00:00,GHCND:USC00241047,-6
",,7,1600",SN33,2017-01-01T00:00:00,GHCND:USC00241047,-6
",,7,1600",SN35,2017-01-01T00:00:00,GHCND:USC00241047,11
",,7,1600",SX31,2017-01-01T00:00:00,GHCND:USC00241047,-17
",,7,1600",SX32,2017-01-01T00:00:00,GHCND:USC00241047,-6
",,7,1600",SX33,2017-01-01T00:00:00,GHCND:USC00241047,-6
",,7,1600",SX35,2017-01-01T00:00:00,GHCND:USC00241047,11
",,7,1600",TMAX,2017-01-01T00:00:00,GHCND:USC00241047,-78
",,7,1600",TMIN,2017-01-01T00:00:00,GHCND:USC00241047,-167
",,7,1600",TOBS,2017-01-01T00:00:00,GHCND:USC00241047,-117
",,T,",PRCP,2017-01-01T00:00:00,GHCND:USS0010D10S,0
",,T,",SNWD,2017-01-01T00:00:00,GHCND:USS0010D10S,584
",,T,",TAVG,2017-01-01T00:00:00,GHCND:USS0010D10S,-116
",,T,",TMAX,2017-01-01T00:00:00,GHCND:USS0010D10S,-60
",,T,",TMIN,2017-01-01T00:00:00,GHCND:USS0010D10S,-198
",,T,",TOBS,2017-01-01T00:00:00,GHCND:USS0010D10S,-198
",,T,",WESD,2017-01-01T00:00:00,GHCND:USS0010D10S,1168
",,T,",PRCP,2017-01-01T00:00:00,GHCND:USS0010D13S,0
",,T,",SNWD,2017-01-01T00:00:00,GHCND:USS0010D13S,457
",,T,",TAVG,2017-01-01T00:00:00,GHCND:USS0010D13S,-118
",,T,",TMAX,2017-01-01T00:00:00,GHCND:USS0010D13S,-69
",,T,",TMIN,2017-01-01T00:00:00,GHCND:USS0010D13S,-187
",,T,",TOBS,2017-01-01T00:00:00,GHCND:USS0010D13S,-187
",,T,",WESD,2017-01-01T00:00:00,GHCND:USS0010D13S,762
",,W,",AWND,2017-01-01T00:00:00,GHCND:USW00024132,25
"T,,W,2400",PRCP,2017-01-01T00:00:00,GHCND:USW00024132,0
",,W,2400",TMAX,2017-01-01T00:00:00,GHCND:USW00024132,-77
",,W,2400",TMIN,2017-01-01T00:00:00,GHCND:USW00024132,-216
",,W,",WDF2,2017-01-01T00:00:00,GHCND:USW00024132,280
",,W,",WDF5,2017-01-01T00:00:00,GHCND:USW00024132,280
",,W,",WSF2,2017-01-01T00:00:00,GHCND:USW00024132,67
",,W,",WSF5,2017-01-01T00:00:00,GHCND:USW00024132,76
",,W,",WT01,2017-01-01T00:00:00,GHCND:USW00024132,1
",,W,",WT08,2017-01-01T00:00:00,GHCND:USW00024132,1
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1MTGN0011,25
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1MTGN0011,30
",,N,",SNWD,2017-01-02T00:00:00,GHCND:US1MTGN0011,323
",,N,",WESD,2017-01-02T00:00:00,GHCND:US1MTGN0011,409
",,N,",WESF,2017-01-02T00:00:00,GHCND:US1MTGN0011,25
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1MTGN0012,36
",,7,1600",PRCP,2017-01-02T00:00:00,GHCND:USC00241044,28
",,7,",SNOW,2017-01-02T00:00:00,GHCND:USC00241044,84
",,7,1600",SNWD,2017-01-02T00:00:00,GHCND:USC00241044,279
",,7,1600",TMAX,2017-01-02T00:00:00,GHCND:USC00241044,-89
",,7,1600",TMIN,2017-01-02T00:00:00,GHCND:USC00241044,-189
",,7,1600",TOBS,2017-01-02T00:00:00,GHCND:USC00241044,-178
",,7,1600",PRCP,2017-01-02T00:00:00,GHCND:USC00241047,33
",,7,1600",SN31,2017-01-02T00:00:00,GHCND:USC00241047,-17
",,7,1600",SN32,2017-01-02T00:00:00,GHCND:USC00241047,-6
",,7,1600",SN33,2017-01-02T00:00:00,GHCND:USC00241047,-6
",,7,1600",SN35,2017-01-02T00:00:00,GHCND:USC00241047,11
",,7,1600",SX31,2017-01-02T00:00:00,GHCND:USC00241047,-17
",,7,1600",SX32,2017-01-02T00:00:00,GHCND:USC00241047,-6
",,7,1600",SX33,2017-01-02T00:00:00,GHCND:USC00241047,-6
",,7,1600",SX35,2017-01-02T00:00:00,GHCND:USC00241047,11
",,7,1600",TMAX,2017-01-02T00:00:00,GHCND:USC00241047,-117
",,7,1600",TMIN,2017-01-02T00:00:00,GHCND:USC00241047,-211
",,7,1600",TOBS,2017-01-02T00:00:00,GHCND:USC00241047,-167
",,T,",PRCP,2017-01-02T00:00:00,GHCND:USS0010D10S,25
",,T,",SNWD,2017-01-02T00:00:00,GHCND:USS0010D10S,584
",,T,",TAVG,2017-01-02T00:00:00,GHCND:USS0010D10S,-202
",,T,",TMAX,2017-01-02T00:00:00,GHCND:USS0010D10S,-170
",,T,",TMIN,2017-01-02T00:00:00,GHCND:USS0010D10S,-259
",,T,",TOBS,2017-01-02T00:00:00,GHCND:USS0010D10S,-256
",,T,",WESD,2017-01-02T00:00:00,GHCND:USS0010D10S,1168
",,T,",PRCP,2017-01-02T00:00:00,GHCND:USS0010D13S,0
",,T,",SNWD,2017-01-02T00:00:00,GHCND:USS0010D13S,457
",,T,",TAVG,2017-01-02T00:00:00,GHCND:USS0010D13S,-218
",,T,",TMAX,2017-01-02T00:00:00,GHCND:USS0010D13S,-167
",,T,",TMIN,2017-01-02T00:00:00,GHCND:USS0010D13S,-271
",,T,",TOBS,2017-01-02T00:00:00,GHCND:USS0010D13S,-271
",,T,",WESD,2017-01-02T00:00:00,GHCND:USS0010D13S,762
",,W,",AWND,2017-01-02T00:00:00,GHCND:USW00024132,10
",,W,2400",PRCP,2017-01-02T00:00:00,GHCND:USW00024132,3
",,W,2400",TMAX,2017-01-02T00:00:00,GHCND:USW00024132,-149
",,W,2400",TMIN,2017-01-02T00:00:00,GHCND:USW00024132,-266
",,W,",WDF2,2017-01-02T00:00:00,GHCND:USW00024132,190
",,W,",WDF5,2017-01-02T00:00:00,GHCND:USW00024132,190
",,W,",WSF2,2017-01-02T00:00:00,GHCND:USW00024132,45
",,W,",WSF5,2017-01-02T00:00:00,GHCND:USW00024132,45
",,W,",WT01,2017-01-02T00:00:00,GHCND:USW00024132,1
",,W,",WT08,2017-01-02T00:00:00,GHCND:USW00024132,1
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1MTGN0011,8
",,N,",SNOW,2017-01-03T00:00:00,GHCND:US1MTGN0011,8
",,N,",SNWD,2017-01-03T00:00:00,GHCND:US1MTGN0011,310
",,N,",WESD,2017-01-03T00:00:00,GHCND:US1MTGN0011,417
",,N,",WESF,2017-01-03T00:00:00,GHCND:US1MTGN0011,8
",,7,1600",PRCP,2017-01-03T00:00:00,GHCND:USC00241044,0
",,7,",SNOW,2017-01-03T00:00:00,GHCND:USC00241044,0
",,7,1600",SNWD,2017-01-03T00:00:00,GHCND:USC00241044,279
",,7,1600",TMAX,2017-01-03T00:00:00,GHCND:USC00241044,-167
",,7,1600",TMIN,2017-01-03T00:00:00,GHCND:USC00241044,-261
",,7,1600",TOBS,2017-01-03T00:00:00,GHCND:USC00241044,-194
",,7,1600",PRCP,2017-01-03T00:00:00,GHCND:USC00241047,0
",,7,1600",SN31,2017-01-03T00:00:00,GHCND:USC00241047,-17
",,7,1600",SN32,2017-01-03T00:00:00,GHCND:USC00241047,-6
",,7,1600",SN33,2017-01-03T00:00:00,GHCND:USC00241047,-6
",,7,1600",SN35,2017-01-03T00:00:00,GHCND:USC00241047,11
",,7,1600",SX31,2017-01-03T00:00:00,GHCND:USC00241047,-17
",,7,1600",SX32,2017-01-03T00:00:00,GHCND:USC00241047,-6
",,7,1600",SX33,2017-01-03T00:00:00,GHCND:USC00241047,-6
",,7,1600",SX35,2017-01-03T00:00:00,GHCND:USC00241047,11
",,7,1600",TMAX,2017-01-03T00:00:00,GHCND:USC00241047,-167
",,7,1600",TMIN,2017-01-03T00:00:00,GHCND:USC00241047,-261
",,7,1600",TOBS,2017-01-03T00:00:00,GHCND:USC00241047,-200
",,T,",PRCP,2017-01-03T00:00:00,GHCND:USS0010D10S,0
",,T,",SNWD,2017-01-03T00:00:00,GHCND:USS0010D10S,559
",,T,",TAVG,2017-01-03T00:00:00,GHCND:USS0010D10S,-204
",,T,",TMAX,2017-01-03T00:00:00,GHCND:USS0010D10S,-113
",,T,",TMIN,2017-01-03T00:00:00,GHCND:USS0010D10S,-274
",,T,",TOBS,2017-01-03T00:00:00,GHCND:USS0010D10S,-202
",,T,",WESD,2017-01-03T00:00:00,GHCND:USS0010D10S,1168
",,T,",PRCP,2017-01-03T00:00:00,GHCND:USS0010D13S,0
",,T,",SNWD,2017-01-03T00:00:00,GHCND:USS0010D13S,432
",,T,",TAVG,2017-01-03T00:00:00,GHCND:USS0010D13S,-200
