attributes,datatype,date,station,value
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1MOFSA031,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1MOFSA031,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1MOFSA201,41
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1MOSC0005,43
",,7,0700",PRCP,2017-01-01T00:00:00,GHCND:USC00234226,0
",,7,0700",TMAX,2017-01-01T00:00:00,GHCND:USC00234226,61
",,7,0700",TMIN,2017-01-01T00:00:00,GHCND:USC00234226,39
",,7,0700",TOBS,2017-01-01T00:00:00,GHCND:USC00234226,39
",,U,",TAVG,2017-01-01T00:00:00,GHCND:USR0000IBNR,53
"H,,U,",TMAX,2017-01-01T00:00:00,GHCND:USR0000IBNR,67
"H,,U,",TMIN,2017-01-01T00:00:00,GHCND:USR0000IBNR,39
",,W,",AWND,2017-01-01T00:00:00,GHCND:USW00003935,31
",,W,2400",PRCP,2017-01-01T00:00:00,GHCND:USW00003935,0
",,W,2400",TMAX,2017-01-01T00:00:00,GHCND:USW00003935,78
",,W,2400",TMIN,2017-01-01T00:00:00,GHCND:USW00003935,44
",,W,",WDF2,2017-01-01T00:00:00,GHCND:USW00003935,20
",,W,",WDF5,2017-01-01T00:00:00,GHCND:USW00003935,50
",,W,",WSF2,2017-01-01T00:00:00,GHCND:USW00003935,58
",,W,",WSF5,2017-01-01T00:00:00,GHCND:USW00003935,72
",,W,",WT01,2017-01-01T00:00:00,GHCND:USW00003935,1
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1MOFSA031,0
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1MOFSA031,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1MOFSA201,0
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1MOFSA201,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1MOSC0005,10
",,7,0700",PRCP,2017-01-02T00:00:00,GHCND:USC00234226,23
",,7,0700",TMAX,2017-01-02T00:00:00,GHCND:USC00234226,83
",,7,0700",TMIN,2017-01-02T00:00:00,GHCND:USC00234226,33
",,7,0700",TOBS,2017-01-02T00:00:00,GHCND:USC00234226,67
",,U,",TAVG,2017-01-02T00:00:00,GHCND:USR0000IBNR,102
"H,,U,",TMAX,2017-01-02T00:00:00,GHCND:USR0000IBNR,133
"H,,U,",TMIN,2017-01-02T00:00:00,GHCND:USR0000IBNR,61
",,W,",AWND,2017-01-02T00:00:00,GHCND:USW00003935,17
",,W,2400",PRCP,2017-01-02T00:00:00,GHCND:USW00003935,36
",,W,2400",TMAX,2017-01-02T00:00:00,GHCND:USW00003935,128
",,W,2400",TMIN,2017-01-02T00:00:00,GHCND:USW00003935,67
",,W,",WDF2,2017-01-02T00:00:00,GHCND:USW00003935,110
",,W,",WDF5,2017-01-02T00:00:00,GHCND:USW00003935,110
",,W,",WSF2,2017-01-02T00:00:00,GHCND:USW00003935,54
",,W,",WSF5,2017-01-02T00:00:00,GHCND:USW00003935,58
",,W,",WT01,2017-01-02T00:00:00,GHCND:USW00003935,1
",,W,",WT02,2017-01-02T00:00:00,GHCND:USW00003935,1
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1MOFSA031,74
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1MOFSA201,13
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1MOSC0005,46
",,7,0700",PRCP,2017-01-03T00:00:00,GHCND:USC00234226,76
",,7,0700",TMAX,2017-01-03T00:00:00,GHCND:USC00234226,128
",,7,0700",TMIN,2017-01-03T00:00:00,GHCND:USC00234226,67
",,7,0700",TOBS,2017-01-03T00:00:00,GHCND:USC00234226,106
",,U,",TAVG,2017-01-03T00:00:00,GHCND:USR0000IBNR,77
"H,,U,",TMAX,2017-01-03T00:00:00,GHCND:USR0000IBNR,128
"H,,U,",TMIN,2017-01-03T00:00:00,GHCND:USR0000IBNR,-6
",,W,",AWND,2017-01-03T00:00:00,GHCND:USW00003935,48
",,W,2400",PRCP,2017-01-03T00:00:00,GHCND:USW00003935,3
",,W,2400",TMAX,2017-01-03T00:00:00,GHCND:USW00003935,122
",,W,2400",TMIN,2017-01-03T00:00:00,GHCND:USW00003935,0
