attributes,datatype,date,station,value
"T,,N,",PRCP,2017-01-01T00:00:00,GHCND:US1KYCB0004,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1KYCB0006,3
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1KYKN0001,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1KYKN0012,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1KYKN0015,3
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1OHCM0001,10
"T,,N,",PRCP,2017-01-01T00:00:00,GHCND:US1OHHM0013,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1OHHM0017,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1OHHM0017,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1OHHM0023,5
"T,,N,",PRCP,2017-01-01T00:00:00,GHCND:US1OHHM0024,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1OHHM0024,0
",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1OHHM0024,0
",,7,0700",PRCP,2017-01-01T00:00:00,GHCND:USC00331515,8
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00331515,0
",,7,0700",SNWD,2017-01-01T00:00:00,GHCND:USC00331515,0
",,7,0700",TMAX,2017-01-01T00:00:00,GHCND:USC00331515,56
",,7,0700",TMIN,2017-01-01T00:00:00,GHCND:USC00331515,-11
",,7,0700",TOBS,2017-01-01T00:00:00,GHCND:USC00331515,6
",,7,",WT01,2017-01-01T00:00:00,GHCND:USC00331515,1
",,7,0700",PRCP,2017-01-01T00:00:00,GHCND:USC00332651,8
",,7,0700",TMAX,2017-01-01T00:00:00,GHCND:USC00332651,67
",,7,0700",TMIN,2017-01-01T00:00:00,GHCND:USC00332651,-39
",,7,0700",TOBS,2017-01-01T00:00:00,GHCND:USC00332651,50
",,W,",AWND,2017-01-01T00:00:00,GHCND:USW00053855,16
",,W,",PGTM,2017-01-01T00:00:00,GHCND:USW00053855,1300
",,W,",PRCP,2017-01-01T00:00:00,GHCND:USW00053855,5
",,W,",TMAX,2017-01-01T00:00:00,GHCND:USW00053855,72
",,W,",TMIN,2017-01-01T00:00:00,GHCND:USW00053855,-66
",,W,",WDF2,2017-01-01T00:00:00,GHCND:USW00053855,10
",,W,",WDF5,2017-01-01T00:00:00,GHCND:USW00053855,100
",,W,",WSF2,2017-01-01T00:00:00,GHCND:USW00053855,45
",,W,",WSF5,2017-01-01T00:00:00,GHCND:USW00053855,54
",,W,",AWND,2017-01-01T00:00:00,GHCND:USW00093812,15
