attributes,datatype,date,station,value
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1OHCY0016,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1OHCY0016,0
"T,,N,",SNWD,2017-01-01T00:00:00,GHCND:US1OHCY0016,0
",,N,",WESD,2017-01-01T00:00:00,GHCND:US1OHCY0016,0
",,N,",WESF,2017-01-01T00:00:00,GHCND:US1OHCY0016,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1OHCY0021,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1OHCY0021,0
"T,,N,",SNWD,2017-01-01T00:00:00,GHCND:US1OHCY0021,0
"T,,N,",PRCP,2017-01-01T00:00:00,GHCND:US1OHCY0024,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1OHCY0024,0
"T,,N,",SNWD,2017-01-01T00:00:00,GHCND:US1OHCY0024,0
",,N,",WESF,2017-01-01T00:00:00,GHCND:US1OHCY0024,0
"T,,N,",PRCP,2017-01-01T00:00:00,GHCND:US1OHCY0027,0
"T,,N,",PRCP,2017-01-01T00:00:00,GHCND:US1OHCY0039,0
"T,,N,",SNOW,2017-01-01T00:00:00,GHCND:US1OHCY0039,0
",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1OHCY0039,0
",,N,",WESD,2017-01-01T00:00:00,GHCND:US1OHCY0039,0
"T,,N,",WESF,2017-01-01T00:00:00,GHCND:US1OHCY0039,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1OHMD0002,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1OHMD0002,0
"T,,N,",SNWD,2017-01-01T00:00:00,GHCND:US1OHMD0002,0
"T,,N,",PRCP,2017-01-01T00:00:00,GHCND:US1OHSM0004,0
",,W,",AWND,2017-01-01T00:00:00,GHCND:USW00004853,24
",,W,",PGTM,2017-01-01T00:00:00,GHCND:USW00004853,114
",,W,",PRCP,2017-01-01T00:00:00,GHCND:USW00004853,0
",,W,",TMAX,2017-01-01T00:00:00,GHCND:USW00004853,39
",,W,",TMIN,2017-01-01T00:00:00,GHCND:USW00004853,-27
",,W,",WDF2,2017-01-01T00:00:00,GHCND:USW00004853,250
",,W,",WDF5,2017-01-01T00:00:00,GHCND:USW00004853,280
",,W,",WSF2,2017-01-01T00:00:00,GHCND:USW00004853,72
",,W,",WSF5,2017-01-01T00:00:00,GHCND:USW00004853,89
",,W,",AWND,2017-01-01T00:00:00,GHCND:USW00014820,23
",,W,2400",PRCP,2017-01-01T00:00:00,GHCND:USW00014820,0
",,W,",SNOW,2017-01-01T00:00:00,GHCND:USW00014820,0
",,W,2400",SNWD,2017-01-01T00:00:00,GHCND:USW00014820,0
"H,,S,",TAVG,2017-01-01T00:00:00,GHCND:USW00014820,21
",,W,2400",TMAX,2017-01-01T00:00:00,GHCND:USW00014820,61
",,W,2400",TMIN,2017-01-01T00:00:00,GHCND:USW00014820,-27
",,W,",WDF2,2017-01-01T00:00:00,GHCND:USW00014820,180
",,W,",WDF5,2017-01-01T00:00:00,GHCND:USW00014820,180
",,W,",WSF2,2017-01-01T00:00:00,GHCND:USW00014820,45
",,W,",WSF5,2017-01-01T00:00:00,GHCND:USW00014820,63
"T,,N,",PRCP,2017-01-02T00:00:00,GHCND:US1OHCY0016,0
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1OHCY0016,0
",,N,",SNWD,2017-01-02T00:00:00,GHCND:US1OHCY0016,0
",,N,",WESD,2017-01-02T00:00:00,GHCND:US1OHCY0016,0
",,N,",WESF,2017-01-02T00:00:00,GHCND:US1OHCY0016,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1OHCY0021,0
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1OHCY0021,0
",,N,",SNWD,2017-01-02T00:00:00,GHCND:US1OHCY0021,0
"T,,N,",PRCP,2017-01-02T00:00:00,GHCND:US1OHCY0024,0
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1OHCY0024,0
"T,,N,",SNWD,2017-01-02T00:00:00,GHCND:US1OHCY0024,0
",,N,",WESF,2017-01-02T00:00:00,GHCND:US1OHCY0024,0
"T,,N,",PRCP,2017-01-02T00:00:00,GHCND:US1OHCY0027,0
"T,,N,",PRCP,2017-01-02T00:00:00,GHCND:US1OHCY0039,0
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1OHCY0039,0
",,N,",SNWD,2017-01-02T00:00:00,GHCND:US1OHCY0039,0
",,N,",WESD,2017-01-02T00:00:00,GHCND:US1OHCY0039,0
",,N,",WESF,2017-01-02T00:00:00,GHCND:US1OHCY0039,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1OHMD0002,3
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1OHMD0002,0
",,N,",SNWD,2017-01-02T00:00:00,GHCND:US1OHMD0002,0
"T,,N,",PRCP,2017-01-02T00:00:00,GHCND:US1OHSM0004,0
",,W,",AWND,2017-01-02T00:00:00,GHCND:USW00004853,26
",,W,",PGTM,2017-01-02T00:00:00,GHCND:USW00004853,2048
",,W,",PRCP,2017-01-02T00:00:00,GHCND:USW00004853,0
",,W,",TMAX,2017-01-02T00:00:00,GHCND:USW00004853,89
",,W,",TMIN,2017-01-02T00:00:00,GHCND:USW00004853,6
",,W,",WDF2,2017-01-02T00:00:00,GHCND:USW00004853,140
",,W,",WDF5,2017-01-02T00:00:00,GHCND:USW00004853,140
",,W,",WSF2,2017-01-02T00:00:00,GHCND:USW00004853,58
",,W,",WSF5,2017-01-02T00:00:00,GHCND:USW00004853,76
",,W,",AWND,2017-01-02T00:00:00,GHCND:USW00014820,29
"T,,W,2400",PRCP,2017-01-02T00:00:00,GHCND:USW00014820,0
",,W,",SNOW,2017-01-02T00:00:00,GHCND:USW00014820,0
",,W,2400",SNWD,2017-01-02T00:00:00,GHCND:USW00014820,0
"H,,S,",TAVG,2017-01-02T00:00:00,GHCND:USW00014820,40
",,W,2400",TMAX,2017-01-02T00:00:00,GHCND:USW00014820,100
",,W,2400",TMIN,2017-01-02T00:00:00,GHCND:USW00014820,11
",,W,",WDF2,2017-01-02T00:00:00,GHCND:USW00014820,140
",,W,",WDF5,2017-01-02T00:00:00,GHCND:USW00014820,130
",,W,",WSF2,2017-01-02T00:00:00,GHCND:USW00014820,72
",,W,",WSF5,2017-01-02T00:00:00,GHCND:USW00014820,85
",,W,",WT01,2017-01-02T00:00:00,GHCND:USW00014820,1
