attributes,datatype,date,station,value
"T,,N,",PRCP,2017-01-01T00:00:00,GHCND:US1OHDL0008,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1OHDL0012,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1OHDL0012,0
"T,,N,",PRCP,2017-01-01T00:00:00,GHCND:US1OHDL0013,0
"T,,N,",PRCP,2017-01-01T00:00:00,GHCND:US1OHFR0002,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1OHFR0002,0
",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1OHFR0002,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1OHFR0003,0
"T,,N,",PRCP,2017-01-01T00:00:00,GHCND:US1OHFR0008,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1OHFR0022,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1OHFR0022,0
"T,,N,",PRCP,2017-01-01T00:00:00,GHCND:US1OHFR0046,0
",,7,2400",PRCP,2017-01-01T00:00:00,GHCND:USC00331777,0
",,7,2400",PRCP,2017-01-01T00:00:00,GHCND:USC00331779,0
",,7,2400",PRCP,2017-01-01T00:00:00,GHCND:USC00331785,0
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00331785,0
",,7,",SNWD,2017-01-01T00:00:00,GHCND:USC00331785,0
",,7,2400",TMAX,2017-01-01T00:00:00,GHCND:USC00331785,78
",,7,2400",TMIN,2017-01-01T00:00:00,GHCND:USC00331785,-33
",,7,2400",TOBS,2017-01-01T00:00:00,GHCND:USC00331785,39
",,7,1700",PRCP,2017-01-01T00:00:00,GHCND:USC00338951,0
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00338951,0
",,7,1700",SNWD,2017-01-01T00:00:00,GHCND:USC00338951,0
",,7,1700",TMAX,2017-01-01T00:00:00,GHCND:USC00338951,83
",,7,1700",TMIN,2017-01-01T00:00:00,GHCND:USC00338951,-17
",,7,1700",TOBS,2017-01-01T00:00:00,GHCND:USC00338951,22
",,W,",AWND,2017-01-01T00:00:00,GHCND:USW00004804,15
",,W,",PGTM,2017-01-01T00:00:00,GHCND:USW00004804,1306
",,W,",PRCP,2017-01-01T00:00:00,GHCND:USW00004804,0
",,W,",TMAX,2017-01-01T00:00:00,GHCND:USW00004804,78
",,W,",TMIN,2017-01-01T00:00:00,GHCND:USW00004804,-27
",,W,",WDF2,2017-01-01T00:00:00,GHCND:USW00004804,130
",,W,",WDF5,2017-01-01T00:00:00,GHCND:USW00004804,210
",,W,",WSF2,2017-01-01T00:00:00,GHCND:USW00004804,40
",,W,",WSF5,2017-01-01T00:00:00,GHCND:USW00004804,49
",,W,",AWND,2017-01-01T00:00:00,GHCND:USW00014821,17
",,W,2400",PRCP,2017-01-01T00:00:00,GHCND:USW00014821,0
",,W,",SNOW,2017-01-01T00:00:00,GHCND:USW00014821,0
",,W,2400",SNWD,2017-01-01T00:00:00,GHCND:USW00014821,0
"H,,S,",TAVG,2017-01-01T00:00:00,GHCND:USW00014821,40
",,W,2400",TMAX,2017-01-01T00:00:00,GHCND:USW00014821,89
",,W,2400",TMIN,2017-01-01T00:00:00,GHCND:USW00014821,-16
",,W,",WDF2,2017-01-01T00:00:00,GHCND:USW00014821,320
",,W,",WDF5,2017-01-01T00:00:00,GHCND:USW00014821,320
",,W,",WSF2,2017-01-01T00:00:00,GHCND:USW00014821,63
",,W,",WSF5,2017-01-01T00:00:00,GHCND:USW00014821,76
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1OHDL0008,5
"T,,N,",PRCP,2017-01-02T00:00:00,GHCND:US1OHDL0012,0
"T,,N,",PRCP,2017-01-02T00:00:00,GHCND:US1OHDL0013,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1OHFR0002,3
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1OHFR0002,0
",,N,",SNWD,2017-01-02T00:00:00,GHCND:US1OHFR0002,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1OHFR0003,3
"T,,N,",PRCP,2017-01-02T00:00:00,GHCND:US1OHFR0008,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1OHFR0022,3
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1OHFR0046,3
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1OHLC0016,3
",,7,2400",PRCP,2017-01-02T00:00:00,GHCND:USC00331777,0
",,7,2400",PRCP,2017-01-02T00:00:00,GHCND:USC00331779,5
",,7,2400",PRCP,2017-01-02T00:00:00,GHCND:USC00331785,5
",,7,",SNOW,2017-01-02T00:00:00,GHCND:USC00331785,0
",,7,",SNWD,2017-01-02T00:00:00,GHCND:USC00331785,0
",,7,2400",TMAX,2017-01-02T00:00:00,GHCND:USC00331785,106
",,7,2400",TMIN,2017-01-02T00:00:00,GHCND:USC00331785,39
",,7,2400",TOBS,2017-01-02T00:00:00,GHCND:USC00331785,106
"T,,7,1700",PRCP,2017-01-02T00:00:00,GHCND:USC00338951,0
",,7,",SNOW,2017-01-02T00:00:00,GHCND:USC00338951,0
",,7,1700",SNWD,2017-01-02T00:00:00,GHCND:USC00338951,0
",,7,1700",TMAX,2017-01-02T00:00:00,GHCND:USC00338951,94
",,7,1700",TMIN,2017-01-02T00:00:00,GHCND:USC00338951,-17
",,7,1700",TOBS,2017-01-02T00:00:00,GHCND:USC00338951,94
",,W,",AWND,2017-01-02T00:00:00,GHCND:USW00004804,20
",,W,",PGTM,2017-01-02T00:00:00,GHCND:USW00004804,2129
"T,,W,",PRCP,2017-01-02T00:00:00,GHCND:USW00004804,0
",,W,",TMAX,2017-01-02T00:00:00,GHCND:USW00004804,111
",,W,",TMIN,2017-01-02T00:00:00,GHCND:USW00004804,44
",,W,",WDF2,2017-01-02T00:00:00,GHCND:USW00004804,130
",,W,",WDF5,2017-01-02T00:00:00,GHCND:USW00004804,130
",,W,",WSF2,2017-01-02T00:00:00,GHCND:USW00004804,45
",,W,",WSF5,2017-01-02T00:00:00,GHCND:USW00004804,63
",,W,",AWND,2017-01-02T00:00:00,GHCND:USW00014821,21
",,W,2400",PRCP,2017-01-02T00:00:00,GHCND:USW00014821,3
",,W,",SNOW,2017-01-02T00:00:00,GHCND:USW00014821,0
",,W,2400",SNWD,2017-01-02T00:00:00,GHCND:USW00014821,0
"H,,S,",TAVG,2017-01-02T00:00:00,GHCND:USW00014821,71
",,W,2400",TMAX,2017-01-02T00:00:00,GHCND:USW00014821,117
",,W,2400",TMIN,2017-01-02T00:00:00,GHCND:USW00014821,50
",,W,",WDF2,2017-01-02T00:00:00,GHCND:USW00014821,100
",,W,",WDF5,2017-01-02T00:00:00,GHCND:USW00014821,130
",,W,",WSF2,2017-01-02T00:00:00,GHCND:USW00014821,54
",,W,",WSF5,2017-01-02T00:00:00,GHCND:USW00014821,67
",,W,",WT01,2017-01-02T00:00:00,GHCND:USW00014821,1
",,W,",WT02,2017-01-02T00:00:00,GHCND:USW00014821,1
",,W,",WT08,2017-01-02T00:00:00,GHCND:USW00014821,1
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1OHDL0008,89
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1OHDL0012,117
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1OHDL0013,38
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1OHFR0002,79
",,N,",SNOW,2017-01-03T00:00:00,GHCND:US1OHFR0002,0
",,N,",SNWD,2017-01-03T00:00:00,GHCND:US1OHFR0002,0
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1OHFR0003,246
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1OHFR0008,91
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1OHFR0022,66
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1OHFR0045,155
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1OHFR0046,140
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1OHLC0016,94
",,7,2400",PRCP,2017-01-03T00:00:00,GHCND:USC00331777,193
",,7,2400",PRCP,2017-01-03T00:00:00,GHCND:USC00331779,208
",,7,2400",PRCP,2017-01-03T00:00:00,GHCND:USC00331785,231
",,7,",SNOW,2017-01-03T00:00:00,GHCND:USC00331785,0
",,7,",SNWD,2017-01-03T00:00:00,GHCND:USC00331785,0
",,7,2400",TMAX,2017-01-03T00:00:00,GHCND:USC00331785,122
",,7,2400",TMIN,2017-01-03T00:00:00,GHCND:USC00331785,56
",,7,2400",TOBS,2017-01-03T00:00:00,GHCND:USC00331785,56
",,7,1700",PRCP,2017-01-03T00:00:00,GHCND:USC00338951,132
