attributes,datatype,date,station,value
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1IADL0022,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1IADL0022,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1IAPK0003,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1IAPK0003,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1IAPK0014,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1IAPK0021,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1IAPK0021,0
",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1IAPK0021,0
",,N,",WESD,2017-01-01T00:00:00,GHCND:US1IAPK0021,0
",,N,",WESF,2017-01-01T00:00:00,GHCND:US1IAPK0021,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1IAPK0037,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1IAPK0037,0
",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1IAPK0037,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1IAPK0068,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1IAPK0068,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1IAPK0073,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1IAPK0074,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1IAPK0075,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1IAPK0083,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1IAPK0083,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1IAWR0005,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1IAWR0005,0
",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1IAWR0005,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1IAWR0006,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1IAWR0006,0
",,7,0700",PRCP,2017-01-01T00:00:00,GHCND:USC00130241,0
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00130241,0
",,7,0700",SNWD,2017-01-01T00:00:00,GHCND:USC00130241,0
",,7,0700",TMAX,2017-01-01T00:00:00,GHCND:USC00130241,0
",,7,0700",TMIN,2017-01-01T00:00:00,GHCND:USC00130241,-89
",,7,0700",TOBS,2017-01-01T00:00:00,GHCND:USC00130241,-56
",,7,2400",PRCP,2017-01-01T00:00:00,GHCND:USC00132201,0
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00132201,0
",,7,2400",SNWD,2017-01-01T00:00:00,GHCND:USC00132201,0
",,7,2400",PRCP,2017-01-01T00:00:00,GHCND:USC00132209,0
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00132209,0
",,7,2400",SNWD,2017-01-01T00:00:00,GHCND:USC00132209,0
",,7,2400",TMAX,2017-01-01T00:00:00,GHCND:USC00132209,22
",,7,2400",TMIN,2017-01-01T00:00:00,GHCND:USC00132209,-67
",,7,2400",TOBS,2017-01-01T00:00:00,GHCND:USC00132209,0
",,W,",AWND,2017-01-01T00:00:00,GHCND:USW00014933,34
",,W,2400",PRCP,2017-01-01T00:00:00,GHCND:USW00014933,0
",,W,",SNOW,2017-01-01T00:00:00,GHCND:USW00014933,0
",,W,",SNWD,2017-01-01T00:00:00,GHCND:USW00014933,0
"H,,S,",TAVG,2017-01-01T00:00:00,GHCND:USW00014933,-29
",,W,2400",TMAX,2017-01-01T00:00:00,GHCND:USW00014933,33
",,W,2400",TMIN,2017-01-01T00:00:00,GHCND:USW00014933,-71
",,W,",WDF2,2017-01-01T00:00:00,GHCND:USW00014933,120
",,W,",WDF5,2017-01-01T00:00:00,GHCND:USW00014933,120
",,W,",WSF2,2017-01-01T00:00:00,GHCND:USW00014933,67
",,W,",WSF5,2017-01-01T00:00:00,GHCND:USW00014933,103
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1IADL0022,0
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1IADL0022,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1IAPK0003,0
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1IAPK0003,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1IAPK0014,0
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1IAPK0014,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1IAPK0021,0
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1IAPK0021,0
",,N,",SNWD,2017-01-02T00:00:00,GHCND:US1IAPK0021,0
",,N,",WESD,2017-01-02T00:00:00,GHCND:US1IAPK0021,0
",,N,",WESF,2017-01-02T00:00:00,GHCND:US1IAPK0021,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1IAPK0037,0
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1IAPK0037,0
",,N,",SNWD,2017-01-02T00:00:00,GHCND:US1IAPK0037,0
"T,,N,",PRCP,2017-01-02T00:00:00,GHCND:US1IAPK0068,0
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1IAPK0068,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1IAPK0073,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1IAPK0074,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1IAPK0083,0
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1IAPK0083,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1IAWR0005,0
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1IAWR0005,0
",,N,",SNWD,2017-01-02T00:00:00,GHCND:US1IAWR0005,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1IAWR0006,0
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1IAWR0006,0
"T,,7,0700",PRCP,2017-01-02T00:00:00,GHCND:USC00130241,0
",,7,",SNOW,2017-01-02T00:00:00,GHCND:USC00130241,0
",,7,0700",SNWD,2017-01-02T00:00:00,GHCND:USC00130241,0
",,7,0700",TMAX,2017-01-02T00:00:00,GHCND:USC00130241,22
",,7,0700",TMIN,2017-01-02T00:00:00,GHCND:USC00130241,-56
",,7,0700",TOBS,2017-01-02T00:00:00,GHCND:USC00130241,0
",,7,",SNOW,2017-01-02T00:00:00,GHCND:USC00132201,0
",,7,2400",SNWD,2017-01-02T00:00:00,GHCND:USC00132201,0
",,7,2400",PRCP,2017-01-02T00:00:00,GHCND:USC00132209,15
",,7,",SNOW,2017-01-02T00:00:00,GHCND:USC00132209,0
",,7,2400",SNWD,2017-01-02T00:00:00,GHCND:USC00132209,0
",,7,2400",TMAX,2017-01-02T00:00:00,GHCND:USC00132209,22
",,7,2400",TMIN,2017-01-02T00:00:00,GHCND:USC00132209,0
",,7,2400",TOBS,2017-01-02T00:00:00,GHCND:USC00132209,6
",,W,",AWND,2017-01-02T00:00:00,GHCND:USW00014933,36
",,W,2400",PRCP,2017-01-02T00:00:00,GHCND:USW00014933,3
",,W,",SNOW,2017-01-02T00:00:00,GHCND:USW00014933,0
",,W,",SNWD,2017-01-02T00:00:00,GHCND:USW00014933,0
"H,,S,",TAVG,2017-01-02T00:00:00,GHCND:USW00014933,18
",,W,2400",TMAX,2017-01-02T00:00:00,GHCND:USW00014933,33
",,W,2400",TMIN,2017-01-02T00:00:00,GHCND:USW00014933,11
",,W,",WDF2,2017-01-02T00:00:00,GHCND:USW00014933,120
",,W,",WDF5,2017-01-02T00:00:00,GHCND:USW00014933,110
",,W,",WSF2,2017-01-02T00:00:00,GHCND:USW00014933,67
",,W,",WSF5,2017-01-02T00:00:00,GHCND:USW00014933,89
",,W,",WT01,2017-01-02T00:00:00,GHCND:USW00014933,1
",,W,",WT08,2017-01-02T00:00:00,GHCND:USW00014933,1
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1IADL0018,8
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1IADL0022,23
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1IAPK0003,5
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1IAPK0014,41
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1IAPK0021,15
",,N,",SNOW,2017-01-03T00:00:00,GHCND:US1IAPK0021,0
",,N,",SNWD,2017-01-03T00:00:00,GHCND:US1IAPK0021,0
",,N,",WESD,2017-01-03T00:00:00,GHCND:US1IAPK0021,0
",,N,",WESF,2017-01-03T00:00:00,GHCND:US1IAPK0021,0
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1IAPK0037,3
",,N,",SNOW,2017-01-03T00:00:00,GHCND:US1IAPK0037,0
",,N,",SNWD,2017-01-03T00:00:00,GHCND:US1IAPK0037,0
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1IAPK0068,15
",,N,",SNOW,2017-01-03T00:00:00,GHCND:US1IAPK0068,0
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1IAPK0073,5
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1IAPK0074,5
"T,,N,",PRCP,2017-01-03T00:00:00,GHCND:US1IAPK0083,0
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1IAWR0005,5
",,N,",SNOW,2017-01-03T00:00:00,GHCND:US1IAWR0005,0
",,N,",SNWD,2017-01-03T00:00:00,GHCND:US1IAWR0005,0
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1IAWR0006,10
"T,,N,",SNOW,2017-01-03T00:00:00,GHCND:US1IAWR0006,0
