attributes,datatype,date,station,value
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1NDSK0012,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1NDSK0012,0
",,W,",AWND,2017-01-01T00:00:00,GHCND:USW00024012,52
",,W,2400",PRCP,2017-01-01T00:00:00,GHCND:USW00024012,3
"H,,S,",TAVG,2017-01-01T00:00:00,GHCND:USW00024012,-91
",,W,2400",TMAX,2017-01-01T00:00:00,GHCND:USW00024012,-82
",,W,2400",TMIN,2017-01-01T00:00:00,GHCND:USW00024012,-116
",,W,",WDF2,2017-01-01T00:00:00,GHCND:USW00024012,50
",,W,",WSF2,2017-01-01T00:00:00,GHCND:USW00024012,81
",,W,",WT01,2017-01-01T00:00:00,GHCND:USW00024012,1
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1NDSK0012,56
",,W,",AWND,2017-01-02T00:00:00,GHCND:USW00024012,62
",,W,",PGTM,2017-01-02T00:00:00,GHCND:USW00024012,820
",,W,2400",PRCP,2017-01-02T00:00:00,GHCND:USW00024012,8
"H,,S,",TAVG,2017-01-02T00:00:00,GHCND:USW00024012,-135
",,W,2400",TMAX,2017-01-02T00:00:00,GHCND:USW00024012,-121
",,W,2400",TMIN,2017-01-02T00:00:00,GHCND:USW00024012,-227
",,W,",WDF2,2017-01-02T00:00:00,GHCND:USW00024012,20
",,W,",WDF5,2017-01-02T00:00:00,GHCND:USW00024012,30
",,W,",WSF2,2017-01-02T00:00:00,GHCND:USW00024012,98
",,W,",WSF5,2017-01-02T00:00:00,GHCND:USW00024012,116
",,W,",AWND,2017-01-03T00:00:00,GHCND:USW00024012,65
",,W,2400",PRCP,2017-01-03T00:00:00,GHCND:USW00024012,0
"H,,S,",TAVG,2017-01-03T00:00:00,GHCND:USW00024012,-224
",,W,2400",TMAX,2017-01-03T00:00:00,GHCND:USW00024012,-216
",,W,2400",TMIN,2017-01-03T00:00:00,GHCND:USW00024012,-293
",,W,",WDF2,2017-01-03T00:00:00,GHCND:USW00024012,300
",,W,",WDF5,2017-01-03T00:00:00,GHCND:USW00024012,300
",,W,",WSF2,2017-01-03T00:00:00,GHCND:USW00024012,94
",,W,",WSF5,2017-01-03T00:00:00,GHCND:USW00024012,103
",,W,",WT01,2017-01-03T00:00:00,GHCND:USW00024012,1
