attributes,datatype,date,station,value
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZCN0002,69
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1AZCN0002,23
",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1AZCN0002,51
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZCN0014,53
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZCN0021,71
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1AZCN0021,61
",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1AZCN0021,152
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZCN0027,15
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1AZCN0027,13
",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1AZCN0027,25
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZCN0031,107
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1AZCN0031,25
",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1AZCN0031,25
",,N,",WESD,2017-01-01T00:00:00,GHCND:US1AZCN0031,36
",,N,",WESF,2017-01-01T00:00:00,GHCND:US1AZCN0031,64
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZCN0033,79
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1AZCN0033,53
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZCN0042,20
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZCN0046,48
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1AZCN0046,25
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZCN0058,109
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1AZCN0058,61
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZCN0059,71
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZCN0061,15
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1AZCN0061,64
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZCN0066,71
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1AZCN0066,25
",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1AZCN0066,25
",,N,",WESD,2017-01-01T00:00:00,GHCND:US1AZCN0066,71
",,N,",WESF,2017-01-01T00:00:00,GHCND:US1AZCN0066,71
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZCN0070,30
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZCN0074,25
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZCN0075,66
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1AZCN0075,13
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZCN0079,58
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1AZCN0079,64
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZCN0088,76
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZCN0092,5
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZCN0107,25
"T,,N,",SNOW,2017-01-01T00:00:00,GHCND:US1AZCN0107,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZCN0111,33
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZCN0113,109
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1AZCN0113,64
",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1AZCN0113,64
",,N,",WESD,2017-01-01T00:00:00,GHCND:US1AZCN0113,94
",,N,",WESF,2017-01-01T00:00:00,GHCND:US1AZCN0113,94
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZCN0122,56
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1AZCN0122,25
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZCN0134,64
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1AZCN0134,51
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZCN0137,13
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZCN0139,130
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1AZCN0139,41
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZCN0140,30
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZCN0143,89
",,7,2400",PRCP,2017-01-01T00:00:00,GHCND:USC00020678,61
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00020678,69
",,7,2400",SNWD,2017-01-01T00:00:00,GHCND:USC00020678,102
",,7,2400",TMAX,2017-01-01T00:00:00,GHCND:USC00020678,22
