attributes,datatype,date,station,value
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1MIGN0022,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1MIGN0022,0
",,7,0700",PRCP,2017-01-01T00:00:00,GHCND:USC00201150,0
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00201150,0
",,7,",SNWD,2017-01-01T00:00:00,GHCND:USC00201150,0
",,7,0700",TMAX,2017-01-01T00:00:00,GHCND:USC00201150,61
",,7,0700",TMIN,2017-01-01T00:00:00,GHCND:USC00201150,-61
",,7,0700",TOBS,2017-01-01T00:00:00,GHCND:USC00201150,-56
",,7,0800",PRCP,2017-01-01T00:00:00,GHCND:USC00202851,0
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00202851,0
"T,,7,",SNWD,2017-01-01T00:00:00,GHCND:USC00202851,0
",,7,0800",TMAX,2017-01-01T00:00:00,GHCND:USC00202851,50
",,7,0800",TMIN,2017-01-01T00:00:00,GHCND:USC00202851,-56
",,7,0800",TOBS,2017-01-01T00:00:00,GHCND:USC00202851,-39
",,7,0730",PRCP,2017-01-01T00:00:00,GHCND:USC00203278,0
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00203278,0
",,7,",SNWD,2017-01-01T00:00:00,GHCND:USC00203278,0
",,7,0730",TMAX,2017-01-01T00:00:00,GHCND:USC00203278,61
",,7,0730",TMIN,2017-01-01T00:00:00,GHCND:USC00203278,-50
",,7,0730",TOBS,2017-01-01T00:00:00,GHCND:USC00203278,-50
",,7,1700",PRCP,2017-01-01T00:00:00,GHCND:USC00205488,0
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00205488,0
",,7,",SNWD,2017-01-01T00:00:00,GHCND:USC00205488,0
",,W,",AWND,2017-01-01T00:00:00,GHCND:USW00014826,28
",,W,2400",PRCP,2017-01-01T00:00:00,GHCND:USW00014826,0
",,W,",SNOW,2017-01-01T00:00:00,GHCND:USW00014826,0
",,W,",SNWD,2017-01-01T00:00:00,GHCND:USW00014826,0
"H,,S,",TAVG,2017-01-01T00:00:00,GHCND:USW00014826,-1
",,W,2400",TMAX,2017-01-01T00:00:00,GHCND:USW00014826,50
",,W,2400",TMIN,2017-01-01T00:00:00,GHCND:USW00014826,-55
",,W,",WDF2,2017-01-01T00:00:00,GHCND:USW00014826,240
",,W,",WDF5,2017-01-01T00:00:00,GHCND:USW00014826,220
",,W,",WSF2,2017-01-01T00:00:00,GHCND:USW00014826,67
",,W,",WSF5,2017-01-01T00:00:00,GHCND:USW00014826,98
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1MIGN0022,0
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1MIGN0022,0
",,7,0700",PRCP,2017-01-02T00:00:00,GHCND:USC00201150,0
",,7,",SNOW,2017-01-02T00:00:00,GHCND:USC00201150,0
",,7,",SNWD,2017-01-02T00:00:00,GHCND:USC00201150,0
",,7,0700",TMAX,2017-01-02T00:00:00,GHCND:USC00201150,50
",,7,0700",TMIN,2017-01-02T00:00:00,GHCND:USC00201150,-61
",,7,0700",TOBS,2017-01-02T00:00:00,GHCND:USC00201150,-56
",,7,0800",PRCP,2017-01-02T00:00:00,GHCND:USC00202851,0
",,7,",SNOW,2017-01-02T00:00:00,GHCND:USC00202851,0
"T,,7,",SNWD,2017-01-02T00:00:00,GHCND:USC00202851,0
",,7,0800",TMAX,2017-01-02T00:00:00,GHCND:USC00202851,50
",,7,0800",TMIN,2017-01-02T00:00:00,GHCND:USC00202851,-56
",,7,0800",TOBS,2017-01-02T00:00:00,GHCND:USC00202851,-50
",,7,0730",PRCP,2017-01-02T00:00:00,GHCND:USC00203278,0
",,7,",SNOW,2017-01-02T00:00:00,GHCND:USC00203278,0
",,7,",SNWD,2017-01-02T00:00:00,GHCND:USC00203278,0
",,7,0730",TMAX,2017-01-02T00:00:00,GHCND:USC00203278,67
",,7,0730",TMIN,2017-01-02T00:00:00,GHCND:USC00203278,-50
",,7,0730",TOBS,2017-01-02T00:00:00,GHCND:USC00203278,-39
",,7,1700",PRCP,2017-01-02T00:00:00,GHCND:USC00205488,20
",,7,",SNOW,2017-01-02T00:00:00,GHCND:USC00205488,0
",,7,",SNWD,2017-01-02T00:00:00,GHCND:USC00205488,0
",,W,",AWND,2017-01-02T00:00:00,GHCND:USW00014826,25
",,W,2400",PRCP,2017-01-02T00:00:00,GHCND:USW00014826,124
",,W,",SNOW,2017-01-02T00:00:00,GHCND:USW00014826,0
",,W,",SNWD,2017-01-02T00:00:00,GHCND:USW00014826,0
"H,,S,",TAVG,2017-01-02T00:00:00,GHCND:USW00014826,7
",,W,2400",TMAX,2017-01-02T00:00:00,GHCND:USW00014826,78
",,W,2400",TMIN,2017-01-02T00:00:00,GHCND:USW00014826,-49
",,W,",WDF2,2017-01-02T00:00:00,GHCND:USW00014826,110
",,W,",WDF5,2017-01-02T00:00:00,GHCND:USW00014826,100
",,W,",WSF2,2017-01-02T00:00:00,GHCND:USW00014826,63
",,W,",WSF5,2017-01-02T00:00:00,GHCND:USW00014826,76
",,W,",WT01,2017-01-02T00:00:00,GHCND:USW00014826,1
",,W,",WT08,2017-01-02T00:00:00,GHCND:USW00014826,1
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1MIGN0022,170
",,7,0700",PRCP,2017-01-03T00:00:00,GHCND:USC00201150,168
",,7,",SNOW,2017-01-03T00:00:00,GHCND:USC00201150,0
",,7,",SNWD,2017-01-03T00:00:00,GHCND:USC00201150,0
",,7,0700",TMAX,2017-01-03T00:00:00,GHCND:USC00201150,72
",,7,0700",TMIN,2017-01-03T00:00:00,GHCND:USC00201150,-67
",,7,0700",TOBS,2017-01-03T00:00:00,GHCND:USC00201150,28
",,7,0800",PRCP,2017-01-03T00:00:00,GHCND:USC00202851,163
",,7,",SNOW,2017-01-03T00:00:00,GHCND:USC00202851,0
"T,,7,",SNWD,2017-01-03T00:00:00,GHCND:USC00202851,0
",,7,0800",TMAX,2017-01-03T00:00:00,GHCND:USC00202851,67
",,7,0800",TMIN,2017-01-03T00:00:00,GHCND:USC00202851,-61
",,7,0800",TOBS,2017-01-03T00:00:00,GHCND:USC00202851,28
",,7,0730",PRCP,2017-01-03T00:00:00,GHCND:USC00203278,160
",,7,",SNOW,2017-01-03T00:00:00,GHCND:USC00203278,0
",,7,",SNWD,2017-01-03T00:00:00,GHCND:USC00203278,0
",,7,0730",TMAX,2017-01-03T00:00:00,GHCND:USC00203278,78
