attributes,datatype,date,station,value
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1SCDR0004,8
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1SCFL0006,10
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1SCFL0013,13
",,7,0700",PRCP,2017-01-01T00:00:00,GHCND:USC00382260,0
",,7,0700",TMAX,2017-01-01T00:00:00,GHCND:USC00382260,111
",,7,0700",TMIN,2017-01-01T00:00:00,GHCND:USC00382260,-28
",,7,0700",TOBS,2017-01-01T00:00:00,GHCND:USC00382260,67
",,W,",AWND,2017-01-01T00:00:00,GHCND:USW00013744,15
",,W,2400",PRCP,2017-01-01T00:00:00,GHCND:USW00013744,15
",,W,2400",TMAX,2017-01-01T00:00:00,GHCND:USW00013744,144
",,W,2400",TMIN,2017-01-01T00:00:00,GHCND:USW00013744,67
",,W,",WDF2,2017-01-01T00:00:00,GHCND:USW00013744,120
",,W,",WDF5,2017-01-01T00:00:00,GHCND:USW00013744,100
",,W,",WSF2,2017-01-01T00:00:00,GHCND:USW00013744,45
",,W,",WSF5,2017-01-01T00:00:00,GHCND:USW00013744,63
",,W,",WT01,2017-01-01T00:00:00,GHCND:USW00013744,1
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1SCDR0004,117
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1SCFL0006,135
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1SCFL0013,231
",,7,0700",PRCP,2017-01-02T00:00:00,GHCND:USC00382260,132
",,7,0700",TMAX,2017-01-02T00:00:00,GHCND:USC00382260,128
",,7,0700",TMIN,2017-01-02T00:00:00,GHCND:USC00382260,67
",,7,0700",TOBS,2017-01-02T00:00:00,GHCND:USC00382260,128
",,W,",AWND,2017-01-02T00:00:00,GHCND:USW00013744,22
",,W,2400",PRCP,2017-01-02T00:00:00,GHCND:USW00013744,188
",,W,2400",TMAX,2017-01-02T00:00:00,GHCND:USW00013744,217
",,W,2400",TMIN,2017-01-02T00:00:00,GHCND:USW00013744,133
",,W,",WDF2,2017-01-02T00:00:00,GHCND:USW00013744,90
",,W,",WDF5,2017-01-02T00:00:00,GHCND:USW00013744,270
",,W,",WSF2,2017-01-02T00:00:00,GHCND:USW00013744,45
",,W,",WSF5,2017-01-02T00:00:00,GHCND:USW00013744,58
",,W,",WT01,2017-01-02T00:00:00,GHCND:USW00013744,1
",,W,",WT02,2017-01-02T00:00:00,GHCND:USW00013744,1
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1SCDR0004,234
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1SCFL0006,244
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1SCFL0012,335
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1SCFL0013,254
",,7,0700",PRCP,2017-01-03T00:00:00,GHCND:USC00382260,279
",,7,0700",TMAX,2017-01-03T00:00:00,GHCND:USC00382260,189
",,7,0700",TMIN,2017-01-03T00:00:00,GHCND:USC00382260,67
",,7,0700",TOBS,2017-01-03T00:00:00,GHCND:USC00382260,139
",,W,",AWND,2017-01-03T00:00:00,GHCND:USW00013744,37
",,W,2400",PRCP,2017-01-03T00:00:00,GHCND:USW00013744,165
",,W,2400",TMAX,2017-01-03T00:00:00,GHCND:USW00013744,222
",,W,2400",TMIN,2017-01-03T00:00:00,GHCND:USW00013744,139
",,W,",WDF2,2017-01-03T00:00:00,GHCND:USW00013744,250
",,W,",WDF5,2017-01-03T00:00:00,GHCND:USW00013744,250
",,W,",WSF2,2017-01-03T00:00:00,GHCND:USW00013744,81
",,W,",WSF5,2017-01-03T00:00:00,GHCND:USW00013744,112
",,W,",WT01,2017-01-03T00:00:00,GHCND:USW00013744,1
",,W,",WT02,2017-01-03T00:00:00,GHCND:USW00013744,1
",,N,",PRCP,2017-01-04T00:00:00,GHCND:US1SCDR0004,8
",,N,",PRCP,2017-01-04T00:00:00,GHCND:US1SCFL0006,5
",,N,",PRCP,2017-01-04T00:00:00,GHCND:US1SCFL0012,20
",,7,0700",TMAX,2017-01-04T00:00:00,GHCND:USC00382260,200
",,7,0700",TMIN,2017-01-04T00:00:00,GHCND:USC00382260,117
",,7,0700",TOBS,2017-01-04T00:00:00,GHCND:USC00382260,117
",,W,",AWND,2017-01-04T00:00:00,GHCND:USW00013744,39
",,W,2400",PRCP,2017-01-04T00:00:00,GHCND:USW00013744,0
",,W,2400",TMAX,2017-01-04T00:00:00,GHCND:USW00013744,183
",,W,2400",TMIN,2017-01-04T00:00:00,GHCND:USW00013744,89
",,W,",WDF2,2017-01-04T00:00:00,GHCND:USW00013744,300
",,W,",WDF5,2017-01-04T00:00:00,GHCND:USW00013744,300
",,W,",WSF2,2017-01-04T00:00:00,GHCND:USW00013744,67
",,W,",WSF5,2017-01-04T00:00:00,GHCND:USW00013744,89
",,N,",PRCP,2017-01-05T00:00:00,GHCND:US1SCDR0004,0
",,N,",SNOW,2017-01-05T00:00:00,GHCND:US1SCDR0004,0
",,N,",PRCP,2017-01-05T00:00:00,GHCND:US1SCFL0006,0
",,N,",PRCP,2017-01-05T00:00:00,GHCND:US1SCFL0012,0
",,N,",SNOW,2017-01-05T00:00:00,GHCND:US1SCFL0012,0
",,7,0700",PRCP,2017-01-05T00:00:00,GHCND:USC00382260,0
",,7,0700",TMAX,2017-01-05T00:00:00,GHCND:USC00382260,172
",,7,0700",TMIN,2017-01-05T00:00:00,GHCND:USC00382260,17
",,7,0700",TOBS,2017-01-05T00:00:00,GHCND:USC00382260,17
",,W,",AWND,2017-01-05T00:00:00,GHCND:USW00013744,24
",,W,2400",PRCP,2017-01-05T00:00:00,GHCND:USW00013744,0
",,W,2400",TMAX,2017-01-05T00:00:00,GHCND:USW00013744,133
",,W,2400",TMIN,2017-01-05T00:00:00,GHCND:USW00013744,28
",,W,",WDF2,2017-01-05T00:00:00,GHCND:USW00013744,90
",,W,",WDF5,2017-01-05T00:00:00,GHCND:USW00013744,100
",,W,",WSF2,2017-01-05T00:00:00,GHCND:USW00013744,54
",,W,",WSF5,2017-01-05T00:00:00,GHCND:USW00013744,72
",,N,",PRCP,2017-01-06T00:00:00,GHCND:US1SCDR0004,0
",,N,",SNOW,2017-01-06T00:00:00,GHCND:US1SCDR0004,0
",,N,",PRCP,2017-01-06T00:00:00,GHCND:US1SCFL0006,0
",,N,",PRCP,2017-01-06T00:00:00,GHCND:US1SCFL0012,0
",,N,",SNOW,2017-01-06T00:00:00,GHCND:US1SCFL0012,0
",,7,0700",PRCP,2017-01-06T00:00:00,GHCND:USC00382260,0
",,7,0700",TMAX,2017-01-06T00:00:00,GHCND:USC00382260,122
",,7,0700",TMIN,2017-01-06T00:00:00,GHCND:USC00382260,11
