attributes,datatype,date,station,value
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1ARCF0005,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1ARSB0004,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1ARSB0004,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1ARSB0008,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1ARSB0008,0
",,W,",AWND,2017-01-01T00:00:00,GHCND:USW00013964,50
",,W,2400",PRCP,2017-01-01T00:00:00,GHCND:USW00013964,0
",,W,",SNOW,2017-01-01T00:00:00,GHCND:USW00013964,0
",,W,",SNWD,2017-01-01T00:00:00,GHCND:USW00013964,0
"H,,S,",TAVG,2017-01-01T00:00:00,GHCND:USW00013964,74
",,W,2400",TMAX,2017-01-01T00:00:00,GHCND:USW00013964,100
",,W,2400",TMIN,2017-01-01T00:00:00,GHCND:USW00013964,50
",,W,",WDF2,2017-01-01T00:00:00,GHCND:USW00013964,70
",,W,",WDF5,2017-01-01T00:00:00,GHCND:USW00013964,80
",,W,",WSF2,2017-01-01T00:00:00,GHCND:USW00013964,81
",,W,",WSF5,2017-01-01T00:00:00,GHCND:USW00013964,98
",,W,",WT01,2017-01-01T00:00:00,GHCND:USW00013964,1
",,W,",WT02,2017-01-01T00:00:00,GHCND:USW00013964,1
",,W,",WT08,2017-01-01T00:00:00,GHCND:USW00013964,1
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1ARCF0001,0
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1ARCF0001,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1ARCF0005,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1ARSB0008,0
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1ARSB0008,0
",,W,",AWND,2017-01-02T00:00:00,GHCND:USW00013964,32
",,W,2400",PRCP,2017-01-02T00:00:00,GHCND:USW00013964,3
",,W,",SNOW,2017-01-02T00:00:00,GHCND:USW00013964,0
",,W,",SNWD,2017-01-02T00:00:00,GHCND:USW00013964,0
"H,,S,",TAVG,2017-01-02T00:00:00,GHCND:USW00013964,91
",,W,2400",TMAX,2017-01-02T00:00:00,GHCND:USW00013964,122
",,W,2400",TMIN,2017-01-02T00:00:00,GHCND:USW00013964,72
",,W,",WDF2,2017-01-02T00:00:00,GHCND:USW00013964,80
",,W,",WDF5,2017-01-02T00:00:00,GHCND:USW00013964,40
",,W,",WSF2,2017-01-02T00:00:00,GHCND:USW00013964,67
",,W,",WSF5,2017-01-02T00:00:00,GHCND:USW00013964,81
",,W,",WT01,2017-01-02T00:00:00,GHCND:USW00013964,1
",,W,",WT02,2017-01-02T00:00:00,GHCND:USW00013964,1
"T,,N,",PRCP,2017-01-03T00:00:00,GHCND:US1ARCF0001,0
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1ARCF0005,3
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1ARSB0004,41
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1ARSB0008,28
",,W,",AWND,2017-01-03T00:00:00,GHCND:USW00013964,36
",,W,2400",PRCP,2017-01-03T00:00:00,GHCND:USW00013964,0
",,W,",SNOW,2017-01-03T00:00:00,GHCND:USW00013964,0
",,W,",SNWD,2017-01-03T00:00:00,GHCND:USW00013964,0
"H,,S,",TAVG,2017-01-03T00:00:00,GHCND:USW00013964,88
",,W,2400",TMAX,2017-01-03T00:00:00,GHCND:USW00013964,117
",,W,2400",TMIN,2017-01-03T00:00:00,GHCND:USW00013964,6
",,W,",WDF2,2017-01-03T00:00:00,GHCND:USW00013964,310
",,W,",WDF5,2017-01-03T00:00:00,GHCND:USW00013964,310
",,W,",WSF2,2017-01-03T00:00:00,GHCND:USW00013964,103
",,W,",WSF5,2017-01-03T00:00:00,GHCND:USW00013964,134
",,W,",WT01,2017-01-03T00:00:00,GHCND:USW00013964,1
",,W,",WT02,2017-01-03T00:00:00,GHCND:USW00013964,1
",,W,",WT08,2017-01-03T00:00:00,GHCND:USW00013964,1
",,N,",PRCP,2017-01-04T00:00:00,GHCND:US1ARCF0001,0
",,N,",SNOW,2017-01-04T00:00:00,GHCND:US1ARCF0001,0
",,N,",PRCP,2017-01-04T00:00:00,GHCND:US1ARCF0004,0
",,N,",PRCP,2017-01-04T00:00:00,GHCND:US1ARCF0005,0
",,N,",SNOW,2017-01-04T00:00:00,GHCND:US1ARCF0005,0
",,N,",PRCP,2017-01-04T00:00:00,GHCND:US1ARSB0004,0
",,N,",SNOW,2017-01-04T00:00:00,GHCND:US1ARSB0004,0
",,N,",PRCP,2017-01-04T00:00:00,GHCND:US1ARSB0008,0
",,N,",SNOW,2017-01-04T00:00:00,GHCND:US1ARSB0008,0
",,W,",AWND,2017-01-04T00:00:00,GHCND:USW00013964,30
",,W,2400",PRCP,2017-01-04T00:00:00,GHCND:USW00013964,0
",,W,",SNOW,2017-01-04T00:00:00,GHCND:USW00013964,0
",,W,",SNWD,2017-01-04T00:00:00,GHCND:USW00013964,0
"H,,S,",TAVG,2017-01-04T00:00:00,GHCND:USW00013964,7
",,W,2400",TMAX,2017-01-04T00:00:00,GHCND:USW00013964,50
",,W,2400",TMIN,2017-01-04T00:00:00,GHCND:USW00013964,-38
",,W,",WDF2,2017-01-04T00:00:00,GHCND:USW00013964,360
",,W,",WDF5,2017-01-04T00:00:00,GHCND:USW00013964,360
",,W,",WSF2,2017-01-04T00:00:00,GHCND:USW00013964,72
",,W,",WSF5,2017-01-04T00:00:00,GHCND:USW00013964,94
",,N,",PRCP,2017-01-05T00:00:00,GHCND:US1ARCF0004,0
",,N,",PRCP,2017-01-05T00:00:00,GHCND:US1ARCF0005,0
",,N,",SNOW,2017-01-05T00:00:00,GHCND:US1ARCF0005,0
",,N,",PRCP,2017-01-05T00:00:00,GHCND:US1ARSB0004,0
",,N,",SNOW,2017-01-05T00:00:00,GHCND:US1ARSB0004,0
",,N,",PRCP,2017-01-05T00:00:00,GHCND:US1ARSB0008,0
",,N,",SNOW,2017-01-05T00:00:00,GHCND:US1ARSB0008,0
",,W,",AWND,2017-01-05T00:00:00,GHCND:USW00013964,48
",,W,2400",PRCP,2017-01-05T00:00:00,GHCND:USW00013964,0
",,W,",SNOW,2017-01-05T00:00:00,GHCND:USW00013964,0
",,W,",SNWD,2017-01-05T00:00:00,GHCND:USW00013964,0
"H,,S,",TAVG,2017-01-05T00:00:00,GHCND:USW00013964,8
",,W,2400",TMAX,2017-01-05T00:00:00,GHCND:USW00013964,17
",,W,2400",TMIN,2017-01-05T00:00:00,GHCND:USW00013964,-55
",,W,",WDF2,2017-01-05T00:00:00,GHCND:USW00013964,360
",,W,",WDF5,2017-01-05T00:00:00,GHCND:USW00013964,360
",,W,",WSF2,2017-01-05T00:00:00,GHCND:USW00013964,89
",,W,",WSF5,2017-01-05T00:00:00,GHCND:USW00013964,103
",,N,",PRCP,2017-01-06T00:00:00,GHCND:US1ARCF0001,48
",,N,",SNOW,2017-01-06T00:00:00,GHCND:US1ARCF0001,36
