attributes,datatype,date,station,value
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US10hall004,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US10hall004,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US10hall007,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US10hall009,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US10hall009,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US10hall011,0
",,W,",AWND,2017-01-01T00:00:00,GHCND:USW00014935,41
",,W,2400",PRCP,2017-01-01T00:00:00,GHCND:USW00014935,0
",,W,",SNOW,2017-01-01T00:00:00,GHCND:USW00014935,0
",,W,",SNWD,2017-01-01T00:00:00,GHCND:USW00014935,0
"H,,S,",TAVG,2017-01-01T00:00:00,GHCND:USW00014935,-13
",,W,2400",TMAX,2017-01-01T00:00:00,GHCND:USW00014935,39
",,W,2400",TMIN,2017-01-01T00:00:00,GHCND:USW00014935,-49
",,W,",WDF2,2017-01-01T00:00:00,GHCND:USW00014935,180
",,W,",WDF5,2017-01-01T00:00:00,GHCND:USW00014935,180
",,W,",WSF2,2017-01-01T00:00:00,GHCND:USW00014935,89
",,W,",WSF5,2017-01-01T00:00:00,GHCND:USW00014935,103
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US10hall002,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US10hall004,0
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US10hall004,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US10hall007,0
"T,,N,",PRCP,2017-01-02T00:00:00,GHCND:US10hall009,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US10hall021,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US10merr009,0
",,W,",AWND,2017-01-02T00:00:00,GHCND:USW00014935,51
"T,,W,2400",PRCP,2017-01-02T00:00:00,GHCND:USW00014935,0
",,W,",SNOW,2017-01-02T00:00:00,GHCND:USW00014935,0
",,W,",SNWD,2017-01-02T00:00:00,GHCND:USW00014935,0
"H,,S,",TAVG,2017-01-02T00:00:00,GHCND:USW00014935,2
",,W,2400",TMAX,2017-01-02T00:00:00,GHCND:USW00014935,11
",,W,2400",TMIN,2017-01-02T00:00:00,GHCND:USW00014935,-77
",,W,",WDF2,2017-01-02T00:00:00,GHCND:USW00014935,330
",,W,",WDF5,2017-01-02T00:00:00,GHCND:USW00014935,340
",,W,",WSF2,2017-01-02T00:00:00,GHCND:USW00014935,130
",,W,",WSF5,2017-01-02T00:00:00,GHCND:USW00014935,157
",,W,",WT01,2017-01-02T00:00:00,GHCND:USW00014935,1
"T,,N,",PRCP,2017-01-03T00:00:00,GHCND:US10hall001,0
"T,,N,",PRCP,2017-01-03T00:00:00,GHCND:US10hall002,0
"T,,N,",PRCP,2017-01-03T00:00:00,GHCND:US10hall009,0
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US10merr009,0
",,W,",AWND,2017-01-03T00:00:00,GHCND:USW00014935,82
",,W,2400",PRCP,2017-01-03T00:00:00,GHCND:USW00014935,0
",,W,",SNOW,2017-01-03T00:00:00,GHCND:USW00014935,0
",,W,",SNWD,2017-01-03T00:00:00,GHCND:USW00014935,0
"H,,S,",TAVG,2017-01-03T00:00:00,GHCND:USW00014935,-78
",,W,2400",TMAX,2017-01-03T00:00:00,GHCND:USW00014935,-60
",,W,2400",TMIN,2017-01-03T00:00:00,GHCND:USW00014935,-149
",,W,",WDF2,2017-01-03T00:00:00,GHCND:USW00014935,340
",,W,",WDF5,2017-01-03T00:00:00,GHCND:USW00014935,340
",,W,",WSF2,2017-01-03T00:00:00,GHCND:USW00014935,143
",,W,",WSF5,2017-01-03T00:00:00,GHCND:USW00014935,170
",,N,",PRCP,2017-01-04T00:00:00,GHCND:US10hall007,0
",,N,",PRCP,2017-01-04T00:00:00,GHCND:US10hall009,8
",,W,",AWND,2017-01-04T00:00:00,GHCND:USW00014935,37
",,W,2400",PRCP,2017-01-04T00:00:00,GHCND:USW00014935,28
",,W,",SNOW,2017-01-04T00:00:00,GHCND:USW00014935,41
"T,,W,",SNWD,2017-01-04T00:00:00,GHCND:USW00014935,0
"H,,S,",TAVG,2017-01-04T00:00:00,GHCND:USW00014935,-128
",,W,2400",TMAX,2017-01-04T00:00:00,GHCND:USW00014935,-105
",,W,2400",TMIN,2017-01-04T00:00:00,GHCND:USW00014935,-177
",,W,",WDF2,2017-01-04T00:00:00,GHCND:USW00014935,340
",,W,",WDF5,2017-01-04T00:00:00,GHCND:USW00014935,350
",,W,",WSF2,2017-01-04T00:00:00,GHCND:USW00014935,76
",,W,",WSF5,2017-01-04T00:00:00,GHCND:USW00014935,98
",,W,",WT01,2017-01-04T00:00:00,GHCND:USW00014935,1
",,N,",PRCP,2017-01-05T00:00:00,GHCND:US10hall006,25
",,N,",SNOW,2017-01-05T00:00:00,GHCND:US10hall006,38
",,N,",PRCP,2017-01-05T00:00:00,GHCND:US10hall009,33
",,N,",PRCP,2017-01-05T00:00:00,GHCND:US10hall021,23
",,N,",SNOW,2017-01-05T00:00:00,GHCND:US10hall021,25
",,N,",SNWD,2017-01-05T00:00:00,GHCND:US10hall021,25
",,N,",PRCP,2017-01-05T00:00:00,GHCND:US10merr009,20
",,N,",SNOW,2017-01-05T00:00:00,GHCND:US10merr009,51
",,W,",AWND,2017-01-05T00:00:00,GHCND:USW00014935,49
"T,,W,2400",PRCP,2017-01-05T00:00:00,GHCND:USW00014935,0
"T,,W,",SNOW,2017-01-05T00:00:00,GHCND:USW00014935,0
",,W,",SNWD,2017-01-05T00:00:00,GHCND:USW00014935,30
"H,,S,",TAVG,2017-01-05T00:00:00,GHCND:USW00014935,-142
",,W,2400",TMAX,2017-01-05T00:00:00,GHCND:USW00014935,-116
",,W,2400",TMIN,2017-01-05T00:00:00,GHCND:USW00014935,-221
",,W,",WDF2,2017-01-05T00:00:00,GHCND:USW00014935,320
",,W,",WDF5,2017-01-05T00:00:00,GHCND:USW00014935,310
",,W,",WSF2,2017-01-05T00:00:00,GHCND:USW00014935,107
",,W,",WSF5,2017-01-05T00:00:00,GHCND:USW00014935,130
",,W,",WT01,2017-01-05T00:00:00,GHCND:USW00014935,1
",,W,",WT08,2017-01-05T00:00:00,GHCND:USW00014935,1
",,W,",WT09,2017-01-05T00:00:00,GHCND:USW00014935,1
",,N,",PRCP,2017-01-06T00:00:00,GHCND:US10hall001,0
",,N,",SNOW,2017-01-06T00:00:00,GHCND:US10hall001,0
",,N,",PRCP,2017-01-06T00:00:00,GHCND:US10hall002,0
",,N,",SNOW,2017-01-06T00:00:00,GHCND:US10hall002,0
",,N,",PRCP,2017-01-06T00:00:00,GHCND:US10hall004,0
",,N,",SNOW,2017-01-06T00:00:00,GHCND:US10hall004,0
",,N,",PRCP,2017-01-06T00:00:00,GHCND:US10hall005,0
",,N,",PRCP,2017-01-06T00:00:00,GHCND:US10hall007,0
",,N,",PRCP,2017-01-06T00:00:00,GHCND:US10hall009,0
",,N,",SNOW,2017-01-06T00:00:00,GHCND:US10hall009,0
",,W,",AWND,2017-01-06T00:00:00,GHCND:USW00014935,39
",,W,2400",PRCP,2017-01-06T00:00:00,GHCND:USW00014935,0
",,W,",SNOW,2017-01-06T00:00:00,GHCND:USW00014935,0
",,W,",SNWD,2017-01-06T00:00:00,GHCND:USW00014935,30
"H,,S,",TAVG,2017-01-06T00:00:00,GHCND:USW00014935,-181
",,W,2400",TMAX,2017-01-06T00:00:00,GHCND:USW00014935,-82
",,W,2400",TMIN,2017-01-06T00:00:00,GHCND:USW00014935,-238
",,W,",WDF2,2017-01-06T00:00:00,GHCND:USW00014935,270
",,W,",WDF5,2017-01-06T00:00:00,GHCND:USW00014935,270
",,W,",WSF2,2017-01-06T00:00:00,GHCND:USW00014935,63
",,W,",WSF5,2017-01-06T00:00:00,GHCND:USW00014935,76
",,N,",PRCP,2017-01-07T00:00:00,GHCND:US10hall004,0
",,N,",SNOW,2017-01-07T00:00:00,GHCND:US10hall004,0
",,N,",PRCP,2017-01-07T00:00:00,GHCND:US10hall009,0
",,N,",SNOW,2017-01-07T00:00:00,GHCND:US10hall009,0
",,W,",AWND,2017-01-07T00:00:00,GHCND:USW00014935,30
",,W,2400",PRCP,2017-01-07T00:00:00,GHCND:USW00014935,0
",,W,",SNOW,2017-01-07T00:00:00,GHCND:USW00014935,0
",,W,",SNWD,2017-01-07T00:00:00,GHCND:USW00014935,30
"H,,S,",TAVG,2017-01-07T00:00:00,GHCND:USW00014935,-132
",,W,2400",TMAX,2017-01-07T00:00:00,GHCND:USW00014935,-82
",,W,2400",TMIN,2017-01-07T00:00:00,GHCND:USW00014935,-177
",,W,",WDF2,2017-01-07T00:00:00,GHCND:USW00014935,340
",,W,",WDF5,2017-01-07T00:00:00,GHCND:USW00014935,340
",,W,",WSF2,2017-01-07T00:00:00,GHCND:USW00014935,63
",,W,",WSF5,2017-01-07T00:00:00,GHCND:USW00014935,76
",,N,",PRCP,2017-01-08T00:00:00,GHCND:US10hall009,0
",,N,",SNOW,2017-01-08T00:00:00,GHCND:US10hall009,0
",,N,",PRCP,2017-01-08T00:00:00,GHCND:US10hall039,0
",,W,",AWND,2017-01-08T00:00:00,GHCND:USW00014935,59
",,W,2400",PRCP,2017-01-08T00:00:00,GHCND:USW00014935,0
",,W,",SNOW,2017-01-08T00:00:00,GHCND:USW00014935,0
",,W,",SNWD,2017-01-08T00:00:00,GHCND:USW00014935,30
"H,,S,",TAVG,2017-01-08T00:00:00,GHCND:USW00014935,-97
",,W,2400",TMAX,2017-01-08T00:00:00,GHCND:USW00014935,-10
",,W,2400",TMIN,2017-01-08T00:00:00,GHCND:USW00014935,-143
",,W,",WDF2,2017-01-08T00:00:00,GHCND:USW00014935,220
",,W,",WDF5,2017-01-08T00:00:00,GHCND:USW00014935,200
",,W,",WSF2,2017-01-08T00:00:00,GHCND:USW00014935,107
",,W,",WSF5,2017-01-08T00:00:00,GHCND:USW00014935,143
",,N,",PRCP,2017-01-09T00:00:00,GHCND:US10hall004,0
",,N,",SNOW,2017-01-09T00:00:00,GHCND:US10hall004,0
",,N,",PRCP,2017-01-09T00:00:00,GHCND:US10hall007,0
",,N,",PRCP,2017-01-09T00:00:00,GHCND:US10hall009,0
",,N,",SNOW,2017-01-09T00:00:00,GHCND:US10hall009,0
",,N,",PRCP,2017-01-09T00:00:00,GHCND:US10hall016,0
",,W,",AWND,2017-01-09T00:00:00,GHCND:USW00014935,36
",,W,2400",PRCP,2017-01-09T00:00:00,GHCND:USW00014935,0
",,W,",SNOW,2017-01-09T00:00:00,GHCND:USW00014935,0
"T,,W,",SNWD,2017-01-09T00:00:00,GHCND:USW00014935,0
"H,,S,",TAVG,2017-01-09T00:00:00,GHCND:USW00014935,-48
",,W,2400",TMAX,2017-01-09T00:00:00,GHCND:USW00014935,33
",,W,2400",TMIN,2017-01-09T00:00:00,GHCND:USW00014935,-105
",,W,",WDF2,2017-01-09T00:00:00,GHCND:USW00014935,150
",,W,",WDF5,2017-01-09T00:00:00,GHCND:USW00014935,150
",,W,",WSF2,2017-01-09T00:00:00,GHCND:USW00014935,89
",,W,",WSF5,2017-01-09T00:00:00,GHCND:USW00014935,107
",,N,",PRCP,2017-01-10T00:00:00,GHCND:US10hall005,0
"T,,N,",PRCP,2017-01-10T00:00:00,GHCND:US10hall009,0
",,W,",AWND,2017-01-10T00:00:00,GHCND:USW00014935,62
",,W,2400",PRCP,2017-01-10T00:00:00,GHCND:USW00014935,5
",,W,",SNOW,2017-01-10T00:00:00,GHCND:USW00014935,0
"T,,W,",SNWD,2017-01-10T00:00:00,GHCND:USW00014935,0
"H,,S,",TAVG,2017-01-10T00:00:00,GHCND:USW00014935,2
",,W,2400",TMAX,2017-01-10T00:00:00,GHCND:USW00014935,50
",,W,2400",TMIN,2017-01-10T00:00:00,GHCND:USW00014935,-55
