attributes,datatype,date,station,value
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1NCPT0007,3
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1NCPT0008,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1NCPT0008,0
"T,,N,",PRCP,2017-01-01T00:00:00,GHCND:US1NCPT0019,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1NCPT0021,3
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1NCPT0023,5
"T,,N,",PRCP,2017-01-01T00:00:00,GHCND:US1NCPT0025,0
"T,,N,",PRCP,2017-01-01T00:00:00,GHCND:US1NCPT0035,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1NCPT0037,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1NCPT0037,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1NCPT0040,5
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1NCPT0049,5
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1NCPT0055,5
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1NCPT0055,0
",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1NCPT0055,0
",,N,",WESD,2017-01-01T00:00:00,GHCND:US1NCPT0055,0
",,N,",WESF,2017-01-01T00:00:00,GHCND:US1NCPT0055,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1NCPT0057,8
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1NCPT0062,10
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1NCPT0063,5
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1NCPT0067,5
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1NCPT0078,13
",,7,2400",PRCP,2017-01-01T00:00:00,GHCND:USC00313638,3
",,7,2400",TMAX,2017-01-01T00:00:00,GHCND:USC00313638,100
",,7,2400",TMIN,2017-01-01T00:00:00,GHCND:USC00313638,61
",,7,2400",TOBS,2017-01-01T00:00:00,GHCND:USC00313638,89
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1NCPT0005,51
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1NCPT0007,107
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1NCPT0008,102
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1NCPT0019,224
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1NCPT0021,86
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1NCPT0023,173
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1NCPT0025,216
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1NCPT0035,224
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1NCPT0037,198
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1NCPT0040,208
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1NCPT0049,198
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1NCPT0055,117
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1NCPT0055,0
",,N,",SNWD,2017-01-02T00:00:00,GHCND:US1NCPT0055,0
",,N,",WESD,2017-01-02T00:00:00,GHCND:US1NCPT0055,0
",,N,",WESF,2017-01-02T00:00:00,GHCND:US1NCPT0055,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1NCPT0057,229
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1NCPT0062,185
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1NCPT0063,201
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1NCPT0067,168
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1NCPT0078,254
",,7,2400",PRCP,2017-01-02T00:00:00,GHCND:USC00313638,254
",,7,2400",TMAX,2017-01-02T00:00:00,GHCND:USC00313638,133
",,7,2400",TMIN,2017-01-02T00:00:00,GHCND:USC00313638,89
",,7,2400",TOBS,2017-01-02T00:00:00,GHCND:USC00313638,100
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1NCPT0005,231
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1NCPT0007,178
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1NCPT0008,137
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1NCPT0019,262
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1NCPT0021,368
",,N,",SNOW,2017-01-03T00:00:00,GHCND:US1NCPT0021,0
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1NCPT0023,170
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1NCPT0035,127
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1NCPT0037,267
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1NCPT0040,152
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1NCPT0049,150
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1NCPT0055,122
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1NCPT0057,41
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1NCPT0062,170
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1NCPT0063,142
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1NCPT0067,79
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1NCPT0078,140
",,7,2400",PRCP,2017-01-03T00:00:00,GHCND:USC00313638,127
",,7,2400",TMAX,2017-01-03T00:00:00,GHCND:USC00313638,172
",,7,2400",TMIN,2017-01-03T00:00:00,GHCND:USC00313638,94
",,7,2400",TOBS,2017-01-03T00:00:00,GHCND:USC00313638,144
",,N,",PRCP,2017-01-04T00:00:00,GHCND:US1NCPT0005,180
",,N,",PRCP,2017-01-04T00:00:00,GHCND:US1NCPT0007,81
",,N,",PRCP,2017-01-04T00:00:00,GHCND:US1NCPT0008,150
",,N,",SNOW,2017-01-04T00:00:00,GHCND:US1NCPT0008,0
",,N,",PRCP,2017-01-04T00:00:00,GHCND:US1NCPT0019,33
",,N,",PRCP,2017-01-04T00:00:00,GHCND:US1NCPT0021,58
",,N,",PRCP,2017-01-04T00:00:00,GHCND:US1NCPT0023,38
",,N,",PRCP,2017-01-04T00:00:00,GHCND:US1NCPT0035,46
",,N,",PRCP,2017-01-04T00:00:00,GHCND:US1NCPT0037,23
",,N,",PRCP,2017-01-04T00:00:00,GHCND:US1NCPT0040,69
",,N,",PRCP,2017-01-04T00:00:00,GHCND:US1NCPT0049,33
",,N,",PRCP,2017-01-04T00:00:00,GHCND:US1NCPT0055,203
",,N,",SNOW,2017-01-04T00:00:00,GHCND:US1NCPT0055,0
",,N,",SNWD,2017-01-04T00:00:00,GHCND:US1NCPT0055,0
",,N,",WESD,2017-01-04T00:00:00,GHCND:US1NCPT0055,0
",,N,",WESF,2017-01-04T00:00:00,GHCND:US1NCPT0055,0
",,N,",PRCP,2017-01-04T00:00:00,GHCND:US1NCPT0057,69
",,N,",PRCP,2017-01-04T00:00:00,GHCND:US1NCPT0062,61
",,N,",PRCP,2017-01-04T00:00:00,GHCND:US1NCPT0063,46
",,N,",PRCP,2017-01-04T00:00:00,GHCND:US1NCPT0067,36
",,N,",PRCP,2017-01-04T00:00:00,GHCND:US1NCPT0078,0
",,N,",SNOW,2017-01-04T00:00:00,GHCND:US1NCPT0078,0
",,7,2400",PRCP,2017-01-04T00:00:00,GHCND:USC00313638,0
",,7,2400",TMAX,2017-01-04T00:00:00,GHCND:USC00313638,178
",,7,2400",TMIN,2017-01-04T00:00:00,GHCND:USC00313638,78
",,7,2400",TOBS,2017-01-04T00:00:00,GHCND:USC00313638,83
"T,,N,",PRCP,2017-01-05T00:00:00,GHCND:US1NCPT0007,0
",,N,",PRCP,2017-01-05T00:00:00,GHCND:US1NCPT0008,0
",,N,",SNOW,2017-01-05T00:00:00,GHCND:US1NCPT0008,0
",,N,",PRCP,2017-01-05T00:00:00,GHCND:US1NCPT0019,0
",,N,",SNOW,2017-01-05T00:00:00,GHCND:US1NCPT0019,0
",,N,",PRCP,2017-01-05T00:00:00,GHCND:US1NCPT0021,0
",,N,",SNOW,2017-01-05T00:00:00,GHCND:US1NCPT0021,0
",,N,",PRCP,2017-01-05T00:00:00,GHCND:US1NCPT0023,0
",,N,",SNOW,2017-01-05T00:00:00,GHCND:US1NCPT0023,0
",,N,",PRCP,2017-01-05T00:00:00,GHCND:US1NCPT0037,0
",,N,",SNOW,2017-01-05T00:00:00,GHCND:US1NCPT0037,0
",,N,",PRCP,2017-01-05T00:00:00,GHCND:US1NCPT0040,3
",,N,",PRCP,2017-01-05T00:00:00,GHCND:US1NCPT0047,0
",,N,",SNOW,2017-01-05T00:00:00,GHCND:US1NCPT0047,0
",,N,",PRCP,2017-01-05T00:00:00,GHCND:US1NCPT0055,0
",,N,",SNOW,2017-01-05T00:00:00,GHCND:US1NCPT0055,0
",,N,",SNWD,2017-01-05T00:00:00,GHCND:US1NCPT0055,0
",,N,",WESD,2017-01-05T00:00:00,GHCND:US1NCPT0055,0
",,N,",WESF,2017-01-05T00:00:00,GHCND:US1NCPT0055,0
",,N,",PRCP,2017-01-05T00:00:00,GHCND:US1NCPT0057,0
",,N,",SNOW,2017-01-05T00:00:00,GHCND:US1NCPT0057,0
",,N,",PRCP,2017-01-05T00:00:00,GHCND:US1NCPT0062,0
",,N,",SNOW,2017-01-05T00:00:00,GHCND:US1NCPT0062,0
",,N,",PRCP,2017-01-05T00:00:00,GHCND:US1NCPT0063,0
",,N,",SNOW,2017-01-05T00:00:00,GHCND:US1NCPT0063,0
",,N,",PRCP,2017-01-05T00:00:00,GHCND:US1NCPT0078,0
",,N,",SNOW,2017-01-05T00:00:00,GHCND:US1NCPT0078,0
",,7,2400",PRCP,2017-01-05T00:00:00,GHCND:USC00313638,3
",,7,2400",TMAX,2017-01-05T00:00:00,GHCND:USC00313638,83
",,7,2400",TMIN,2017-01-05T00:00:00,GHCND:USC00313638,-6
",,7,2400",TOBS,2017-01-05T00:00:00,GHCND:USC00313638,56
",,N,",PRCP,2017-01-06T00:00:00,GHCND:US1NCPT0005,8
",,N,",PRCP,2017-01-06T00:00:00,GHCND:US1NCPT0007,0
",,N,",SNOW,2017-01-06T00:00:00,GHCND:US1NCPT0007,0
",,N,",PRCP,2017-01-06T00:00:00,GHCND:US1NCPT0008,0
",,N,",SNOW,2017-01-06T00:00:00,GHCND:US1NCPT0008,0
"T,,N,",PRCP,2017-01-06T00:00:00,GHCND:US1NCPT0017,0
",,N,",PRCP,2017-01-06T00:00:00,GHCND:US1NCPT0021,0
",,N,",SNOW,2017-01-06T00:00:00,GHCND:US1NCPT0021,0
",,N,",PRCP,2017-01-06T00:00:00,GHCND:US1NCPT0023,3
",,N,",PRCP,2017-01-06T00:00:00,GHCND:US1NCPT0025,0
",,N,",SNOW,2017-01-06T00:00:00,GHCND:US1NCPT0025,0
",,N,",PRCP,2017-01-06T00:00:00,GHCND:US1NCPT0040,3
"T,,N,",PRCP,2017-01-06T00:00:00,GHCND:US1NCPT0047,0
",,N,",PRCP,2017-01-06T00:00:00,GHCND:US1NCPT0055,0
",,N,",SNOW,2017-01-06T00:00:00,GHCND:US1NCPT0055,0
",,N,",SNWD,2017-01-06T00:00:00,GHCND:US1NCPT0055,0
",,N,",WESD,2017-01-06T00:00:00,GHCND:US1NCPT0055,0
",,N,",WESF,2017-01-06T00:00:00,GHCND:US1NCPT0055,0
",,N,",PRCP,2017-01-06T00:00:00,GHCND:US1NCPT0057,5
",,N,",PRCP,2017-01-06T00:00:00,GHCND:US1NCPT0062,5
",,N,",PRCP,2017-01-06T00:00:00,GHCND:US1NCPT0063,0
",,N,",SNOW,2017-01-06T00:00:00,GHCND:US1NCPT0063,0
",,N,",PRCP,2017-01-06T00:00:00,GHCND:US1NCPT0078,135
",,N,",SNOW,2017-01-06T00:00:00,GHCND:US1NCPT0078,0
",,7,2400",PRCP,2017-01-06T00:00:00,GHCND:USC00313638,69
",,7,2400",TMAX,2017-01-06T00:00:00,GHCND:USC00313638,78
",,7,2400",TMIN,2017-01-06T00:00:00,GHCND:USC00313638,6
",,7,2400",TOBS,2017-01-06T00:00:00,GHCND:USC00313638,6
",,N,",PRCP,2017-01-07T00:00:00,GHCND:US1NCPT0005,150
",,N,",PRCP,2017-01-07T00:00:00,GHCND:US1NCPT0007,216
",,N,",SNOW,2017-01-07T00:00:00,GHCND:US1NCPT0007,5
",,N,",SNWD,2017-01-07T00:00:00,GHCND:US1NCPT0007,5
",,N,",WESD,2017-01-07T00:00:00,GHCND:US1NCPT0007,51
",,N,",WESF,2017-01-07T00:00:00,GHCND:US1NCPT0007,51
",,N,",PRCP,2017-01-07T00:00:00,GHCND:US1NCPT0008,104
",,N,",SNOW,2017-01-07T00:00:00,GHCND:US1NCPT0008,0
",,N,",PRCP,2017-01-07T00:00:00,GHCND:US1NCPT0021,229
",,N,",SNOW,2017-01-07T00:00:00,GHCND:US1NCPT0021,5
",,N,",SNWD,2017-01-07T00:00:00,GHCND:US1NCPT0021,5
",,N,",PRCP,2017-01-07T00:00:00,GHCND:US1NCPT0037,168
",,N,",PRCP,2017-01-07T00:00:00,GHCND:US1NCPT0040,216
",,N,",PRCP,2017-01-07T00:00:00,GHCND:US1NCPT0057,216
",,N,",SNOW,2017-01-07T00:00:00,GHCND:US1NCPT0057,13
",,N,",SNWD,2017-01-07T00:00:00,GHCND:US1NCPT0057,13
",,N,",WESD,2017-01-07T00:00:00,GHCND:US1NCPT0057,69
",,N,",WESF,2017-01-07T00:00:00,GHCND:US1NCPT0057,69
",,N,",PRCP,2017-01-07T00:00:00,GHCND:US1NCPT0062,211
",,N,",SNWD,2017-01-07T00:00:00,GHCND:US1NCPT0062,10
",,N,",PRCP,2017-01-07T00:00:00,GHCND:US1NCPT0063,147
",,N,",SNOW,2017-01-07T00:00:00,GHCND:US1NCPT0063,25
",,N,",SNWD,2017-01-07T00:00:00,GHCND:US1NCPT0063,25
",,N,",PRCP,2017-01-07T00:00:00,GHCND:US1NCPT0067,229
",,N,",PRCP,2017-01-07T00:00:00,GHCND:US1NCPT0078,178
",,7,2400",PRCP,2017-01-07T00:00:00,GHCND:USC00313638,241
",,7,",SNOW,2017-01-07T00:00:00,GHCND:USC00313638,46
