attributes,datatype,date,station,value
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1MNSL0015,8
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1MNSL0015,20
",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1MNSL0015,368
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1MNSL0108,20
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1MNSL0108,25
",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1MNSL0108,254
",,N,",WESD,2017-01-01T00:00:00,GHCND:US1MNSL0108,406
",,N,",WESF,2017-01-01T00:00:00,GHCND:US1MNSL0108,20
",,U,",TAVG,2017-01-01T00:00:00,GHCND:USR0000MHIB,-96
"H,,U,",TMAX,2017-01-01T00:00:00,GHCND:USR0000MHIB,-50
"H,,U,",TMIN,2017-01-01T00:00:00,GHCND:USR0000MHIB,-183
",,W,",AWND,2017-01-01T00:00:00,GHCND:USW00094931,34
",,W,",PGTM,2017-01-01T00:00:00,GHCND:USW00094931,1026
"T,,W,",PRCP,2017-01-01T00:00:00,GHCND:USW00094931,0
",,W,",TMAX,2017-01-01T00:00:00,GHCND:USW00094931,-55
",,W,",TMIN,2017-01-01T00:00:00,GHCND:USW00094931,-199
",,W,",WDF2,2017-01-01T00:00:00,GHCND:USW00094931,320
",,W,",WDF5,2017-01-01T00:00:00,GHCND:USW00094931,320
",,W,",WSF2,2017-01-01T00:00:00,GHCND:USW00094931,98
",,W,",WSF5,2017-01-01T00:00:00,GHCND:USW00094931,125
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1MNIT0006,10
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1MNIT0006,23
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1MNSL0015,10
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1MNSL0015,25
",,N,",SNWD,2017-01-02T00:00:00,GHCND:US1MNSL0015,381
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1MNSL0108,10
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1MNSL0108,20
",,N,",SNWD,2017-01-02T00:00:00,GHCND:US1MNSL0108,262
",,N,",WESD,2017-01-02T00:00:00,GHCND:US1MNSL0108,366
",,N,",WESF,2017-01-02T00:00:00,GHCND:US1MNSL0108,10
",,U,",TAVG,2017-01-02T00:00:00,GHCND:USR0000MHIB,-54
"H,,U,",TMAX,2017-01-02T00:00:00,GHCND:USR0000MHIB,-22
"H,,U,",TMIN,2017-01-02T00:00:00,GHCND:USR0000MHIB,-122
",,W,",AWND,2017-01-02T00:00:00,GHCND:USW00094931,34
",,W,",PGTM,2017-01-02T00:00:00,GHCND:USW00094931,2049
",,W,",PRCP,2017-01-02T00:00:00,GHCND:USW00094931,10
",,W,",TMAX,2017-01-02T00:00:00,GHCND:USW00094931,-27
",,W,",TMIN,2017-01-02T00:00:00,GHCND:USW00094931,-127
",,W,",WDF2,2017-01-02T00:00:00,GHCND:USW00094931,90
",,W,",WDF5,2017-01-02T00:00:00,GHCND:USW00094931,80
",,W,",WSF2,2017-01-02T00:00:00,GHCND:USW00094931,63
",,W,",WSF5,2017-01-02T00:00:00,GHCND:USW00094931,85
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1MNIT0006,51
",,N,",SNOW,2017-01-03T00:00:00,GHCND:US1MNIT0006,79
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1MNSL0015,53
",,N,",SNOW,2017-01-03T00:00:00,GHCND:US1MNSL0015,107
",,N,",SNWD,2017-01-03T00:00:00,GHCND:US1MNSL0015,432
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1MNSL0108,38
",,N,",SNOW,2017-01-03T00:00:00,GHCND:US1MNSL0108,89
",,N,",SNWD,2017-01-03T00:00:00,GHCND:US1MNSL0108,330
",,N,",WESD,2017-01-03T00:00:00,GHCND:US1MNSL0108,457
",,N,",WESF,2017-01-03T00:00:00,GHCND:US1MNSL0108,38
",,U,",TAVG,2017-01-03T00:00:00,GHCND:USR0000MHIB,-111
"H,,U,",TMAX,2017-01-03T00:00:00,GHCND:USR0000MHIB,-22
"H,,U,",TMIN,2017-01-03T00:00:00,GHCND:USR0000MHIB,-211
",,W,",AWND,2017-01-03T00:00:00,GHCND:USW00094931,50
",,W,",PGTM,2017-01-03T00:00:00,GHCND:USW00094931,2056
",,W,",PRCP,2017-01-03T00:00:00,GHCND:USW00094931,15
",,W,",TMAX,2017-01-03T00:00:00,GHCND:USW00094931,-27
",,W,",TMIN,2017-01-03T00:00:00,GHCND:USW00094931,-216
",,W,",WDF2,2017-01-03T00:00:00,GHCND:USW00094931,300
",,W,",WDF5,2017-01-03T00:00:00,GHCND:USW00094931,310
",,W,",WSF2,2017-01-03T00:00:00,GHCND:USW00094931,94
",,W,",WSF5,2017-01-03T00:00:00,GHCND:USW00094931,125
",,N,",PRCP,2017-01-04T00:00:00,GHCND:US1MNSL0015,3
",,N,",SNOW,2017-01-04T00:00:00,GHCND:US1MNSL0015,3
",,N,",SNWD,2017-01-04T00:00:00,GHCND:US1MNSL0015,432
",,N,",PRCP,2017-01-04T00:00:00,GHCND:US1MNSL0108,5
",,N,",SNOW,2017-01-04T00:00:00,GHCND:US1MNSL0108,8
",,N,",SNWD,2017-01-04T00:00:00,GHCND:US1MNSL0108,318
",,N,",WESD,2017-01-04T00:00:00,GHCND:US1MNSL0108,549
",,N,",WESF,2017-01-04T00:00:00,GHCND:US1MNSL0108,5
