attributes,datatype,date,station,value
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1KSJO0001,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1KSJO0001,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1KSJO0006,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1KSJO0006,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1KSJO0040,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1KSJO0040,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1KSJO0042,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1KSJO0042,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1KSJO0051,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1KSJO0051,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1KSJO0053,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1KSJO0053,0
",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1KSJO0053,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1KSWY0005,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1KSWY0005,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1MOCY0003,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1MOCY0003,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1MOJC0028,0
",,7,0700",PRCP,2017-01-01T00:00:00,GHCND:USC00140957,0
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00140957,0
",,7,",SNWD,2017-01-01T00:00:00,GHCND:USC00140957,0
",,7,0700",TMAX,2017-01-01T00:00:00,GHCND:USC00140957,61
",,7,0700",TMIN,2017-01-01T00:00:00,GHCND:USC00140957,-83
",,7,0700",TOBS,2017-01-01T00:00:00,GHCND:USC00140957,-78
",,7,0700",PRCP,2017-01-01T00:00:00,GHCND:USC00146168,0
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00146168,0
",,7,0700",SNWD,2017-01-01T00:00:00,GHCND:USC00146168,0
",,7,0700",PRCP,2017-01-01T00:00:00,GHCND:USC00147756,0
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00147756,0
",,7,",SNWD,2017-01-01T00:00:00,GHCND:USC00147756,0
",,7,0600",PRCP,2017-01-01T00:00:00,GHCND:USC00234154,0
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00234154,0
",,7,",SNWD,2017-01-01T00:00:00,GHCND:USC00234154,0
",,7,0600",TMAX,2017-01-01T00:00:00,GHCND:USC00234154,67
",,7,0600",TMIN,2017-01-01T00:00:00,GHCND:USC00234154,-72
",,7,0600",TOBS,2017-01-01T00:00:00,GHCND:USC00234154,-67
