attributes,datatype,date,station,value
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1FLMN0001,0
"T,,N,",PRCP,2017-01-01T00:00:00,GHCND:US1FLMN0007,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1FLMN0022,3
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1FLMN0024,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1FLMN0024,0
"T,,7,2400",PRCP,2017-01-01T00:00:00,GHCND:USC00084571,0
",,7,2400",TMAX,2017-01-01T00:00:00,GHCND:USC00084571,261
",,7,2400",TMIN,2017-01-01T00:00:00,GHCND:USC00084571,233
",,7,2400",TOBS,2017-01-01T00:00:00,GHCND:USC00084571,239
",,W,",AWND,2017-01-01T00:00:00,GHCND:USW00012836,50
",,W,2400",PRCP,2017-01-01T00:00:00,GHCND:USW00012836,5
"H,,S,",TAVG,2017-01-01T00:00:00,GHCND:USW00012836,245
",,W,2400",TMAX,2017-01-01T00:00:00,GHCND:USW00012836,261
",,W,2400",TMIN,2017-01-01T00:00:00,GHCND:USW00012836,233
",,W,",WDF2,2017-01-01T00:00:00,GHCND:USW00012836,150
",,W,",WDF5,2017-01-01T00:00:00,GHCND:USW00012836,120
",,W,",WSF2,2017-01-01T00:00:00,GHCND:USW00012836,76
",,W,",WSF5,2017-01-01T00:00:00,GHCND:USW00012836,103
",,W,",WT01,2017-01-01T00:00:00,GHCND:USW00012836,1
",,W,",AWND,2017-01-01T00:00:00,GHCND:USW00012850,48
",,W,",PGTM,2017-01-01T00:00:00,GHCND:USW00012850,1254
",,W,",PRCP,2017-01-01T00:00:00,GHCND:USW00012850,3
",,W,",TMAX,2017-01-01T00:00:00,GHCND:USW00012850,267
",,W,",TMIN,2017-01-01T00:00:00,GHCND:USW00012850,233
",,W,",WDF2,2017-01-01T00:00:00,GHCND:USW00012850,160
",,W,",WDF5,2017-01-01T00:00:00,GHCND:USW00012850,190
",,W,",WSF2,2017-01-01T00:00:00,GHCND:USW00012850,76
",,W,",WSF5,2017-01-01T00:00:00,GHCND:USW00012850,94
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1FLMN0001,8
"T,,N,",PRCP,2017-01-02T00:00:00,GHCND:US1FLMN0007,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1FLMN0022,3
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1FLMN0024,8
"T,,7,2400",PRCP,2017-01-02T00:00:00,GHCND:USC00084571,0
",,7,2400",TMAX,2017-01-02T00:00:00,GHCND:USC00084571,283
",,7,2400",TMIN,2017-01-02T00:00:00,GHCND:USC00084571,239
",,7,2400",TOBS,2017-01-02T00:00:00,GHCND:USC00084571,244
",,W,",AWND,2017-01-02T00:00:00,GHCND:USW00012836,56
"T,,W,2400",PRCP,2017-01-02T00:00:00,GHCND:USW00012836,0
"H,,S,",TAVG,2017-01-02T00:00:00,GHCND:USW00012836,256
",,W,2400",TMAX,2017-01-02T00:00:00,GHCND:USW00012836,272
",,W,2400",TMIN,2017-01-02T00:00:00,GHCND:USW00012836,244
",,W,",WDF2,2017-01-02T00:00:00,GHCND:USW00012836,130
",,W,",WDF5,2017-01-02T00:00:00,GHCND:USW00012836,130
",,W,",WSF2,2017-01-02T00:00:00,GHCND:USW00012836,76
",,W,",WSF5,2017-01-02T00:00:00,GHCND:USW00012836,107
",,W,",AWND,2017-01-02T00:00:00,GHCND:USW00012850,58
",,W,",PGTM,2017-01-02T00:00:00,GHCND:USW00012850,1135
",,W,",PRCP,2017-01-02T00:00:00,GHCND:USW00012850,0
",,W,",TMAX,2017-01-02T00:00:00,GHCND:USW00012850,283
",,W,",TMIN,2017-01-02T00:00:00,GHCND:USW00012850,244
",,W,",WDF2,2017-01-02T00:00:00,GHCND:USW00012850,120
",,W,",WDF5,2017-01-02T00:00:00,GHCND:USW00012850,110
