attributes,datatype,date,station,value
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1WYAB0005,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1WYAB0005,0
"T,,N,",SNWD,2017-01-01T00:00:00,GHCND:US1WYAB0005,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1WYAB0030,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1WYAB0030,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1WYAB0042,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1WYAB0042,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1WYAB0045,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1WYAB0045,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1WYAB0047,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1WYAB0047,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1WYAB0048,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1WYAB0048,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1WYAB0052,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1WYAB0052,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1WYAB0071,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1WYAB0071,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1WYAB0075,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1WYAB0075,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1WYAB0085,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1WYAB0085,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1WYAB0140,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1WYAB0140,0
",,7,0800",PRCP,2017-01-01T00:00:00,GHCND:USC00485417,0
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00485417,0
"T,,7,0800",SNWD,2017-01-01T00:00:00,GHCND:USC00485417,0
",,7,0800",TMAX,2017-01-01T00:00:00,GHCND:USC00485417,39
",,7,0800",TMIN,2017-01-01T00:00:00,GHCND:USC00485417,-83
",,7,0800",TOBS,2017-01-01T00:00:00,GHCND:USC00485417,-72
",,7,",WDFG,2017-01-01T00:00:00,GHCND:USC00485417,247
",,7,",WSFG,2017-01-01T00:00:00,GHCND:USC00485417,139
",,7,2400",PRCP,2017-01-01T00:00:00,GHCND:USC00485435,0
",,7,2400",TMAX,2017-01-01T00:00:00,GHCND:USC00485435,33
",,7,2400",TMIN,2017-01-01T00:00:00,GHCND:USC00485435,-78
",,T,",PRCP,2017-01-01T00:00:00,GHCND:USS0005H02S,0
",,T,",SNWD,2017-01-01T00:00:00,GHCND:USS0005H02S,279
