attributes,datatype,date,station,value
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1NVCK0002,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1NVCK0002,0
"T,,N,",PRCP,2017-01-01T00:00:00,GHCND:US1NVCK0007,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1NVCK0018,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1NVCK0018,0
"T,,N,",PRCP,2017-01-01T00:00:00,GHCND:US1NVCK0029,0
"T,,N,",PRCP,2017-01-01T00:00:00,GHCND:US1NVCK0039,0
"T,,N,",PRCP,2017-01-01T00:00:00,GHCND:US1NVCK0062,0
"T,,N,",PRCP,2017-01-01T00:00:00,GHCND:US1NVCK0065,0
",,7,0700",PRCP,2017-01-01T00:00:00,GHCND:USC00262243,0
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00262243,0
",,7,",SNWD,2017-01-01T00:00:00,GHCND:USC00262243,0
",,7,0700",TMAX,2017-01-01T00:00:00,GHCND:USC00262243,94
",,7,0700",TMIN,2017-01-01T00:00:00,GHCND:USC00262243,28
",,7,0700",TOBS,2017-01-01T00:00:00,GHCND:USC00262243,39
",,7,2400",PRCP,2017-01-01T00:00:00,GHCND:USC00264439,0
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00264439,0
",,7,2400",SNWD,2017-01-01T00:00:00,GHCND:USC00264439,0
",,7,2400",TMAX,2017-01-01T00:00:00,GHCND:USC00264439,156
",,7,2400",TMIN,2017-01-01T00:00:00,GHCND:USC00264439,44
",,7,2400",TOBS,2017-01-01T00:00:00,GHCND:USC00264439,100
",,7,0700",PRCP,2017-01-01T00:00:00,GHCND:USC00265400,13
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00265400,8
",,7,",SNWD,2017-01-01T00:00:00,GHCND:USC00265400,330
",,7,0700",TMAX,2017-01-01T00:00:00,GHCND:USC00265400,22
",,7,0700",TMIN,2017-01-01T00:00:00,GHCND:USC00265400,-78
",,7,0700",TOBS,2017-01-01T00:00:00,GHCND:USC00265400,-72
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00266691,0
",,7,",SNWD,2017-01-01T00:00:00,GHCND:USC00266691,0
",,U,",TAVG,2017-01-01T00:00:00,GHCND:USR0000NKYL,9
"H,,U,",TMAX,2017-01-01T00:00:00,GHCND:USR0000NKYL,72
"H,,U,",TMIN,2017-01-01T00:00:00,GHCND:USR0000NKYL,-39
",,U,",TAVG,2017-01-01T00:00:00,GHCND:USR0000NMOU,19
"H,,U,",TMAX,2017-01-01T00:00:00,GHCND:USR0000NMOU,56
"H,,U,",TMIN,2017-01-01T00:00:00,GHCND:USR0000NMOU,-22
",,U,",TAVG,2017-01-01T00:00:00,GHCND:USR0000NRER,66
"H,,U,",TMAX,2017-01-01T00:00:00,GHCND:USR0000NRER,111
"H,,U,",TMIN,2017-01-01T00:00:00,GHCND:USR0000NRER,6
",,T,",AWDR,2017-01-01T00:00:00,GHCND:USS0015N09S,277
",,T,",AWND,2017-01-01T00:00:00,GHCND:USS0015N09S,8
",,T,",PRCP,2017-01-01T00:00:00,GHCND:USS0015N09S,0
",,T,",SNWD,2017-01-01T00:00:00,GHCND:USS0015N09S,406
",,T,",TAVG,2017-01-01T00:00:00,GHCND:USS0015N09S,-23
",,T,",TMAX,2017-01-01T00:00:00,GHCND:USS0015N09S,48
",,T,",TMIN,2017-01-01T00:00:00,GHCND:USS0015N09S,-82
",,T,",TOBS,2017-01-01T00:00:00,GHCND:USS0015N09S,-18
",,T,",WESD,2017-01-01T00:00:00,GHCND:USS0015N09S,1168
