attributes,datatype,date,station,value
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1OKBV0005,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1OKBV0005,0
",,7,0800",PRCP,2017-01-01T00:00:00,GHCND:USC00142432,0
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00142432,0
",,7,0800",SNWD,2017-01-01T00:00:00,GHCND:USC00142432,0
",,7,0800",TMAX,2017-01-01T00:00:00,GHCND:USC00142432,56
",,7,0800",TMIN,2017-01-01T00:00:00,GHCND:USC00142432,-44
",,7,0800",TOBS,2017-01-01T00:00:00,GHCND:USC00142432,-39
",,7,0700",PRCP,2017-01-01T00:00:00,GHCND:USC00144695,0
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00144695,0
",,7,0700",SNWD,2017-01-01T00:00:00,GHCND:USC00144695,0
",,7,0700",TMAX,2017-01-01T00:00:00,GHCND:USC00144695,72
",,7,0700",TMIN,2017-01-01T00:00:00,GHCND:USC00144695,-50
",,7,0700",TOBS,2017-01-01T00:00:00,GHCND:USC00144695,-39
",,7,0700",PRCP,2017-01-01T00:00:00,GHCND:USC00343195,0
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00343195,0
",,7,",SNWD,2017-01-01T00:00:00,GHCND:USC00343195,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1OKBV0005,0
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1OKBV0005,0
",,7,0800",PRCP,2017-01-02T00:00:00,GHCND:USC00142432,0
",,7,",SNOW,2017-01-02T00:00:00,GHCND:USC00142432,0
",,7,0800",SNWD,2017-01-02T00:00:00,GHCND:USC00142432,0
",,7,0800",TMAX,2017-01-02T00:00:00,GHCND:USC00142432,150
",,7,0800",TMIN,2017-01-02T00:00:00,GHCND:USC00142432,-50
",,7,0800",TOBS,2017-01-02T00:00:00,GHCND:USC00142432,-11
",,7,0700",PRCP,2017-01-02T00:00:00,GHCND:USC00144695,0
",,7,",SNOW,2017-01-02T00:00:00,GHCND:USC00144695,0
",,7,0700",SNWD,2017-01-02T00:00:00,GHCND:USC00144695,0
",,7,0700",TMAX,2017-01-02T00:00:00,GHCND:USC00144695,172
",,7,0700",TMIN,2017-01-02T00:00:00,GHCND:USC00144695,-39
",,7,0700",TOBS,2017-01-02T00:00:00,GHCND:USC00144695,-28
",,7,0700",PRCP,2017-01-02T00:00:00,GHCND:USC00343195,0
",,7,",SNOW,2017-01-02T00:00:00,GHCND:USC00343195,0
",,7,",SNWD,2017-01-02T00:00:00,GHCND:USC00343195,0
"T,,N,",PRCP,2017-01-03T00:00:00,GHCND:US1OKBV0005,0
",,7,0800",PRCP,2017-01-03T00:00:00,GHCND:USC00142432,0
",,7,",SNOW,2017-01-03T00:00:00,GHCND:USC00142432,0
",,7,0800",SNWD,2017-01-03T00:00:00,GHCND:USC00142432,0
",,7,0800",TMAX,2017-01-03T00:00:00,GHCND:USC00142432,139
",,7,0800",TMIN,2017-01-03T00:00:00,GHCND:USC00142432,-78
",,7,0800",TOBS,2017-01-03T00:00:00,GHCND:USC00142432,-78
",,7,0700",PRCP,2017-01-03T00:00:00,GHCND:USC00144695,0
",,7,",SNOW,2017-01-03T00:00:00,GHCND:USC00144695,0
",,7,0700",SNWD,2017-01-03T00:00:00,GHCND:USC00144695,0
",,7,0700",TMAX,2017-01-03T00:00:00,GHCND:USC00144695,139
",,7,0700",TMIN,2017-01-03T00:00:00,GHCND:USC00144695,-61
",,7,0700",TOBS,2017-01-03T00:00:00,GHCND:USC00144695,-61
",,7,0700",PRCP,2017-01-03T00:00:00,GHCND:USC00343195,0
",,7,",SNOW,2017-01-03T00:00:00,GHCND:USC00343195,0
",,7,",SNWD,2017-01-03T00:00:00,GHCND:USC00343195,0
",,N,",PRCP,2017-01-04T00:00:00,GHCND:US1OKBV0005,0
",,N,",SNOW,2017-01-04T00:00:00,GHCND:US1OKBV0005,0
",,7,0800",PRCP,2017-01-04T00:00:00,GHCND:USC00142432,0
",,7,",SNOW,2017-01-04T00:00:00,GHCND:USC00142432,0
",,7,0800",SNWD,2017-01-04T00:00:00,GHCND:USC00142432,0
",,7,0800",TMAX,2017-01-04T00:00:00,GHCND:USC00142432,-11
",,7,0800",TMIN,2017-01-04T00:00:00,GHCND:USC00142432,-122
",,7,0800",TOBS,2017-01-04T00:00:00,GHCND:USC00142432,-117
",,7,0700",PRCP,2017-01-04T00:00:00,GHCND:USC00144695,0
",,7,",SNOW,2017-01-04T00:00:00,GHCND:USC00144695,0
",,7,0700",SNWD,2017-01-04T00:00:00,GHCND:USC00144695,0
",,7,0700",TMAX,2017-01-04T00:00:00,GHCND:USC00144695,-11
",,7,0700",TMIN,2017-01-04T00:00:00,GHCND:USC00144695,-111
",,7,0700",TOBS,2017-01-04T00:00:00,GHCND:USC00144695,-111
",,7,0700",PRCP,2017-01-04T00:00:00,GHCND:USC00343195,0
",,7,",SNOW,2017-01-04T00:00:00,GHCND:USC00343195,0
",,7,",SNWD,2017-01-04T00:00:00,GHCND:USC00343195,0
",,N,",PRCP,2017-01-05T00:00:00,GHCND:US1OKBV0005,0
",,N,",SNOW,2017-01-05T00:00:00,GHCND:US1OKBV0005,0
"T,,7,0800",PRCP,2017-01-05T00:00:00,GHCND:USC00142432,0
",,7,",SNOW,2017-01-05T00:00:00,GHCND:USC00142432,0
",,7,0800",SNWD,2017-01-05T00:00:00,GHCND:USC00142432,0
",,7,0800",TMAX,2017-01-05T00:00:00,GHCND:USC00142432,6
",,7,0800",TMIN,2017-01-05T00:00:00,GHCND:USC00142432,-139
",,7,0800",TOBS,2017-01-05T00:00:00,GHCND:USC00142432,-117
",,7,0700",PRCP,2017-01-05T00:00:00,GHCND:USC00144695,0
",,7,",SNOW,2017-01-05T00:00:00,GHCND:USC00144695,0
