attributes,datatype,date,station,value
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1INCK0018,5
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1INCK0023,8
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1INFD0002,18
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1INFD0022,13
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1INFD0023,10
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1INHR0012,18
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1KYBT0001,5
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1KYBT0001,0
",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1KYBT0001,0
",,N,",WESD,2017-01-01T00:00:00,GHCND:US1KYBT0001,0
",,N,",WESF,2017-01-01T00:00:00,GHCND:US1KYBT0001,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1KYJF0002,20
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1KYJF0010,5
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1KYJF0010,0
",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1KYJF0010,0
",,N,",WESD,2017-01-01T00:00:00,GHCND:US1KYJF0010,0
",,N,",WESF,2017-01-01T00:00:00,GHCND:US1KYJF0010,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1KYJF0041,18
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1KYOL0009,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1KYOL0009,0
",,7,0600",PRCP,2017-01-01T00:00:00,GHCND:USC00154955,3
",,7,",TMAX,2017-01-01T00:00:00,GHCND:USC00154955,100
",,7,",TMIN,2017-01-01T00:00:00,GHCND:USC00154955,39
",,7,",TOBS,2017-01-01T00:00:00,GHCND:USC00154955,39
",,7,2400",PRCP,2017-01-01T00:00:00,GHCND:USC00154958,5
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00154958,0
",,7,2400",SNWD,2017-01-01T00:00:00,GHCND:USC00154958,0
",,7,2400",TMAX,2017-01-01T00:00:00,GHCND:USC00154958,89
",,7,2400",TMIN,2017-01-01T00:00:00,GHCND:USC00154958,17
",,7,2400",TOBS,2017-01-01T00:00:00,GHCND:USC00154958,72
",,7,0700",PRCP,2017-01-01T00:00:00,GHCND:USC00157334,5
",,W,",AWND,2017-01-01T00:00:00,GHCND:USW00013810,15
",,W,",PRCP,2017-01-01T00:00:00,GHCND:USW00013810,5
",,W,",TMAX,2017-01-01T00:00:00,GHCND:USW00013810,94
",,W,",TMIN,2017-01-01T00:00:00,GHCND:USW00013810,6
",,W,",WDF2,2017-01-01T00:00:00,GHCND:USW00013810,80
",,W,",WDF5,2017-01-01T00:00:00,GHCND:USW00013810,70
",,W,",WSF2,2017-01-01T00:00:00,GHCND:USW00013810,45
",,W,",WSF5,2017-01-01T00:00:00,GHCND:USW00013810,67
",,W,",WT01,2017-01-01T00:00:00,GHCND:USW00013810,1
",,W,",AWND,2017-01-01T00:00:00,GHCND:USW00093821,21
",,W,2400",PRCP,2017-01-01T00:00:00,GHCND:USW00093821,5
",,W,",SNOW,2017-01-01T00:00:00,GHCND:USW00093821,0
",,W,",SNWD,2017-01-01T00:00:00,GHCND:USW00093821,0
"H,,S,",TAVG,2017-01-01T00:00:00,GHCND:USW00093821,62
",,W,2400",TMAX,2017-01-01T00:00:00,GHCND:USW00093821,94
",,W,2400",TMIN,2017-01-01T00:00:00,GHCND:USW00093821,17
",,W,",WDF2,2017-01-01T00:00:00,GHCND:USW00093821,80
",,W,",WDF5,2017-01-01T00:00:00,GHCND:USW00093821,100
",,W,",WSF2,2017-01-01T00:00:00,GHCND:USW00093821,54
",,W,",WSF5,2017-01-01T00:00:00,GHCND:USW00093821,63
",,W,",WT01,2017-01-01T00:00:00,GHCND:USW00093821,1
",,W,",WT08,2017-01-01T00:00:00,GHCND:USW00093821,1
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1INCK0018,8
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1INCK0023,8
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1INCK0023,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1INFD0002,5
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1INFD0022,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1INFD0023,3
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1INHR0012,5
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1KYBT0001,8
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1KYBT0001,0
",,N,",SNWD,2017-01-02T00:00:00,GHCND:US1KYBT0001,0
",,N,",WESD,2017-01-02T00:00:00,GHCND:US1KYBT0001,0
",,N,",WESF,2017-01-02T00:00:00,GHCND:US1KYBT0001,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1KYJF0002,5
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1KYJF0010,8
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1KYJF0010,0
",,N,",SNWD,2017-01-02T00:00:00,GHCND:US1KYJF0010,0
",,N,",WESD,2017-01-02T00:00:00,GHCND:US1KYJF0010,0
",,N,",WESF,2017-01-02T00:00:00,GHCND:US1KYJF0010,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1KYJF0041,10
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1KYOL0009,0
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1KYOL0009,0
",,7,0600",PRCP,2017-01-02T00:00:00,GHCND:USC00154955,0
",,7,",TMAX,2017-01-02T00:00:00,GHCND:USC00154955,111
",,7,",TMIN,2017-01-02T00:00:00,GHCND:USC00154955,39
",,7,",TOBS,2017-01-02T00:00:00,GHCND:USC00154955,67
",,7,2400",PRCP,2017-01-02T00:00:00,GHCND:USC00154958,13
",,7,",SNOW,2017-01-02T00:00:00,GHCND:USC00154958,0
",,7,2400",SNWD,2017-01-02T00:00:00,GHCND:USC00154958,0
",,7,2400",TMAX,2017-01-02T00:00:00,GHCND:USC00154958,144
",,7,2400",TMIN,2017-01-02T00:00:00,GHCND:USC00154958,72
",,7,2400",TOBS,2017-01-02T00:00:00,GHCND:USC00154958,139
",,7,1300",WESD,2017-01-02T00:00:00,GHCND:USC00154958,0
",,7,0700",PRCP,2017-01-02T00:00:00,GHCND:USC00157334,13
",,W,",AWND,2017-01-02T00:00:00,GHCND:USW00013810,9
",,W,",PRCP,2017-01-02T00:00:00,GHCND:USW00013810,5
",,W,",TMAX,2017-01-02T00:00:00,GHCND:USW00013810,156
",,W,",TMIN,2017-01-02T00:00:00,GHCND:USW00013810,72
",,W,",WDF2,2017-01-02T00:00:00,GHCND:USW00013810,150
",,W,",WDF5,2017-01-02T00:00:00,GHCND:USW00013810,150
",,W,",WSF2,2017-01-02T00:00:00,GHCND:USW00013810,36
",,W,",WSF5,2017-01-02T00:00:00,GHCND:USW00013810,54
",,W,",WT01,2017-01-02T00:00:00,GHCND:USW00013810,1
",,W,",WT02,2017-01-02T00:00:00,GHCND:USW00013810,1
",,W,",AWND,2017-01-02T00:00:00,GHCND:USW00093821,16
",,W,2400",PRCP,2017-01-02T00:00:00,GHCND:USW00093821,13
",,W,",SNOW,2017-01-02T00:00:00,GHCND:USW00093821,0
",,W,",SNWD,2017-01-02T00:00:00,GHCND:USW00093821,0
"H,,S,",TAVG,2017-01-02T00:00:00,GHCND:USW00093821,98
",,W,2400",TMAX,2017-01-02T00:00:00,GHCND:USW00093821,150
",,W,2400",TMIN,2017-01-02T00:00:00,GHCND:USW00093821,72
",,W,",WDF2,2017-01-02T00:00:00,GHCND:USW00093821,150
",,W,",WDF5,2017-01-02T00:00:00,GHCND:USW00093821,160
",,W,",WSF2,2017-01-02T00:00:00,GHCND:USW00093821,40
",,W,",WSF5,2017-01-02T00:00:00,GHCND:USW00093821,49
",,W,",WT01,2017-01-02T00:00:00,GHCND:USW00093821,1
",,W,",WT02,2017-01-02T00:00:00,GHCND:USW00093821,1
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1INCK0018,140
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1INCK0023,155
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1INFD0002,69
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1INFD0022,66
