attributes,datatype,date,station,value
"T,,N,",PRCP,2017-01-01T00:00:00,GHCND:US1MIMQ0002,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1MIMQ0002,5
",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1MIMQ0002,203
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1MIMQ0017,13
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1MIMQ0017,46
",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1MIMQ0017,330
",,N,",WESF,2017-01-01T00:00:00,GHCND:US1MIMQ0017,13
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1MIMQ0018,3
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1MIMQ0020,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1MIMQ0020,0
",,7,0600",PRCP,2017-01-01T00:00:00,GHCND:USC00203413,8
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00203413,10
",,7,0600",SNWD,2017-01-01T00:00:00,GHCND:USC00203413,127
",,7,",TOBS,2017-01-01T00:00:00,GHCND:USC00203413,-72
",,7,0800",PRCP,2017-01-01T00:00:00,GHCND:USC00204130,10
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00204130,51
",,7,0800",SNWD,2017-01-01T00:00:00,GHCND:USC00204130,279
",,7,0800",TMAX,2017-01-01T00:00:00,GHCND:USC00204130,-28
",,7,0800",TMIN,2017-01-01T00:00:00,GHCND:USC00204130,-94
",,7,0800",TOBS,2017-01-01T00:00:00,GHCND:USC00204130,-72
",,7,0800",PRCP,2017-01-01T00:00:00,GHCND:USC00204425,0
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00204425,0
",,7,0800",SNWD,2017-01-01T00:00:00,GHCND:USC00204425,203
",,7,0800",TMAX,2017-01-01T00:00:00,GHCND:USC00204425,-11
",,7,0800",TMIN,2017-01-01T00:00:00,GHCND:USC00204425,-61
",,7,0800",TOBS,2017-01-01T00:00:00,GHCND:USC00204425,-61
"T,,7,0800",PRCP,2017-01-01T00:00:00,GHCND:USW00014838,0
"T,,7,",SNOW,2017-01-01T00:00:00,GHCND:USW00014838,0
",,7,0800",SNWD,2017-01-01T00:00:00,GHCND:USW00014838,76
",,7,0800",TMAX,2017-01-01T00:00:00,GHCND:USW00014838,-11
",,7,0800",TMIN,2017-01-01T00:00:00,GHCND:USW00014838,-61
",,7,0800",TOBS,2017-01-01T00:00:00,GHCND:USW00014838,-50
",,W,0700",PRCP,2017-01-01T00:00:00,GHCND:USW00094850,0
",,W,",SNOW,2017-01-01T00:00:00,GHCND:USW00094850,5
",,W,2400",SNWD,2017-01-01T00:00:00,GHCND:USW00094850,250
",,W,2400",TMAX,2017-01-01T00:00:00,GHCND:USW00094850,-38
",,W,2400",TMIN,2017-01-01T00:00:00,GHCND:USW00094850,-82
",,W,",WDF5,2017-01-01T00:00:00,GHCND:USW00094850,225
",,W,",WSF5,2017-01-01T00:00:00,GHCND:USW00094850,112
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1MIMQ0002,0
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1MIMQ0002,0
",,N,",SNWD,2017-01-02T00:00:00,GHCND:US1MIMQ0002,203
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1MIMQ0017,0
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1MIMQ0017,0
",,N,",SNWD,2017-01-02T00:00:00,GHCND:US1MIMQ0017,318
",,N,",WESF,2017-01-02T00:00:00,GHCND:US1MIMQ0017,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1MIMQ0018,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1MIMQ0020,0
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1MIMQ0020,0
",,7,0600",PRCP,2017-01-02T00:00:00,GHCND:USC00203413,0
",,7,",SNOW,2017-01-02T00:00:00,GHCND:USC00203413,0
",,7,0600",SNWD,2017-01-02T00:00:00,GHCND:USC00203413,127
",,7,",TOBS,2017-01-02T00:00:00,GHCND:USC00203413,-44
",,7,0800",PRCP,2017-01-02T00:00:00,GHCND:USC00204130,0
",,7,",SNOW,2017-01-02T00:00:00,GHCND:USC00204130,0
",,7,0800",SNWD,2017-01-02T00:00:00,GHCND:USC00204130,254
",,7,0800",TMAX,2017-01-02T00:00:00,GHCND:USC00204130,-33
",,7,0800",TMIN,2017-01-02T00:00:00,GHCND:USC00204130,-78
",,7,0800",TOBS,2017-01-02T00:00:00,GHCND:USC00204130,-44
",,7,0800",PRCP,2017-01-02T00:00:00,GHCND:USC00204425,0
",,7,",SNOW,2017-01-02T00:00:00,GHCND:USC00204425,0
",,7,0800",SNWD,2017-01-02T00:00:00,GHCND:USC00204425,178
",,7,0800",TMAX,2017-01-02T00:00:00,GHCND:USC00204425,-6
",,7,0800",TMIN,2017-01-02T00:00:00,GHCND:USC00204425,-67
",,7,0800",TOBS,2017-01-02T00:00:00,GHCND:USC00204425,-22
",,7,0800",PRCP,2017-01-02T00:00:00,GHCND:USW00014838,0
",,7,",SNOW,2017-01-02T00:00:00,GHCND:USW00014838,0
",,7,0800",SNWD,2017-01-02T00:00:00,GHCND:USW00014838,76
",,7,0800",TMAX,2017-01-02T00:00:00,GHCND:USW00014838,0
",,7,0800",TMIN,2017-01-02T00:00:00,GHCND:USW00014838,-50
",,7,0800",TOBS,2017-01-02T00:00:00,GHCND:USW00014838,-11
",,7,",WESD,2017-01-02T00:00:00,GHCND:USW00014838,127
",,W,0700",PRCP,2017-01-02T00:00:00,GHCND:USW00094850,0
"T,,W,",SNOW,2017-01-02T00:00:00,GHCND:USW00094850,0
",,W,2400",SNWD,2017-01-02T00:00:00,GHCND:USW00094850,230
",,W,2400",TMAX,2017-01-02T00:00:00,GHCND:USW00094850,-16
",,W,2400",TMIN,2017-01-02T00:00:00,GHCND:USW00094850,-55
",,W,",WDF5,2017-01-02T00:00:00,GHCND:USW00094850,90
",,W,",WSF5,2017-01-02T00:00:00,GHCND:USW00094850,58
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1MIMQ0002,8
",,N,",SNOW,2017-01-03T00:00:00,GHCND:US1MIMQ0002,15
",,N,",SNWD,2017-01-03T00:00:00,GHCND:US1MIMQ0002,216
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1MIMQ0017,3
