attributes,datatype,date,station,value
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1ORJC0002,8
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1ORJC0002,5
",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1ORJC0002,13
",,N,",WESD,2017-01-01T00:00:00,GHCND:US1ORJC0002,8
",,N,",WESF,2017-01-01T00:00:00,GHCND:US1ORJC0002,8
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1ORJC0005,3
"T,,N,",SNOW,2017-01-01T00:00:00,GHCND:US1ORJC0005,0
"T,,N,",SNWD,2017-01-01T00:00:00,GHCND:US1ORJC0005,0
",,N,",WESD,2017-01-01T00:00:00,GHCND:US1ORJC0005,3
",,N,",WESF,2017-01-01T00:00:00,GHCND:US1ORJC0005,3
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1ORJC0008,13
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1ORJC0008,18
",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1ORJC0008,13
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1ORJC0013,10
"T,,N,",SNOW,2017-01-01T00:00:00,GHCND:US1ORJC0013,0
"T,,N,",SNWD,2017-01-01T00:00:00,GHCND:US1ORJC0013,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1ORJC0025,13
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1ORJC0025,20
",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1ORJC0025,25
",,N,",WESD,2017-01-01T00:00:00,GHCND:US1ORJC0025,13
",,N,",WESF,2017-01-01T00:00:00,GHCND:US1ORJC0025,13
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1ORJC0026,8
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1ORJC0026,5
",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1ORJC0026,5
",,N,",WESD,2017-01-01T00:00:00,GHCND:US1ORJC0026,8
",,N,",WESF,2017-01-01T00:00:00,GHCND:US1ORJC0026,8
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1ORJC0027,5
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1ORJC0027,3
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1ORJC0038,5
"T,I,N,",SNOW,2017-01-01T00:00:00,GHCND:US1ORJC0038,0
"T,,N,",SNWD,2017-01-01T00:00:00,GHCND:US1ORJC0038,0
",,N,",WESD,2017-01-01T00:00:00,GHCND:US1ORJC0038,5
",I,N,",WESF,2017-01-01T00:00:00,GHCND:US1ORJC0038,5
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1ORJC0039,10
"T,,N,",SNOW,2017-01-01T00:00:00,GHCND:US1ORJC0039,0
"T,,N,",SNWD,2017-01-01T00:00:00,GHCND:US1ORJC0039,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1ORJC0048,3
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1ORJC0048,3
",,N,",WESF,2017-01-01T00:00:00,GHCND:US1ORJC0048,3
"T,,N,",PRCP,2017-01-01T00:00:00,GHCND:US1ORJC0051,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1ORJC0053,8
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1ORJC0054,10
"T,,N,",PRCP,2017-01-01T00:00:00,GHCND:US1ORJC0060,0
"T,,N,",SNOW,2017-01-01T00:00:00,GHCND:US1ORJC0060,0
