attributes,datatype,date,station,value
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1FLBV0001,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1FLBV0001,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1FLBV0002,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1FLBV0002,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1FLBV0005,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1FLBV0005,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1FLBV0013,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1FLBV0013,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1FLBV0020,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1FLBV0020,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1FLBV0039,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1FLBV0039,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1FLBV0051,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1FLBV0051,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1FLBV0052,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1FLBV0052,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1FLBV0063,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1FLBV0063,0
",,7,0700",PRCP,2017-01-01T00:00:00,GHCND:USC00085603,0
",,7,0700",TMAX,2017-01-01T00:00:00,GHCND:USC00085603,222
",,7,0700",TMIN,2017-01-01T00:00:00,GHCND:USC00085603,94
",,7,0700",TOBS,2017-01-01T00:00:00,GHCND:USC00085603,200
",,7,0700",PRCP,2017-01-01T00:00:00,GHCND:USC00085612,0
",,7,0700",TMAX,2017-01-01T00:00:00,GHCND:USC00085612,239
",,7,0700",TMIN,2017-01-01T00:00:00,GHCND:USC00085612,56
",,7,0700",TOBS,2017-01-01T00:00:00,GHCND:USC00085612,133
",,7,0530",PRCP,2017-01-01T00:00:00,GHCND:USC00086761,0
",,7,0530",TMAX,2017-01-01T00:00:00,GHCND:USC00086761,278
",,7,0530",TMIN,2017-01-01T00:00:00,GHCND:USC00086761,39
",,7,0530",TOBS,2017-01-01T00:00:00,GHCND:USC00086761,272
",,W,",AWND,2017-01-01T00:00:00,GHCND:USW00012838,29
",,W,2400",PRCP,2017-01-01T00:00:00,GHCND:USW00012838,0
