attributes,datatype,date,station,value
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1MSDS0002,76
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1MSMS0002,84
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1MSMS0004,79
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1TNFY0013,25
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1TNSH0010,147
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1TNSH0020,74
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1TNSH0021,104
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1TNSH0027,122
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1TNSH0030,112
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1TNSH0032,130
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1TNTP0003,152
",,7,0800",PRCP,2017-01-01T00:00:00,GHCND:USC00037712,76
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00037712,0
",,7,0800",SNWD,2017-01-01T00:00:00,GHCND:USC00037712,0
",,7,0800",TMAX,2017-01-01T00:00:00,GHCND:USC00037712,117
",,7,0800",TMIN,2017-01-01T00:00:00,GHCND:USC00037712,0
",,7,0800",TOBS,2017-01-01T00:00:00,GHCND:USC00037712,72
",,7,0700",PRCP,2017-01-01T00:00:00,GHCND:USC00220237,89
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00220237,0
",,7,0700",SNWD,2017-01-01T00:00:00,GHCND:USC00220237,0
",,7,0700",PRCP,2017-01-01T00:00:00,GHCND:USC00223975,91
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00223975,0
",,7,0700",SNWD,2017-01-01T00:00:00,GHCND:USC00223975,0
",,7,0700",TMAX,2017-01-01T00:00:00,GHCND:USC00223975,89
",,7,0700",TMIN,2017-01-01T00:00:00,GHCND:USC00223975,72
",,7,0700",TOBS,2017-01-01T00:00:00,GHCND:USC00223975,89
",,7,0700",PRCP,2017-01-01T00:00:00,GHCND:USC00224377,91
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00224377,0
",,7,",SNWD,2017-01-01T00:00:00,GHCND:USC00224377,0
",,7,0700",TMAX,2017-01-01T00:00:00,GHCND:USC00224377,94
",,7,0700",TMIN,2017-01-01T00:00:00,GHCND:USC00224377,67
",,7,0700",TOBS,2017-01-01T00:00:00,GHCND:USC00224377,94
",,7,0700",PRCP,2017-01-01T00:00:00,GHCND:USC00226084,84
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00226084,0
",,7,0700",SNWD,2017-01-01T00:00:00,GHCND:USC00226084,0
",,7,0700",PRCP,2017-01-01T00:00:00,GHCND:USC00226527,89
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00226527,0
",,7,0700",SNWD,2017-01-01T00:00:00,GHCND:USC00226527,0
",,7,0700",TMAX,2017-01-01T00:00:00,GHCND:USC00226527,83
",,7,0700",TMIN,2017-01-01T00:00:00,GHCND:USC00226527,67
",,7,0700",TOBS,2017-01-01T00:00:00,GHCND:USC00226527,83
",,7,",WT01,2017-01-01T00:00:00,GHCND:USC00226527,1
",,7,0700",PRCP,2017-01-01T00:00:00,GHCND:USC00227066,76
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00227066,0
",,7,0700",SNWD,2017-01-01T00:00:00,GHCND:USC00227066,0
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00401950,0
",,7,0700",SNWD,2017-01-01T00:00:00,GHCND:USC00401950,0
",,7,",AWND,2017-01-01T00:00:00,GHCND:USC00403447,18
",,7,0800",PRCP,2017-01-01T00:00:00,GHCND:USC00403447,0
",,7,",SN51,2017-01-01T00:00:00,GHCND:USC00403447,89
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00403447,0
",,7,0800",SNWD,2017-01-01T00:00:00,GHCND:USC00403447,0
",,7,",SX51,2017-01-01T00:00:00,GHCND:USC00403447,94
",,7,0800",TMAX,2017-01-01T00:00:00,GHCND:USC00403447,89
",,7,0800",TMIN,2017-01-01T00:00:00,GHCND:USC00403447,61
",,7,0800",TOBS,2017-01-01T00:00:00,GHCND:USC00403447,83
",,7,",WDFG,2017-01-01T00:00:00,GHCND:USC00403447,40
",,7,",WSFG,2017-01-01T00:00:00,GHCND:USC00403447,31
",,7,",WT01,2017-01-01T00:00:00,GHCND:USC00403447,1
",,7,0600",PRCP,2017-01-01T00:00:00,GHCND:USC00405956,109
",,7,0600",SN31,2017-01-01T00:00:00,GHCND:USC00405956,44
",,7,0600",SN32,2017-01-01T00:00:00,GHCND:USC00405956,67
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00405956,0
",,7,0600",SNWD,2017-01-01T00:00:00,GHCND:USC00405956,0
",,7,0600",SX31,2017-01-01T00:00:00,GHCND:USC00405956,78
",,7,0600",SX32,2017-01-01T00:00:00,GHCND:USC00405956,94
