attributes,datatype,date,station,value
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1MSLD0001,168
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1MSLD0006,165
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1MSLD0008,119
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1MSLD0009,183
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1MSLD0013,132
",,7,0700",PRCP,2017-01-01T00:00:00,GHCND:USC00221860,155
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00221860,0
",,7,",SNWD,2017-01-01T00:00:00,GHCND:USC00221860,0
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00226513,0
",,7,",SNWD,2017-01-01T00:00:00,GHCND:USC00226513,0
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00226643,0
",,7,",SNWD,2017-01-01T00:00:00,GHCND:USC00226643,0
",,7,0700",PRCP,2017-01-01T00:00:00,GHCND:USC00228899,135
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00228899,0
",,7,",SNWD,2017-01-01T00:00:00,GHCND:USC00228899,0
",,7,0800",PRCP,2017-01-01T00:00:00,GHCND:USC00229326,191
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00229326,0
",,7,",SNWD,2017-01-01T00:00:00,GHCND:USC00229326,0
",,W,",AWND,2017-01-01T00:00:00,GHCND:USW00003866,17
",,W,",PGTM,2017-01-01T00:00:00,GHCND:USW00003866,215
",,W,",PRCP,2017-01-01T00:00:00,GHCND:USW00003866,168
",,W,",TMAX,2017-01-01T00:00:00,GHCND:USW00003866,194
",,W,",TMIN,2017-01-01T00:00:00,GHCND:USW00003866,161
",,W,",WDF2,2017-01-01T00:00:00,GHCND:USW00003866,100
",,W,",WDF5,2017-01-01T00:00:00,GHCND:USW00003866,150
",,W,",WSF2,2017-01-01T00:00:00,GHCND:USW00003866,45
",,W,",WSF5,2017-01-01T00:00:00,GHCND:USW00003866,58
",,W,",AWND,2017-01-01T00:00:00,GHCND:USW00013865,20
",,W,2400",PRCP,2017-01-01T00:00:00,GHCND:USW00013865,297
"H,,S,",TAVG,2017-01-01T00:00:00,GHCND:USW00013865,172
",,W,0400",TMAX,2017-01-01T00:00:00,GHCND:USW00013865,211
",,W,0400",TMIN,2017-01-01T00:00:00,GHCND:USW00013865,167
",,W,",WDF2,2017-01-01T00:00:00,GHCND:USW00013865,170
",,W,",WDF5,2017-01-01T00:00:00,GHCND:USW00013865,150
",,W,",WSF2,2017-01-01T00:00:00,GHCND:USW00013865,54
",,W,",WSF5,2017-01-01T00:00:00,GHCND:USW00013865,72
",,W,",WT01,2017-01-01T00:00:00,GHCND:USW00013865,1
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1MSLD0001,373
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1MSLD0006,358
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1MSLD0008,371
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1MSLD0009,312
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1MSLD0013,345
",,7,0700",PRCP,2017-01-02T00:00:00,GHCND:USC00221860,386
",,7,",SNOW,2017-01-02T00:00:00,GHCND:USC00221860,0
",,7,",SNWD,2017-01-02T00:00:00,GHCND:USC00221860,0
",,7,0730",PRCP,2017-01-02T00:00:00,GHCND:USC00226513,315
",,7,",SNOW,2017-01-02T00:00:00,GHCND:USC00226513,0
",,7,",SNWD,2017-01-02T00:00:00,GHCND:USC00226513,0
",,7,",DAPR,2017-01-02T00:00:00,GHCND:USC00226643,3
",,7,",MDPR,2017-01-02T00:00:00,GHCND:USC00226643,419
",,7,",SNOW,2017-01-02T00:00:00,GHCND:USC00226643,0
",,7,",SNWD,2017-01-02T00:00:00,GHCND:USC00226643,0
",,7,0700",PRCP,2017-01-02T00:00:00,GHCND:USC00228899,251
",,7,",SNOW,2017-01-02T00:00:00,GHCND:USC00228899,0
",,7,",SNWD,2017-01-02T00:00:00,GHCND:USC00228899,0
",,7,0800",PRCP,2017-01-02T00:00:00,GHCND:USC00229326,239
",,7,",SNOW,2017-01-02T00:00:00,GHCND:USC00229326,0
",,7,",SNWD,2017-01-02T00:00:00,GHCND:USC00229326,0
",,W,",AWND,2017-01-02T00:00:00,GHCND:USW00003866,26
",,W,",PGTM,2017-01-02T00:00:00,GHCND:USW00003866,812
",,W,",PRCP,2017-01-02T00:00:00,GHCND:USW00003866,399
",,W,",TMAX,2017-01-02T00:00:00,GHCND:USW00003866,194
",,W,",TMIN,2017-01-02T00:00:00,GHCND:USW00003866,161
",,W,",WDF2,2017-01-02T00:00:00,GHCND:USW00003866,290
",,W,",WDF5,2017-01-02T00:00:00,GHCND:USW00003866,300
",,W,",WSF2,2017-01-02T00:00:00,GHCND:USW00003866,107
",,W,",WSF5,2017-01-02T00:00:00,GHCND:USW00003866,157
",,W,",AWND,2017-01-02T00:00:00,GHCND:USW00013865,34
",,W,2400",PRCP,2017-01-02T00:00:00,GHCND:USW00013865,442
"H,,S,",TAVG,2017-01-02T00:00:00,GHCND:USW00013865,184
",,W,0400",TMAX,2017-01-02T00:00:00,GHCND:USW00013865,194
",,W,0400",TMIN,2017-01-02T00:00:00,GHCND:USW00013865,150
",,W,",WDF2,2017-01-02T00:00:00,GHCND:USW00013865,200
",,W,",WDF5,2017-01-02T00:00:00,GHCND:USW00013865,190
",,W,",WSF2,2017-01-02T00:00:00,GHCND:USW00013865,139
",,W,",WSF5,2017-01-02T00:00:00,GHCND:USW00013865,170
",,W,",WT01,2017-01-02T00:00:00,GHCND:USW00013865,1
",,W,",WT03,2017-01-02T00:00:00,GHCND:USW00013865,1
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1MSLD0001,335
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1MSLD0006,340
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1MSLD0008,259
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1MSLD0009,399
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1MSLD0013,310
",,7,0700",PRCP,2017-01-03T00:00:00,GHCND:USC00221860,340
",,7,",SNOW,2017-01-03T00:00:00,GHCND:USC00221860,0
",,7,",SNWD,2017-01-03T00:00:00,GHCND:USC00221860,0
",,7,0730",PRCP,2017-01-03T00:00:00,GHCND:USC00226513,216
",,7,",SNOW,2017-01-03T00:00:00,GHCND:USC00226513,0
",,7,",SNWD,2017-01-03T00:00:00,GHCND:USC00226513,0
",,7,0700",PRCP,2017-01-03T00:00:00,GHCND:USC00226643,584
",,7,",SNOW,2017-01-03T00:00:00,GHCND:USC00226643,0
",,7,",SNWD,2017-01-03T00:00:00,GHCND:USC00226643,0
",,7,0700",PRCP,2017-01-03T00:00:00,GHCND:USC00228899,391
",,7,",SNOW,2017-01-03T00:00:00,GHCND:USC00228899,0
",,7,",SNWD,2017-01-03T00:00:00,GHCND:USC00228899,0
",,7,0800",PRCP,2017-01-03T00:00:00,GHCND:USC00229326,274
",,7,",SNOW,2017-01-03T00:00:00,GHCND:USC00229326,0
",,7,",SNWD,2017-01-03T00:00:00,GHCND:USC00229326,0
",,W,",AWND,2017-01-03T00:00:00,GHCND:USW00003866,22
",,W,",PGTM,2017-01-03T00:00:00,GHCND:USW00003866,2113
",,W,",PRCP,2017-01-03T00:00:00,GHCND:USW00003866,3
",,W,",TMAX,2017-01-03T00:00:00,GHCND:USW00003866,217
",,W,",TMIN,2017-01-03T00:00:00,GHCND:USW00003866,117
",,W,",WDF2,2017-01-03T00:00:00,GHCND:USW00003866,350
",,W,",WDF5,2017-01-03T00:00:00,GHCND:USW00003866,350
",,W,",WSF2,2017-01-03T00:00:00,GHCND:USW00003866,72
",,W,",WSF5,2017-01-03T00:00:00,GHCND:USW00003866,85
",,W,",AWND,2017-01-03T00:00:00,GHCND:USW00013865,22
",,W,2400",PRCP,2017-01-03T00:00:00,GHCND:USW00013865,0
"H,,S,",TAVG,2017-01-03T00:00:00,GHCND:USW00013865,171
",,W,0400",TMAX,2017-01-03T00:00:00,GHCND:USW00013865,222
",,W,0400",TMIN,2017-01-03T00:00:00,GHCND:USW00013865,100
",,W,",WDF2,2017-01-03T00:00:00,GHCND:USW00013865,340
",,W,",WDF5,2017-01-03T00:00:00,GHCND:USW00013865,340
",,W,",WSF2,2017-01-03T00:00:00,GHCND:USW00013865,58
",,W,",WSF5,2017-01-03T00:00:00,GHCND:USW00013865,72
",,W,",WT01,2017-01-03T00:00:00,GHCND:USW00013865,1
",,N,",PRCP,2017-01-04T00:00:00,GHCND:US1MSLD0001,0
",,N,",SNOW,2017-01-04T00:00:00,GHCND:US1MSLD0001,0
",,N,",PRCP,2017-01-04T00:00:00,GHCND:US1MSLD0006,0
",,N,",SNOW,2017-01-04T00:00:00,GHCND:US1MSLD0006,0
",,N,",PRCP,2017-01-04T00:00:00,GHCND:US1MSLD0008,0
",,N,",SNOW,2017-01-04T00:00:00,GHCND:US1MSLD0008,0
",,N,",PRCP,2017-01-04T00:00:00,GHCND:US1MSLD0009,0
",,N,",SNOW,2017-01-04T00:00:00,GHCND:US1MSLD0009,0
",,N,",PRCP,2017-01-04T00:00:00,GHCND:US1MSLD0013,0
",,N,",SNOW,2017-01-04T00:00:00,GHCND:US1MSLD0013,0
",,7,0700",PRCP,2017-01-04T00:00:00,GHCND:USC00221860,0
",,7,",SNOW,2017-01-04T00:00:00,GHCND:USC00221860,0
",,7,",SNWD,2017-01-04T00:00:00,GHCND:USC00221860,0
",,7,0730",PRCP,2017-01-04T00:00:00,GHCND:USC00226513,0
",,7,",SNOW,2017-01-04T00:00:00,GHCND:USC00226513,0
",,7,",SNWD,2017-01-04T00:00:00,GHCND:USC00226513,0
",,7,0700",PRCP,2017-01-04T00:00:00,GHCND:USC00226643,0
",,7,",SNOW,2017-01-04T00:00:00,GHCND:USC00226643,0
",,7,",SNWD,2017-01-04T00:00:00,GHCND:USC00226643,0
",,7,0700",PRCP,2017-01-04T00:00:00,GHCND:USC00228899,0
",,7,",SNOW,2017-01-04T00:00:00,GHCND:USC00228899,0
",,7,",SNWD,2017-01-04T00:00:00,GHCND:USC00228899,0
",,7,0800",PRCP,2017-01-04T00:00:00,GHCND:USC00229326,0
",,7,",SNOW,2017-01-04T00:00:00,GHCND:USC00229326,0
",,7,",SNWD,2017-01-04T00:00:00,GHCND:USC00229326,0
",,W,",AWND,2017-01-04T00:00:00,GHCND:USW00003866,34
",,W,",PGTM,2017-01-04T00:00:00,GHCND:USW00003866,735
",,W,",PRCP,2017-01-04T00:00:00,GHCND:USW00003866,0
",,W,",TMAX,2017-01-04T00:00:00,GHCND:USW00003866,139
",,W,",TMIN,2017-01-04T00:00:00,GHCND:USW00003866,17
",,W,",WDF2,2017-01-04T00:00:00,GHCND:USW00003866,360
",,W,",WDF5,2017-01-04T00:00:00,GHCND:USW00003866,10
",,W,",WSF2,2017-01-04T00:00:00,GHCND:USW00003866,89
",,W,",WSF5,2017-01-04T00:00:00,GHCND:USW00003866,107
",,W,",AWND,2017-01-04T00:00:00,GHCND:USW00013865,43
",,W,2400",PRCP,2017-01-04T00:00:00,GHCND:USW00013865,0
"H,,S,",TAVG,2017-01-04T00:00:00,GHCND:USW00013865,116
",,W,0400",TMAX,2017-01-04T00:00:00,GHCND:USW00013865,139
",,W,0400",TMIN,2017-01-04T00:00:00,GHCND:USW00013865,17
",,W,",WDF2,2017-01-04T00:00:00,GHCND:USW00013865,350
",,W,",WDF5,2017-01-04T00:00:00,GHCND:USW00013865,360
",,W,",WSF2,2017-01-04T00:00:00,GHCND:USW00013865,98
",,W,",WSF5,2017-01-04T00:00:00,GHCND:USW00013865,116
",,N,",PRCP,2017-01-05T00:00:00,GHCND:US1MSLD0001,0
",,N,",PRCP,2017-01-05T00:00:00,GHCND:US1MSLD0006,0
",,N,",SNOW,2017-01-05T00:00:00,GHCND:US1MSLD0006,0
",,N,",PRCP,2017-01-05T00:00:00,GHCND:US1MSLD0008,0
",,N,",SNOW,2017-01-05T00:00:00,GHCND:US1MSLD0008,0
",,N,",PRCP,2017-01-05T00:00:00,GHCND:US1MSLD0009,0
",,N,",SNOW,2017-01-05T00:00:00,GHCND:US1MSLD0009,0
",,N,",PRCP,2017-01-05T00:00:00,GHCND:US1MSLD0013,0
",,N,",SNOW,2017-01-05T00:00:00,GHCND:US1MSLD0013,0
",,7,0700",PRCP,2017-01-05T00:00:00,GHCND:USC00221860,0
",,7,",SNOW,2017-01-05T00:00:00,GHCND:USC00221860,0
",,7,",SNWD,2017-01-05T00:00:00,GHCND:USC00221860,0
",,7,0730",PRCP,2017-01-05T00:00:00,GHCND:USC00226513,0
",,7,",SNOW,2017-01-05T00:00:00,GHCND:USC00226513,0
",,7,",SNWD,2017-01-05T00:00:00,GHCND:USC00226513,0
",,7,0700",PRCP,2017-01-05T00:00:00,GHCND:USC00226643,0
",,7,",SNOW,2017-01-05T00:00:00,GHCND:USC00226643,0
",,7,",SNWD,2017-01-05T00:00:00,GHCND:USC00226643,0
",,7,0700",PRCP,2017-01-05T00:00:00,GHCND:USC00228899,0
",,7,",SNOW,2017-01-05T00:00:00,GHCND:USC00228899,0
",,7,",SNWD,2017-01-05T00:00:00,GHCND:USC00228899,0
",,7,0800",PRCP,2017-01-05T00:00:00,GHCND:USC00229326,0
",,7,",SNOW,2017-01-05T00:00:00,GHCND:USC00229326,0
",,7,",SNWD,2017-01-05T00:00:00,GHCND:USC00229326,0
",,W,",AWND,2017-01-05T00:00:00,GHCND:USW00003866,18
",,W,",PGTM,2017-01-05T00:00:00,GHCND:USW00003866,1900
",,W,",PRCP,2017-01-05T00:00:00,GHCND:USW00003866,5
",,W,",TMAX,2017-01-05T00:00:00,GHCND:USW00003866,117
",,W,",TMIN,2017-01-05T00:00:00,GHCND:USW00003866,-5
",,W,",WDF2,2017-01-05T00:00:00,GHCND:USW00003866,20
",,W,",WDF5,2017-01-05T00:00:00,GHCND:USW00003866,20
",,W,",WSF2,2017-01-05T00:00:00,GHCND:USW00003866,63
",,W,",WSF5,2017-01-05T00:00:00,GHCND:USW00003866,89
",,W,",AWND,2017-01-05T00:00:00,GHCND:USW00013865,21
",,W,2400",PRCP,2017-01-05T00:00:00,GHCND:USW00013865,10
"H,,S,",TAVG,2017-01-05T00:00:00,GHCND:USW00013865,57
",,W,0400",TMAX,2017-01-05T00:00:00,GHCND:USW00013865,122
",,W,0400",TMIN,2017-01-05T00:00:00,GHCND:USW00013865,0
",,W,",WDF2,2017-01-05T00:00:00,GHCND:USW00013865,360
",,W,",WDF5,2017-01-05T00:00:00,GHCND:USW00013865,360
",,W,",WSF2,2017-01-05T00:00:00,GHCND:USW00013865,67
",,W,",WSF5,2017-01-05T00:00:00,GHCND:USW00013865,76
",,W,",WT01,2017-01-05T00:00:00,GHCND:USW00013865,1
",,N,",PRCP,2017-01-06T00:00:00,GHCND:US1MSLD0001,23
",,N,",PRCP,2017-01-06T00:00:00,GHCND:US1MSLD0006,28
",,N,",PRCP,2017-01-06T00:00:00,GHCND:US1MSLD0008,13
",,N,",PRCP,2017-01-06T00:00:00,GHCND:US1MSLD0009,0
",,N,",SNOW,2017-01-06T00:00:00,GHCND:US1MSLD0009,0
",,N,",PRCP,2017-01-06T00:00:00,GHCND:US1MSLD0013,18
",,7,0700",PRCP,2017-01-06T00:00:00,GHCND:USC00221860,25
",,7,",SNOW,2017-01-06T00:00:00,GHCND:USC00221860,0
",,7,",SNWD,2017-01-06T00:00:00,GHCND:USC00221860,0
"T,,7,0730",PRCP,2017-01-06T00:00:00,GHCND:USC00226513,0
"T,,7,",SNOW,2017-01-06T00:00:00,GHCND:USC00226513,0
",,7,",SNWD,2017-01-06T00:00:00,GHCND:USC00226513,0
",,7,",WT04,2017-01-06T00:00:00,GHCND:USC00226513,1
"T,,7,",SNOW,2017-01-06T00:00:00,GHCND:USC00226643,0
",,7,0700",PRCP,2017-01-06T00:00:00,GHCND:USC00228899,20
"T,,7,",SNOW,2017-01-06T00:00:00,GHCND:USC00228899,0
",,7,",SNWD,2017-01-06T00:00:00,GHCND:USC00228899,0
",,7,",WT04,2017-01-06T00:00:00,GHCND:USC00228899,1
",,7,0800",PRCP,2017-01-06T00:00:00,GHCND:USC00229326,10
",,7,",SNOW,2017-01-06T00:00:00,GHCND:USC00229326,0
",,7,",SNWD,2017-01-06T00:00:00,GHCND:USC00229326,0
",,W,",AWND,2017-01-06T00:00:00,GHCND:USW00003866,47
",,W,",PGTM,2017-01-06T00:00:00,GHCND:USW00003866,1853
",,W,",PRCP,2017-01-06T00:00:00,GHCND:USW00003866,91
",,W,",TMAX,2017-01-06T00:00:00,GHCND:USW00003866,39
",,W,",TMIN,2017-01-06T00:00:00,GHCND:USW00003866,-32
",,W,",WDF2,2017-01-06T00:00:00,GHCND:USW00003866,340
",,W,",WDF5,2017-01-06T00:00:00,GHCND:USW00003866,360
",,W,",WSF2,2017-01-06T00:00:00,GHCND:USW00003866,76
",,W,",WSF5,2017-01-06T00:00:00,GHCND:USW00003866,103
",,W,",AWND,2017-01-06T00:00:00,GHCND:USW00013865,62
",,W,2400",PRCP,2017-01-06T00:00:00,GHCND:USW00013865,142
"H,,S,",TAVG,2017-01-06T00:00:00,GHCND:USW00013865,30
",,W,0400",TMAX,2017-01-06T00:00:00,GHCND:USW00013865,44
",,W,0400",TMIN,2017-01-06T00:00:00,GHCND:USW00013865,-27
",,W,",WDF2,2017-01-06T00:00:00,GHCND:USW00013865,340
",,W,",WDF5,2017-01-06T00:00:00,GHCND:USW00013865,360
",,W,",WSF2,2017-01-06T00:00:00,GHCND:USW00013865,98
",,W,",WSF5,2017-01-06T00:00:00,GHCND:USW00013865,116
",,W,",WT01,2017-01-06T00:00:00,GHCND:USW00013865,1
",,W,",WT04,2017-01-06T00:00:00,GHCND:USW00013865,1
",,W,",WT06,2017-01-06T00:00:00,GHCND:USW00013865,1
",,N,",PRCP,2017-01-07T00:00:00,GHCND:US1MSLD0001,61
",,N,",PRCP,2017-01-07T00:00:00,GHCND:US1MSLD0006,102
",,N,",PRCP,2017-01-07T00:00:00,GHCND:US1MSLD0008,122
",,N,",PRCP,2017-01-07T00:00:00,GHCND:US1MSLD0009,89
",,N,",PRCP,2017-01-07T00:00:00,GHCND:US1MSLD0013,89
",,N,",SNOW,2017-01-07T00:00:00,GHCND:US1MSLD0013,13
",,N,",SNWD,2017-01-07T00:00:00,GHCND:US1MSLD0013,13
",,7,0700",PRCP,2017-01-07T00:00:00,GHCND:USC00221860,97
",,7,",SNOW,2017-01-07T00:00:00,GHCND:USC00221860,13
"T,,7,",SNWD,2017-01-07T00:00:00,GHCND:USC00221860,0
",,7,0730",PRCP,2017-01-07T00:00:00,GHCND:USC00226513,64
",,7,",SNOW,2017-01-07T00:00:00,GHCND:USC00226513,18
",,7,",SNWD,2017-01-07T00:00:00,GHCND:USC00226513,25
",,7,",DAPR,2017-01-07T00:00:00,GHCND:USC00226643,2
",,7,",MDPR,2017-01-07T00:00:00,GHCND:USC00226643,178
"T,,7,",SNOW,2017-01-07T00:00:00,GHCND:USC00226643,0
