attributes,datatype,date,station,value
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1FLBW0013,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1FLBW0013,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1FLBW0048,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1FLBW0048,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1FLBW0110,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1FLBW0110,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1FLMD0003,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1FLMD0003,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1FLMD0007,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1FLMD0007,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1FLMD0023,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1FLMD0023,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1FLMD0026,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1FLMD0026,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1FLMD0028,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1FLMD0028,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1FLMD0030,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1FLMD0030,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1FLMD0033,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1FLMD0039,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1FLMD0039,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1FLMD0040,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1FLMD0040,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1FLMD0041,0
",,7,0800",PRCP,2017-01-01T00:00:00,GHCND:USC00081306,0
",,7,0800",TMAX,2017-01-01T00:00:00,GHCND:USC00081306,250
",,7,0800",TMIN,2017-01-01T00:00:00,GHCND:USC00081306,211
",,7,0800",TOBS,2017-01-01T00:00:00,GHCND:USC00081306,239
",,7,0800",EVAP,2017-01-01T00:00:00,GHCND:USC00083909,36
",,7,",MNPN,2017-01-01T00:00:00,GHCND:USC00083909,189
",,7,",MXPN,2017-01-01T00:00:00,GHCND:USC00083909,306
",,7,0800",PRCP,2017-01-01T00:00:00,GHCND:USC00083909,0
",,7,0800",TMAX,2017-01-01T00:00:00,GHCND:USC00083909,261
",,7,0800",TMIN,2017-01-01T00:00:00,GHCND:USC00083909,117
",,7,0800",TOBS,2017-01-01T00:00:00,GHCND:USC00083909,189
",,7,",WDMV,2017-01-01T00:00:00,GHCND:USC00083909,71
",,7,0700",PRCP,2017-01-01T00:00:00,GHCND:USC00084050,0
",,7,0700",TMAX,2017-01-01T00:00:00,GHCND:USC00084050,250
",,7,0700",TMIN,2017-01-01T00:00:00,GHCND:USC00084050,122
",,7,0700",TOBS,2017-01-01T00:00:00,GHCND:USC00084050,228
",,7,0700",PRCP,2017-01-01T00:00:00,GHCND:USC00085667,0
",,7,0700",TMAX,2017-01-01T00:00:00,GHCND:USC00085667,250
",,7,0700",TMIN,2017-01-01T00:00:00,GHCND:USC00085667,128
",,7,0700",TOBS,2017-01-01T00:00:00,GHCND:USC00085667,206
",,7,0700",PRCP,2017-01-01T00:00:00,GHCND:USC00086315,0
