attributes,datatype,date,station,value
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1WIKN0007,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1WIKN0007,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1WIMW0001,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1WIMW0001,0
",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1WIMW0001,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1WIMW0014,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1WIMW0014,0
",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1WIMW0014,76
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1WIMW0018,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1WIMW0018,0
",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1WIMW0018,13
",,N,",WESF,2017-01-01T00:00:00,GHCND:US1WIMW0018,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1WIMW0023,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1WIMW0023,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1WIMW0025,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1WIMW0025,0
",,N,",WESF,2017-01-01T00:00:00,GHCND:US1WIMW0025,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1WIMW0033,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1WIMW0033,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1WIOZ0001,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1WIOZ0001,0
",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1WIOZ0001,51
",,N,",WESF,2017-01-01T00:00:00,GHCND:US1WIOZ0001,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1WIOZ0009,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1WIOZ0009,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1WIOZ0012,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1WIOZ0012,0
",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1WIOZ0012,38
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1WIRC0003,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1WIRC0003,0
",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1WIRC0003,13
",,N,",WESF,2017-01-01T00:00:00,GHCND:US1WIRC0003,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1WIRC0008,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1WIRC0008,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1WIRC0012,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1WIRC0012,0
",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1WIRC0012,0
",,N,",WESD,2017-01-01T00:00:00,GHCND:US1WIRC0012,0
