attributes,datatype,date,station,value
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1MTMS0012,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1MTMS0012,0
",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1MTMS0012,343
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1MTMS0014,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1MTMS0014,0
",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1MTMS0014,267
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1MTMS0020,18
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1MTMS0020,25
",,N,",WESF,2017-01-01T00:00:00,GHCND:US1MTMS0020,18
"T,,N,",PRCP,2017-01-01T00:00:00,GHCND:US1MTMS0022,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1MTMS0022,13
",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1MTMS0022,152
",,N,",WESD,2017-01-01T00:00:00,GHCND:US1MTMS0022,170
"T,,N,",WESF,2017-01-01T00:00:00,GHCND:US1MTMS0022,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1MTMS0023,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1MTMS0023,0
",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1MTMS0023,229
",,7,2400",PRCP,2017-01-01T00:00:00,GHCND:USC00245740,13
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00245740,28
",,7,2400",SNWD,2017-01-01T00:00:00,GHCND:USC00245740,254
",,7,2400",TMAX,2017-01-01T00:00:00,GHCND:USC00245740,-67
",,7,2400",TMIN,2017-01-01T00:00:00,GHCND:USC00245740,-156
",,7,2400",TOBS,2017-01-01T00:00:00,GHCND:USC00245740,-122
",,7,",WESD,2017-01-01T00:00:00,GHCND:USC00245740,356
",,U,",TAVG,2017-01-01T00:00:00,GHCND:USR0000MMIS,-107
"H,,U,",TMAX,2017-01-01T00:00:00,GHCND:USR0000MMIS,-56
"H,,U,",TMIN,2017-01-01T00:00:00,GHCND:USR0000MMIS,-150
",,U,",TAVG,2017-01-01T00:00:00,GHCND:USR0000MPOI,-164
"H,,U,",TMAX,2017-01-01T00:00:00,GHCND:USR0000MPOI,-122
"H,,U,",TMIN,2017-01-01T00:00:00,GHCND:USR0000MPOI,-233
",,T,",PRCP,2017-01-01T00:00:00,GHCND:USS0013C01S,25
",,T,",SNWD,2017-01-01T00:00:00,GHCND:USS0013C01S,1245
",,T,",TAVG,2017-01-01T00:00:00,GHCND:USS0013C01S,-136
",,T,",TMAX,2017-01-01T00:00:00,GHCND:USS0013C01S,-86
",,T,",TMIN,2017-01-01T00:00:00,GHCND:USS0013C01S,-215
",,T,",TOBS,2017-01-01T00:00:00,GHCND:USS0013C01S,-213
",,T,",WESD,2017-01-01T00:00:00,GHCND:USS0013C01S,2997
",,W,",AWND,2017-01-01T00:00:00,GHCND:USW00024153,36
",,W,2400",PRCP,2017-01-01T00:00:00,GHCND:USW00024153,13
",,W,",SNOW,2017-01-01T00:00:00,GHCND:USW00024153,28
",,W,",SNWD,2017-01-01T00:00:00,GHCND:USW00024153,250
"H,,S,",TAVG,2017-01-01T00:00:00,GHCND:USW00024153,-127
",,W,2400",TMAX,2017-01-01T00:00:00,GHCND:USW00024153,-60
",,W,2400",TMIN,2017-01-01T00:00:00,GHCND:USW00024153,-188
