attributes,datatype,date,station,value
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1CAMT0006,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1CAMT0006,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1CAMT0019,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1CAMT0019,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1CAMT0020,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1CAMT0020,0
"T,,N,",PRCP,2017-01-01T00:00:00,GHCND:US1CAMT0023,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1CAMT0036,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1CAMT0036,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1CAMT0038,10
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1CAMT0041,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1CAMT0041,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1CAMT0043,13
",,7,1600",PRCP,2017-01-01T00:00:00,GHCND:USC00041534,0
",,7,1600",TMAX,2017-01-01T00:00:00,GHCND:USC00041534,111
",,7,1600",TMIN,2017-01-01T00:00:00,GHCND:USC00041534,22
",,7,1600",TOBS,2017-01-01T00:00:00,GHCND:USC00041534,94
",,7,2400",PRCP,2017-01-01T00:00:00,GHCND:USC00045802,20
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00045802,0
",,7,2400",TMAX,2017-01-01T00:00:00,GHCND:USC00045802,111
",,7,2400",TMIN,2017-01-01T00:00:00,GHCND:USC00045802,61
",,7,2400",TOBS,2017-01-01T00:00:00,GHCND:USC00045802,67
"T,,7,1600",PRCP,2017-01-01T00:00:00,GHCND:USC00047668,0
",,7,1600",TMAX,2017-01-01T00:00:00,GHCND:USC00047668,122
",,7,1600",TMIN,2017-01-01T00:00:00,GHCND:USC00047668,39
",,7,1600",TOBS,2017-01-01T00:00:00,GHCND:USC00047668,106
",,W,",AWND,2017-01-01T00:00:00,GHCND:USW00023233,34
",,W,2400",PRCP,2017-01-01T00:00:00,GHCND:USW00023233,3
"H,,S,",TAVG,2017-01-01T00:00:00,GHCND:USW00023233,75
",,W,2400",TMAX,2017-01-01T00:00:00,GHCND:USW00023233,111
",,W,2400",TMIN,2017-01-01T00:00:00,GHCND:USW00023233,39
",,W,",WDF2,2017-01-01T00:00:00,GHCND:USW00023233,260
",,W,",WDF5,2017-01-01T00:00:00,GHCND:USW00023233,260
",,W,",WSF2,2017-01-01T00:00:00,GHCND:USW00023233,89
",,W,",WSF5,2017-01-01T00:00:00,GHCND:USW00023233,107
",,W,",WT01,2017-01-01T00:00:00,GHCND:USW00023233,1
",,W,",WT08,2017-01-01T00:00:00,GHCND:USW00023233,1
",,W,",AWND,2017-01-01T00:00:00,GHCND:USW00023259,35
",,W,",PRCP,2017-01-01T00:00:00,GHCND:USW00023259,8
",,W,",SNOW,2017-01-01T00:00:00,GHCND:USW00023259,0
",,W,",SNWD,2017-01-01T00:00:00,GHCND:USW00023259,0
",,W,",TMAX,2017-01-01T00:00:00,GHCND:USW00023259,106
",,W,",TMIN,2017-01-01T00:00:00,GHCND:USW00023259,61
",,W,",WDF2,2017-01-01T00:00:00,GHCND:USW00023259,270
",,W,",WDF5,2017-01-01T00:00:00,GHCND:USW00023259,270
",,W,",WSF2,2017-01-01T00:00:00,GHCND:USW00023259,76
",,W,",WSF5,2017-01-01T00:00:00,GHCND:USW00023259,116
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1CAMT0006,8
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1CAMT0019,10
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1CAMT0020,8
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1CAMT0023,13
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1CAMT0025,23
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1CAMT0029,69
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1CAMT0036,20
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1CAMT0038,25
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1CAMT0041,41
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1CAMT0043,38
",,7,1600",PRCP,2017-01-02T00:00:00,GHCND:USC00041534,13
",,7,1600",TMAX,2017-01-02T00:00:00,GHCND:USC00041534,111
",,7,1600",TMIN,2017-01-02T00:00:00,GHCND:USC00041534,33
",,7,1600",TOBS,2017-01-02T00:00:00,GHCND:USC00041534,100
",,7,2400",PRCP,2017-01-02T00:00:00,GHCND:USC00045802,46
",,7,",SNOW,2017-01-02T00:00:00,GHCND:USC00045802,0
",,7,",SNWD,2017-01-02T00:00:00,GHCND:USC00045802,0
",,7,2400",TMAX,2017-01-02T00:00:00,GHCND:USC00045802,94
",,7,2400",TMIN,2017-01-02T00:00:00,GHCND:USC00045802,61
",,7,2400",TOBS,2017-01-02T00:00:00,GHCND:USC00045802,83
",,7,1600",PRCP,2017-01-02T00:00:00,GHCND:USC00047668,38
",,7,1600",TMAX,2017-01-02T00:00:00,GHCND:USC00047668,106
",,7,1600",TMIN,2017-01-02T00:00:00,GHCND:USC00047668,44
",,7,1600",TOBS,2017-01-02T00:00:00,GHCND:USC00047668,94
",,7,",DAPR,2017-01-02T00:00:00,GHCND:USC00047731,4
",,7,",MDPR,2017-01-02T00:00:00,GHCND:USC00047731,13
",,W,",AWND,2017-01-02T00:00:00,GHCND:USW00023233,41
",,W,2400",PRCP,2017-01-02T00:00:00,GHCND:USW00023233,5
"H,,S,",TAVG,2017-01-02T00:00:00,GHCND:USW00023233,68
",,W,2400",TMAX,2017-01-02T00:00:00,GHCND:USW00023233,100
",,W,2400",TMIN,2017-01-02T00:00:00,GHCND:USW00023233,50
",,W,",WDF2,2017-01-02T00:00:00,GHCND:USW00023233,110
",,W,",WDF5,2017-01-02T00:00:00,GHCND:USW00023233,110
",,W,",WSF2,2017-01-02T00:00:00,GHCND:USW00023233,81
",,W,",WSF5,2017-01-02T00:00:00,GHCND:USW00023233,98
",,W,",WT01,2017-01-02T00:00:00,GHCND:USW00023233,1
",,W,",WT08,2017-01-02T00:00:00,GHCND:USW00023233,1
",,W,",AWND,2017-01-02T00:00:00,GHCND:USW00023259,18
",,W,",PRCP,2017-01-02T00:00:00,GHCND:USW00023259,61
",,W,",SNWD,2017-01-02T00:00:00,GHCND:USW00023259,0
",,W,",TMAX,2017-01-02T00:00:00,GHCND:USW00023259,100
",,W,",TMIN,2017-01-02T00:00:00,GHCND:USW00023259,61
",,W,",WDF2,2017-01-02T00:00:00,GHCND:USW00023259,160
",,W,",WDF5,2017-01-02T00:00:00,GHCND:USW00023259,150
",,W,",WSF2,2017-01-02T00:00:00,GHCND:USW00023259,45
",,W,",WSF5,2017-01-02T00:00:00,GHCND:USW00023259,63
",,W,",WT01,2017-01-02T00:00:00,GHCND:USW00023259,1
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1CAMT0006,51
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1CAMT0009,33
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1CAMT0019,3
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1CAMT0020,51
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1CAMT0021,61
