attributes,datatype,date,station,value
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1CTFR0023,5
"T,,N,",SNOW,2017-01-01T00:00:00,GHCND:US1CTFR0023,0
"T,,N,",SNWD,2017-01-01T00:00:00,GHCND:US1CTFR0023,0
"T,,N,",WESF,2017-01-01T00:00:00,GHCND:US1CTFR0023,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1CTFR0042,8
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1CTFR0046,3
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1CTNH0014,5
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1CTNH0016,8
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1CTNH0021,5
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1CTNH0022,10
"T,,N,",SNOW,2017-01-01T00:00:00,GHCND:US1CTNH0022,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1CTNH0026,15
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1CTNH0026,3
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1CTNH0029,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1CTNH0030,5
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1CTNH0030,0
",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1CTNH0030,0
",,7,0800",PRCP,2017-01-01T00:00:00,GHCND:USC00060128,0
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00060128,0
",,7,0800",SNWD,2017-01-01T00:00:00,GHCND:USC00060128,0
",,7,0800",TMAX,2017-01-01T00:00:00,GHCND:USC00060128,56
",,7,0800",TMIN,2017-01-01T00:00:00,GHCND:USC00060128,0
",,7,0800",TOBS,2017-01-01T00:00:00,GHCND:USC00060128,11
",,7,0800",PRCP,2017-01-01T00:00:00,GHCND:USC00060808,3
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00060808,0
",,7,0800",SNWD,2017-01-01T00:00:00,GHCND:USC00060808,0
",,7,0800",TMAX,2017-01-01T00:00:00,GHCND:USC00060808,61
",,7,0800",TMIN,2017-01-01T00:00:00,GHCND:USC00060808,-17
",,7,0800",TOBS,2017-01-01T00:00:00,GHCND:USC00060808,44
",,7,0700",PRCP,2017-01-01T00:00:00,GHCND:USC00065077,0
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00065077,0
",,7,0700",SNWD,2017-01-01T00:00:00,GHCND:USC00065077,0
",,7,0700",TMAX,2017-01-01T00:00:00,GHCND:USC00065077,83
",,7,0700",TMIN,2017-01-01T00:00:00,GHCND:USC00065077,0
",,7,0700",TOBS,2017-01-01T00:00:00,GHCND:USC00065077,83
",,W,",AWND,2017-01-01T00:00:00,GHCND:USW00014758,26
",,W,",PGTM,2017-01-01T00:00:00,GHCND:USW00014758,202
"T,,W,",PRCP,2017-01-01T00:00:00,GHCND:USW00014758,0
",,W,",TMAX,2017-01-01T00:00:00,GHCND:USW00014758,83
",,W,",TMIN,2017-01-01T00:00:00,GHCND:USW00014758,-43
",,W,",WDF2,2017-01-01T00:00:00,GHCND:USW00014758,240
",,W,",WDF5,2017-01-01T00:00:00,GHCND:USW00014758,240
",,W,",WSF2,2017-01-01T00:00:00,GHCND:USW00014758,89
",,W,",WSF5,2017-01-01T00:00:00,GHCND:USW00014758,143
",,W,",AWND,2017-01-01T00:00:00,GHCND:USW00054788,22
",,W,",PGTM,2017-01-01T00:00:00,GHCND:USW00054788,1132
"T,,W,",PRCP,2017-01-01T00:00:00,GHCND:USW00054788,0
",,W,",TMAX,2017-01-01T00:00:00,GHCND:USW00054788,89
",,W,",TMIN,2017-01-01T00:00:00,GHCND:USW00054788,-38
",,W,",WDF2,2017-01-01T00:00:00,GHCND:USW00054788,310
",,W,",WDF5,2017-01-01T00:00:00,GHCND:USW00054788,310
",,W,",WSF2,2017-01-01T00:00:00,GHCND:USW00054788,76
",,W,",WSF5,2017-01-01T00:00:00,GHCND:USW00054788,103
",,W,",AWND,2017-01-01T00:00:00,GHCND:USW00094702,37
"T,,W,2400",PRCP,2017-01-01T00:00:00,GHCND:USW00094702,0
",,W,",SNOW,2017-01-01T00:00:00,GHCND:USW00094702,0
",,W,",SNWD,2017-01-01T00:00:00,GHCND:USW00094702,0
"H,,S,",TAVG,2017-01-01T00:00:00,GHCND:USW00094702,70
",,W,2400",TMAX,2017-01-01T00:00:00,GHCND:USW00094702,94
",,W,2400",TMIN,2017-01-01T00:00:00,GHCND:USW00094702,0
",,W,",WDF2,2017-01-01T00:00:00,GHCND:USW00094702,300
",,W,",WDF5,2017-01-01T00:00:00,GHCND:USW00094702,220
",,W,",WSF2,2017-01-01T00:00:00,GHCND:USW00094702,94
",,W,",WSF5,2017-01-01T00:00:00,GHCND:USW00094702,130
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1CTFR0023,0
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1CTFR0023,0
",,N,",SNWD,2017-01-02T00:00:00,GHCND:US1CTFR0023,0
",,N,",WESD,2017-01-02T00:00:00,GHCND:US1CTFR0023,0
",,N,",WESF,2017-01-02T00:00:00,GHCND:US1CTFR0023,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1CTFR0042,0
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1CTFR0042,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1CTFR0046,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1CTNH0014,0
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1CTNH0014,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1CTNH0016,0
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1CTNH0016,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1CTNH0021,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1CTNH0022,0
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1CTNH0022,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1CTNH0026,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1CTNH0029,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1CTNH0030,0
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1CTNH0030,0
",,N,",SNWD,2017-01-02T00:00:00,GHCND:US1CTNH0030,0
",,7,0800",PRCP,2017-01-02T00:00:00,GHCND:USC00060128,0
",,7,",SNOW,2017-01-02T00:00:00,GHCND:USC00060128,0
",,7,0800",SNWD,2017-01-02T00:00:00,GHCND:USC00060128,0
",,7,0800",TMAX,2017-01-02T00:00:00,GHCND:USC00060128,78
",,7,0800",TMIN,2017-01-02T00:00:00,GHCND:USC00060128,-50
",,7,0800",TOBS,2017-01-02T00:00:00,GHCND:USC00060128,-33
",,7,0800",PRCP,2017-01-02T00:00:00,GHCND:USC00060808,0
",,7,",SNOW,2017-01-02T00:00:00,GHCND:USC00060808,0
",,7,0800",SNWD,2017-01-02T00:00:00,GHCND:USC00060808,0
",,7,0800",TMAX,2017-01-02T00:00:00,GHCND:USC00060808,89
",,7,0800",TMIN,2017-01-02T00:00:00,GHCND:USC00060808,-33
",,7,0800",TOBS,2017-01-02T00:00:00,GHCND:USC00060808,-22
",,7,0700",PRCP,2017-01-02T00:00:00,GHCND:USC00065077,0
",,7,",SNOW,2017-01-02T00:00:00,GHCND:USC00065077,0
",,7,0700",SNWD,2017-01-02T00:00:00,GHCND:USC00065077,0
",,7,0700",TMAX,2017-01-02T00:00:00,GHCND:USC00065077,83
",,7,0700",TMIN,2017-01-02T00:00:00,GHCND:USC00065077,-39
",,7,0700",TOBS,2017-01-02T00:00:00,GHCND:USC00065077,11
",,W,",AWND,2017-01-02T00:00:00,GHCND:USW00014758,28
",,W,",PGTM,2017-01-02T00:00:00,GHCND:USW00014758,1927
"T,,W,",PRCP,2017-01-02T00:00:00,GHCND:USW00014758,0
",,W,",TMAX,2017-01-02T00:00:00,GHCND:USW00014758,17
",,W,",TMIN,2017-01-02T00:00:00,GHCND:USW00014758,-49
