attributes,datatype,date,station,value
",,W,",AWND,2017-01-01T00:00:00,GHCND:USW00026617,77
",,W,",PGTM,2017-01-01T00:00:00,GHCND:USW00026617,2
",,W,2400",PRCP,2017-01-01T00:00:00,GHCND:USW00026617,48
",,W,",SNOW,2017-01-01T00:00:00,GHCND:USW00026617,30
",,W,",SNWD,2017-01-01T00:00:00,GHCND:USW00026617,480
"H,,S,",TAVG,2017-01-01T00:00:00,GHCND:USW00026617,7
",,W,2400",TMAX,2017-01-01T00:00:00,GHCND:USW00026617,11
",,W,2400",TMIN,2017-01-01T00:00:00,GHCND:USW00026617,-10
",,W,",WDF2,2017-01-01T00:00:00,GHCND:USW00026617,170
",,W,",WDF5,2017-01-01T00:00:00,GHCND:USW00026617,160
",,W,",WSF2,2017-01-01T00:00:00,GHCND:USW00026617,130
",,W,",WSF5,2017-01-01T00:00:00,GHCND:USW00026617,174
",,W,",AWND,2017-01-02T00:00:00,GHCND:USW00026617,51
",,W,",PGTM,2017-01-02T00:00:00,GHCND:USW00026617,545
",,W,2400",PRCP,2017-01-02T00:00:00,GHCND:USW00026617,25
",,W,",SNOW,2017-01-02T00:00:00,GHCND:USW00026617,23
",,W,",SNWD,2017-01-02T00:00:00,GHCND:USW00026617,510
"H,,S,",TAVG,2017-01-02T00:00:00,GHCND:USW00026617,-8
",,W,2400",TMAX,2017-01-02T00:00:00,GHCND:USW00026617,0
",,W,2400",TMIN,2017-01-02T00:00:00,GHCND:USW00026617,-32
",,W,",WDF2,2017-01-02T00:00:00,GHCND:USW00026617,170
",,W,",WDF5,2017-01-02T00:00:00,GHCND:USW00026617,170
",,W,",WSF2,2017-01-02T00:00:00,GHCND:USW00026617,112
",,W,",WSF5,2017-01-02T00:00:00,GHCND:USW00026617,148
",,W,",AWND,2017-01-03T00:00:00,GHCND:USW00026617,21
",,W,",PGTM,2017-01-03T00:00:00,GHCND:USW00026617,2244
"T,,W,2400",PRCP,2017-01-03T00:00:00,GHCND:USW00026617,0
",,W,",SNOW,2017-01-03T00:00:00,GHCND:USW00026617,0
",,W,",SNWD,2017-01-03T00:00:00,GHCND:USW00026617,460
"H,,S,",TAVG,2017-01-03T00:00:00,GHCND:USW00026617,-31
",,W,2400",TMAX,2017-01-03T00:00:00,GHCND:USW00026617,-16
",,W,2400",TMIN,2017-01-03T00:00:00,GHCND:USW00026617,-60
",,W,",WDF2,2017-01-03T00:00:00,GHCND:USW00026617,90
",,W,",WDF5,2017-01-03T00:00:00,GHCND:USW00026617,100
",,W,",WSF2,2017-01-03T00:00:00,GHCND:USW00026617,54
