attributes,datatype,date,station,value
",,7,0600",PRCP,2017-01-01T00:00:00,GHCND:USC00110993,41
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00110993,0
",,7,",SNWD,2017-01-01T00:00:00,GHCND:USC00110993,0
",,7,0600",TMAX,2017-01-01T00:00:00,GHCND:USC00110993,67
",,7,0600",TMIN,2017-01-01T00:00:00,GHCND:USC00110993,39
",,7,0600",TOBS,2017-01-01T00:00:00,GHCND:USC00110993,39
",,7,1000",PRCP,2017-01-01T00:00:00,GHCND:USC00113120,0
",,7,0600",PRCP,2017-01-01T00:00:00,GHCND:USC00118020,38
",,7,0600",TMAX,2017-01-01T00:00:00,GHCND:USC00118020,67
",,7,0600",TMIN,2017-01-01T00:00:00,GHCND:USC00118020,0
",,7,0600",TOBS,2017-01-01T00:00:00,GHCND:USC00118020,44
",,7,0600",PRCP,2017-01-01T00:00:00,GHCND:USC00155235,94
"T,,7,2400",PRCP,2017-01-01T00:00:00,GHCND:USC00158555,0
",,7,1700",SN52,2017-01-01T00:00:00,GHCND:USC00158555,83
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00158555,0
",,7,",SNWD,2017-01-01T00:00:00,GHCND:USC00158555,0
",,7,1700",SX52,2017-01-01T00:00:00,GHCND:USC00158555,83
",,7,2400",TMAX,2017-01-01T00:00:00,GHCND:USC00158555,78
",,7,2400",TMIN,2017-01-01T00:00:00,GHCND:USC00158555,44
",,7,2400",TOBS,2017-01-01T00:00:00,GHCND:USC00158555,72
",,W,",AWND,2017-01-01T00:00:00,GHCND:USW00003816,31
",,W,2400",PRCP,2017-01-01T00:00:00,GHCND:USW00003816,3
",,W,",SNOW,2017-01-01T00:00:00,GHCND:USW00003816,0
",,W,",SNWD,2017-01-01T00:00:00,GHCND:USW00003816,0
"H,,S,",TAVG,2017-01-01T00:00:00,GHCND:USW00003816,63
",,W,2400",TMAX,2017-01-01T00:00:00,GHCND:USW00003816,83
",,W,2400",TMIN,2017-01-01T00:00:00,GHCND:USW00003816,50
",,W,",WDF2,2017-01-01T00:00:00,GHCND:USW00003816,70
",,W,",WDF5,2017-01-01T00:00:00,GHCND:USW00003816,70
",,W,",WSF2,2017-01-01T00:00:00,GHCND:USW00003816,58
",,W,",WSF5,2017-01-01T00:00:00,GHCND:USW00003816,76
",,W,",WT01,2017-01-01T00:00:00,GHCND:USW00003816,1
",,W,",WT08,2017-01-01T00:00:00,GHCND:USW00003816,1
",,7,0600",PRCP,2017-01-02T00:00:00,GHCND:USC00110993,0
",,7,",SNOW,2017-01-02T00:00:00,GHCND:USC00110993,0
",,7,",SNWD,2017-01-02T00:00:00,GHCND:USC00110993,0
",,7,0600",TMAX,2017-01-02T00:00:00,GHCND:USC00110993,72
",,7,0600",TMIN,2017-01-02T00:00:00,GHCND:USC00110993,39
