attributes,datatype,date,station,value
"T,,N,",PRCP,2017-01-01T00:00:00,GHCND:US1NYCL0007,0
"T,,N,",SNOW,2017-01-01T00:00:00,GHCND:US1NYCL0007,0
",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1NYCL0007,38
"T,,N,",PRCP,2017-01-01T00:00:00,GHCND:US1NYES0007,0
"T,,N,",SNOW,2017-01-01T00:00:00,GHCND:US1NYES0007,0
",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1NYES0007,51
"T,,N,",WESF,2017-01-01T00:00:00,GHCND:US1NYES0007,0
",,7,1600",PRCP,2017-01-01T00:00:00,GHCND:USC00301966,3
",,7,1600",TMAX,2017-01-01T00:00:00,GHCND:USC00301966,6
",,7,1600",TMIN,2017-01-01T00:00:00,GHCND:USC00301966,-44
",,7,1600",TOBS,2017-01-01T00:00:00,GHCND:USC00301966,-17
",,7,1800",PRCP,2017-01-01T00:00:00,GHCND:USC00306538,0
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00306538,0
",,7,1800",TMAX,2017-01-01T00:00:00,GHCND:USC00306538,28
",,7,1800",TMIN,2017-01-01T00:00:00,GHCND:USC00306538,-22
",,7,1800",TOBS,2017-01-01T00:00:00,GHCND:USC00306538,-22
"T,,7,0700",PRCP,2017-01-01T00:00:00,GHCND:USC00306660,0
"T,,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00306660,0
",,7,0700",SNWD,2017-01-01T00:00:00,GHCND:USC00306660,0
",,7,2100",PRCP,2017-01-01T00:00:00,GHCND:USC00437607,0
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00437607,0
",,7,2100",SNWD,2017-01-01T00:00:00,GHCND:USC00437607,25
",,7,2100",TMAX,2017-01-01T00:00:00,GHCND:USC00437607,28
",,7,2100",TMIN,2017-01-01T00:00:00,GHCND:USC00437607,-11
",,7,2100",TOBS,2017-01-01T00:00:00,GHCND:USC00437607,0
",,W,",AWND,2017-01-01T00:00:00,GHCND:USW00064776,25
"T,,W,",PRCP,2017-01-01T00:00:00,GHCND:USW00064776,0
",,W,",SNWD,2017-01-01T00:00:00,GHCND:USW00064776,0
",,W,",TMAX,2017-01-01T00:00:00,GHCND:USW00064776,33
",,W,",TMIN,2017-01-01T00:00:00,GHCND:USW00064776,-60
",,W,",WDF2,2017-01-01T00:00:00,GHCND:USW00064776,310
",,W,",WDF5,2017-01-01T00:00:00,GHCND:USW00064776,250
",,W,",WSF2,2017-01-01T00:00:00,GHCND:USW00064776,72
",,W,",WSF5,2017-01-01T00:00:00,GHCND:USW00064776,112
",,W,",WT01,2017-01-01T00:00:00,GHCND:USW00064776,1
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1NYCL0007,0
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1NYCL0007,0
",,N,",SNWD,2017-01-02T00:00:00,GHCND:US1NYCL0007,38
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1NYES0007,0
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1NYES0007,0
",,N,",SNWD,2017-01-02T00:00:00,GHCND:US1NYES0007,38
",,7,1600",PRCP,2017-01-02T00:00:00,GHCND:USC00301966,0
",,7,1600",TMAX,2017-01-02T00:00:00,GHCND:USC00301966,56
",,7,1600",TMIN,2017-01-02T00:00:00,GHCND:USC00301966,-61
",,7,1600",TOBS,2017-01-02T00:00:00,GHCND:USC00301966,22
",,7,1800",PRCP,2017-01-02T00:00:00,GHCND:USC00306538,0
",,7,",SNOW,2017-01-02T00:00:00,GHCND:USC00306538,0
",,7,1800",TMAX,2017-01-02T00:00:00,GHCND:USC00306538,33
",,7,1800",TMIN,2017-01-02T00:00:00,GHCND:USC00306538,-72
",,7,1800",TOBS,2017-01-02T00:00:00,GHCND:USC00306538,0
",,7,0700",PRCP,2017-01-02T00:00:00,GHCND:USC00306660,0
",,7,",SNOW,2017-01-02T00:00:00,GHCND:USC00306660,0
",,7,0700",SNWD,2017-01-02T00:00:00,GHCND:USC00306660,0
",,7,2100",PRCP,2017-01-02T00:00:00,GHCND:USC00437607,0
",,7,",SNOW,2017-01-02T00:00:00,GHCND:USC00437607,0
