attributes,datatype,date,station,value
"T,,N,",PRCP,2017-01-01T00:00:00,GHCND:US1IDBK0001,0
"T,,N,",SNOW,2017-01-01T00:00:00,GHCND:US1IDBK0001,0
",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1IDBK0001,191
"T,,N,",PRCP,2017-01-01T00:00:00,GHCND:US1IDBK0010,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1IDBK0011,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1IDBK0011,0
",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1IDBK0011,241
",,N,",WESF,2017-01-01T00:00:00,GHCND:US1IDBK0011,0
"T,,N,",PRCP,2017-01-01T00:00:00,GHCND:US1IDBK0012,0
"T,,N,",SNOW,2017-01-01T00:00:00,GHCND:US1IDBK0012,0
",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1IDBK0012,203
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1IDPW0003,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1IDPW0003,0
",,7,0800",PRCP,2017-01-01T00:00:00,GHCND:USC00103297,0
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00103297,0
",,7,0800",SNWD,2017-01-01T00:00:00,GHCND:USC00103297,279
",,7,0800",TMAX,2017-01-01T00:00:00,GHCND:USC00103297,-72
",,7,0800",TMIN,2017-01-01T00:00:00,GHCND:USC00103297,-144
",,7,0800",TOBS,2017-01-01T00:00:00,GHCND:USC00103297,-128
",,7,",WT01,2017-01-01T00:00:00,GHCND:USC00103297,1
",,7,2400",PRCP,2017-01-01T00:00:00,GHCND:USC00107208,5
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00107208,13
",,7,",SNWD,2017-01-01T00:00:00,GHCND:USC00107208,203
",,7,2400",TMAX,2017-01-01T00:00:00,GHCND:USC00107208,-22
",,7,2400",TMIN,2017-01-01T00:00:00,GHCND:USC00107208,-133
",,7,2400",TOBS,2017-01-01T00:00:00,GHCND:USC00107208,-89
",,7,",WT01,2017-01-01T00:00:00,GHCND:USC00107208,1
",,7,1730",TMAX,2017-01-01T00:00:00,GHCND:USC00107210,-33
",,7,1730",TMIN,2017-01-01T00:00:00,GHCND:USC00107210,-128
",,T,",PRCP,2017-01-01T00:00:00,GHCND:USS0012G17S,25
",,T,",SNWD,2017-01-01T00:00:00,GHCND:USS0012G17S,762
",,T,",TAVG,2017-01-01T00:00:00,GHCND:USS0012G17S,-71
",,T,",TMAX,2017-01-01T00:00:00,GHCND:USS0012G17S,-29
",,T,",TMIN,2017-01-01T00:00:00,GHCND:USS0012G17S,-122
",,T,",TOBS,2017-01-01T00:00:00,GHCND:USS0012G17S,-90
",,T,",WESD,2017-01-01T00:00:00,GHCND:USS0012G17S,1930
",,W,",AWND,2017-01-01T00:00:00,GHCND:USW00024156,19
"T,,W,2400",PRCP,2017-01-01T00:00:00,GHCND:USW00024156,0
"T,,W,",SNOW,2017-01-01T00:00:00,GHCND:USW00024156,0
",,W,",SNWD,2017-01-01T00:00:00,GHCND:USW00024156,230
"H,,S,",TAVG,2017-01-01T00:00:00,GHCND:USW00024156,-96
",,W,2400",TMAX,2017-01-01T00:00:00,GHCND:USW00024156,-38
