attributes,datatype,date,station,value
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1MAES0001,53
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1MAES0001,0
",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1MAES0001,13
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1MEYK0002,30
",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1MEYK0002,51
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1MEYK0052,30
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1MEYK0052,0
",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1MEYK0052,102
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1MEYK0068,20
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1NHRC0007,38
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1NHRC0024,33
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1NHRC0049,38
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1NHST0019,15
",,7,0700",PRCP,2017-01-01T00:00:00,GHCND:USC00171131,30
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00171131,0
",,7,",SNWD,2017-01-01T00:00:00,GHCND:USC00171131,102
",,7,",TMAX,2017-01-01T00:00:00,GHCND:USC00171131,28
",,7,",TMIN,2017-01-01T00:00:00,GHCND:USC00171131,-72
",,7,",TOBS,2017-01-01T00:00:00,GHCND:USC00171131,28
",,7,0700",PRCP,2017-01-01T00:00:00,GHCND:USC00172602,23
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00172602,0
",,7,",SNWD,2017-01-01T00:00:00,GHCND:USC00172602,102
",,7,1700",PRCP,2017-01-01T00:00:00,GHCND:USC00272174,18
"T,,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00272174,0
",,7,",SNWD,2017-01-01T00:00:00,GHCND:USC00272174,76
",,7,1700",TMAX,2017-01-01T00:00:00,GHCND:USC00272174,61
",,7,1700",TMIN,2017-01-01T00:00:00,GHCND:USC00272174,-17
",,7,1700",TOBS,2017-01-01T00:00:00,GHCND:USC00272174,33
",,7,0700",PRCP,2017-01-01T00:00:00,GHCND:USC00272800,3
"T,,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00272800,0
",,7,0700",SNWD,2017-01-01T00:00:00,GHCND:USC00272800,76
",,7,0700",TMAX,2017-01-01T00:00:00,GHCND:USC00272800,17
",,7,0700",TMIN,2017-01-01T00:00:00,GHCND:USC00272800,-100
",,7,0700",TOBS,2017-01-01T00:00:00,GHCND:USC00272800,11
",,7,0700",PRCP,2017-01-01T00:00:00,GHCND:USC00273626,33
"T,,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00273626,0
",,7,0700",SNWD,2017-01-01T00:00:00,GHCND:USC00273626,25
",,7,0700",TMAX,2017-01-01T00:00:00,GHCND:USC00273626,28
",,7,0700",TMIN,2017-01-01T00:00:00,GHCND:USC00273626,-94
",,7,0700",TOBS,2017-01-01T00:00:00,GHCND:USC00273626,17
",,7,0700",PRCP,2017-01-01T00:00:00,GHCND:USC00276070,30
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00276070,0
",,7,",SNWD,2017-01-01T00:00:00,GHCND:USC00276070,25
",,7,",TMAX,2017-01-01T00:00:00,GHCND:USC00276070,28
",,7,",TMIN,2017-01-01T00:00:00,GHCND:USC00276070,-89
",,7,",TOBS,2017-01-01T00:00:00,GHCND:USC00276070,22
",,R,",PRCP,2017-01-01T00:00:00,GHCND:USW00054794,9
",,R,",TMAX,2017-01-01T00:00:00,GHCND:USW00054794,54
",,R,",TMIN,2017-01-01T00:00:00,GHCND:USW00054794,-56
",,R,",PRCP,2017-01-01T00:00:00,GHCND:USW00054795,9
",,R,",TMAX,2017-01-01T00:00:00,GHCND:USW00054795,54
",,R,",TMIN,2017-01-01T00:00:00,GHCND:USW00054795,-55
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1MAES0001,0
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1MAES0001,0
",,N,",SNWD,2017-01-02T00:00:00,GHCND:US1MAES0001,13
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1MEYK0002,0
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1MEYK0002,0
",,N,",SNWD,2017-01-02T00:00:00,GHCND:US1MEYK0002,25
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1MEYK0052,0
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1MEYK0052,0
",,N,",SNWD,2017-01-02T00:00:00,GHCND:US1MEYK0052,89
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1MEYK0068,0
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1MEYK0068,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1NHRC0007,0
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1NHRC0007,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1NHRC0024,0
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1NHRC0024,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1NHRC0049,0
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1NHRC0049,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1NHST0014,0
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1NHST0014,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1NHST0019,0
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1NHST0019,0
",,7,0700",PRCP,2017-01-02T00:00:00,GHCND:USC00171131,0
",,7,",SNOW,2017-01-02T00:00:00,GHCND:USC00171131,0
",,7,",SNWD,2017-01-02T00:00:00,GHCND:USC00171131,102
",,7,",TMAX,2017-01-02T00:00:00,GHCND:USC00171131,44
",,7,",TMIN,2017-01-02T00:00:00,GHCND:USC00171131,-39
",,7,",TOBS,2017-01-02T00:00:00,GHCND:USC00171131,-28
",,7,0700",PRCP,2017-01-02T00:00:00,GHCND:USC00172602,0
",,7,",SNOW,2017-01-02T00:00:00,GHCND:USC00172602,0
",,7,",SNWD,2017-01-02T00:00:00,GHCND:USC00172602,76
",,7,1700",PRCP,2017-01-02T00:00:00,GHCND:USC00272174,0
",,7,",SNOW,2017-01-02T00:00:00,GHCND:USC00272174,0
",,7,",SNWD,2017-01-02T00:00:00,GHCND:USC00272174,76
",,7,1700",TMAX,2017-01-02T00:00:00,GHCND:USC00272174,33
",,7,1700",TMIN,2017-01-02T00:00:00,GHCND:USC00272174,-94
",,7,1700",TOBS,2017-01-02T00:00:00,GHCND:USC00272174,-6
",,7,0700",PRCP,2017-01-02T00:00:00,GHCND:USC00272800,0
",,7,",SNOW,2017-01-02T00:00:00,GHCND:USC00272800,0
",,7,0700",SNWD,2017-01-02T00:00:00,GHCND:USC00272800,76
",,7,0700",TMAX,2017-01-02T00:00:00,GHCND:USC00272800,61
",,7,0700",TMIN,2017-01-02T00:00:00,GHCND:USC00272800,-83
",,7,0700",TOBS,2017-01-02T00:00:00,GHCND:USC00272800,-78
",,7,0700",PRCP,2017-01-02T00:00:00,GHCND:USC00273626,0
",,7,",SNOW,2017-01-02T00:00:00,GHCND:USC00273626,0
",,7,0700",SNWD,2017-01-02T00:00:00,GHCND:USC00273626,25
",,7,0700",TMAX,2017-01-02T00:00:00,GHCND:USC00273626,56
",,7,0700",TMIN,2017-01-02T00:00:00,GHCND:USC00273626,-67
",,7,0700",TOBS,2017-01-02T00:00:00,GHCND:USC00273626,-61
",,7,0700",PRCP,2017-01-02T00:00:00,GHCND:USC00276070,0
",,7,",SNOW,2017-01-02T00:00:00,GHCND:USC00276070,0
",,7,",SNWD,2017-01-02T00:00:00,GHCND:USC00276070,25
",,7,",TMAX,2017-01-02T00:00:00,GHCND:USC00276070,50
",,7,",TMIN,2017-01-02T00:00:00,GHCND:USC00276070,-56
",,7,",TOBS,2017-01-02T00:00:00,GHCND:USC00276070,-50
",,R,",PRCP,2017-01-02T00:00:00,GHCND:USW00054794,0
",,R,",TMAX,2017-01-02T00:00:00,GHCND:USW00054794,32
",,R,",TMIN,2017-01-02T00:00:00,GHCND:USW00054794,-88
",,R,",PRCP,2017-01-02T00:00:00,GHCND:USW00054795,0
",,R,",TMAX,2017-01-02T00:00:00,GHCND:USW00054795,35
",,R,",TMIN,2017-01-02T00:00:00,GHCND:USW00054795,-86
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1MAES0001,8
",,N,",SNOW,2017-01-03T00:00:00,GHCND:US1MAES0001,0
"T,,N,",SNWD,2017-01-03T00:00:00,GHCND:US1MAES0001,0
"T,,N,",PRCP,2017-01-03T00:00:00,GHCND:US1MEYK0002,0
",,N,",SNWD,2017-01-03T00:00:00,GHCND:US1MEYK0002,13
"T,,N,",PRCP,2017-01-03T00:00:00,GHCND:US1MEYK0014,0
"T,,N,",PRCP,2017-01-03T00:00:00,GHCND:US1MEYK0052,0
",,N,",SNOW,2017-01-03T00:00:00,GHCND:US1MEYK0052,0
",,N,",SNWD,2017-01-03T00:00:00,GHCND:US1MEYK0052,76
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1MEYK0068,0
",,N,",SNOW,2017-01-03T00:00:00,GHCND:US1MEYK0068,0
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1NHRC0007,5
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1NHRC0024,3
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1NHRC0049,3
"T,,N,",PRCP,2017-01-03T00:00:00,GHCND:US1NHST0014,0
",,N,",SNOW,2017-01-03T00:00:00,GHCND:US1NHST0014,0
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1NHST0019,3
",,N,",SNWD,2017-01-03T00:00:00,GHCND:US1NHST0019,76
",,N,",WESD,2017-01-03T00:00:00,GHCND:US1NHST0019,150
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1NHST0039,20
",,N,",SNOW,2017-01-03T00:00:00,GHCND:US1NHST0039,0
",,N,",WESF,2017-01-03T00:00:00,GHCND:US1NHST0039,0
"T,,7,0700",PRCP,2017-01-03T00:00:00,GHCND:USC00171131,0
",,7,",SNOW,2017-01-03T00:00:00,GHCND:USC00171131,0
",,7,",SNWD,2017-01-03T00:00:00,GHCND:USC00171131,76
",,7,",TMAX,2017-01-03T00:00:00,GHCND:USC00171131,33
",,7,",TMIN,2017-01-03T00:00:00,GHCND:USC00171131,-28
",,7,",TOBS,2017-01-03T00:00:00,GHCND:USC00171131,6
"T,,7,0700",PRCP,2017-01-03T00:00:00,GHCND:USC00172602,0
",,7,",SNOW,2017-01-03T00:00:00,GHCND:USC00172602,0
",,7,",SNWD,2017-01-03T00:00:00,GHCND:USC00172602,51
",,7,1700",PRCP,2017-01-03T00:00:00,GHCND:USC00272174,23
