attributes,datatype,date,station,value
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZYV0001,41
",,N,",WESD,2017-01-01T00:00:00,GHCND:US1AZYV0001,0
",,N,",WESF,2017-01-01T00:00:00,GHCND:US1AZYV0001,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZYV0022,43
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZYV0029,13
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZYV0032,25
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZYV0040,36
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZYV0041,8
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZYV0042,20
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZYV0043,20
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZYV0047,36
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZYV0049,30
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZYV0052,25
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZYV0061,10
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZYV0063,13
"T,,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZYV0067,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZYV0068,112
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZYV0070,41
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZYV0073,25
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZYV0079,8
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZYV0081,38
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZYV0083,20
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZYV0084,30
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZYV0085,53
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZYV0087,124
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZYV0091,53
"T,,N,",SNOW,2017-01-01T00:00:00,GHCND:US1AZYV0091,0
"T,,N,",WESF,2017-01-01T00:00:00,GHCND:US1AZYV0091,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZYV0092,15
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZYV0094,8
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZYV0096,8
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZYV0098,46
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZYV0113,38
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZYV0115,48
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZYV0122,13
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZYV0124,25
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1AZYV0125,8
