attributes,datatype,date,station,value
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1UTUT0002,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1UTUT0002,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1UTUT0024,0
",,7,1800",PRCP,2017-01-01T00:00:00,GHCND:USC00420061,0
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00420061,0
"T,,7,1800",SNWD,2017-01-01T00:00:00,GHCND:USC00420061,0
",,7,1800",TMAX,2017-01-01T00:00:00,GHCND:USC00420061,50
",,7,1800",TMIN,2017-01-01T00:00:00,GHCND:USC00420061,-106
",,7,1800",TOBS,2017-01-01T00:00:00,GHCND:USC00420061,17
",,7,",WT01,2017-01-01T00:00:00,GHCND:USC00420061,1
",,7,0800",PRCP,2017-01-01T00:00:00,GHCND:USC00422057,0
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00422057,0
",,7,0800",SNWD,2017-01-01T00:00:00,GHCND:USC00422057,0
",,7,0800",TMAX,2017-01-01T00:00:00,GHCND:USC00422057,6
",,7,0800",TMIN,2017-01-01T00:00:00,GHCND:USC00422057,-106
",,7,0800",TOBS,2017-01-01T00:00:00,GHCND:USC00422057,-89
",,7,1800",PRCP,2017-01-01T00:00:00,GHCND:USC00426919,0
",,7,1800",TMAX,2017-01-01T00:00:00,GHCND:USC00426919,72
",,7,1800",TMIN,2017-01-01T00:00:00,GHCND:USC00426919,-89
",,7,1800",TOBS,2017-01-01T00:00:00,GHCND:USC00426919,-11
",,7,1800",PRCP,2017-01-01T00:00:00,GHCND:USC00427064,0
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00427064,0
",,7,1800",SNWD,2017-01-01T00:00:00,GHCND:USC00427064,76
",,7,1800",TMAX,2017-01-01T00:00:00,GHCND:USC00427064,44
",,7,1800",TMIN,2017-01-01T00:00:00,GHCND:USC00427064,-89
",,7,1800",TOBS,2017-01-01T00:00:00,GHCND:USC00427064,-11
",,7,1700",PRCP,2017-01-01T00:00:00,GHCND:USC00428119,0
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00428119,0
",,7,",SNWD,2017-01-01T00:00:00,GHCND:USC00428119,127
",,7,1700",TMAX,2017-01-01T00:00:00,GHCND:USC00428119,-11
",,7,1700",TMIN,2017-01-01T00:00:00,GHCND:USC00428119,-144
",,7,1700",TOBS,2017-01-01T00:00:00,GHCND:USC00428119,-17
",,7,2400",PRCP,2017-01-01T00:00:00,GHCND:USC00428733,0
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00428733,0
",,7,2400",TMAX,2017-01-01T00:00:00,GHCND:USC00428733,56
",,7,2400",TMIN,2017-01-01T00:00:00,GHCND:USC00428733,-78
",,7,1700",PRCP,2017-01-01T00:00:00,GHCND:USC00428973,0
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00428973,0
",,7,",SNWD,2017-01-01T00:00:00,GHCND:USC00428973,25
",,7,1700",TMAX,2017-01-01T00:00:00,GHCND:USC00428973,6
",,7,1700",TMIN,2017-01-01T00:00:00,GHCND:USC00428973,-89
",,U,",TAVG,2017-01-01T00:00:00,GHCND:USR0000PLGV,-21
"H,,U,",TMAX,2017-01-01T00:00:00,GHCND:USR0000PLGV,56
"H,,U,",TMIN,2017-01-01T00:00:00,GHCND:USR0000PLGV,-89
",,T,",PRCP,2017-01-01T00:00:00,GHCND:USS0011J70S,0
",,T,",SNWD,2017-01-01T00:00:00,GHCND:USS0011J70S,737
",,T,",TAVG,2017-01-01T00:00:00,GHCND:USS0011J70S,-19
",,T,",TMAX,2017-01-01T00:00:00,GHCND:USS0011J70S,6
",,T,",TMIN,2017-01-01T00:00:00,GHCND:USS0011J70S,-50
",,T,",TOBS,2017-01-01T00:00:00,GHCND:USS0011J70S,-17
",,T,",WESD,2017-01-01T00:00:00,GHCND:USS0011J70S,2184
"T,,N,",PRCP,2017-01-02T00:00:00,GHCND:US1UTUT0024,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1UTUT0028,8
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1UTUT0028,15
",,N,",SNWD,2017-01-02T00:00:00,GHCND:US1UTUT0028,38
",,N,",WESF,2017-01-02T00:00:00,GHCND:US1UTUT0028,8
",,7,1800",PRCP,2017-01-02T00:00:00,GHCND:USC00420061,20
",,7,",SNOW,2017-01-02T00:00:00,GHCND:USC00420061,25
",,7,1800",SNWD,2017-01-02T00:00:00,GHCND:USC00420061,25
",,7,1800",TMAX,2017-01-02T00:00:00,GHCND:USC00420061,28
",,7,1800",TMIN,2017-01-02T00:00:00,GHCND:USC00420061,-50
",,7,1800",TOBS,2017-01-02T00:00:00,GHCND:USC00420061,-33
",,7,0800",PRCP,2017-01-02T00:00:00,GHCND:USC00422057,5
",,7,0800",SNWD,2017-01-02T00:00:00,GHCND:USC00422057,25
",,7,0800",TMAX,2017-01-02T00:00:00,GHCND:USC00422057,44
",,7,0800",TMIN,2017-01-02T00:00:00,GHCND:USC00422057,-94
",,7,0800",TOBS,2017-01-02T00:00:00,GHCND:USC00422057,-33
",,7,1800",PRCP,2017-01-02T00:00:00,GHCND:USC00426919,3
",,7,1800",TMAX,2017-01-02T00:00:00,GHCND:USC00426919,28
",,7,1800",TMIN,2017-01-02T00:00:00,GHCND:USC00426919,-50
",,7,1800",TOBS,2017-01-02T00:00:00,GHCND:USC00426919,-11
",,7,1800",PRCP,2017-01-02T00:00:00,GHCND:USC00427064,79
",,7,",SNOW,2017-01-02T00:00:00,GHCND:USC00427064,107
",,7,1800",SNWD,2017-01-02T00:00:00,GHCND:USC00427064,178
",,7,1800",TMAX,2017-01-02T00:00:00,GHCND:USC00427064,44
",,7,1800",TMIN,2017-01-02T00:00:00,GHCND:USC00427064,-44
",,7,1800",TOBS,2017-01-02T00:00:00,GHCND:USC00427064,-22
",,7,1700",PRCP,2017-01-02T00:00:00,GHCND:USC00428119,130
",,7,",SNOW,2017-01-02T00:00:00,GHCND:USC00428119,127
",,7,",SNWD,2017-01-02T00:00:00,GHCND:USC00428119,254
",,7,1700",TMAX,2017-01-02T00:00:00,GHCND:USC00428119,50
",,7,1700",TMIN,2017-01-02T00:00:00,GHCND:USC00428119,-50
",,7,1700",TOBS,2017-01-02T00:00:00,GHCND:USC00428119,-28
",,7,2400",PRCP,2017-01-02T00:00:00,GHCND:USC00428733,61
",,7,2400",TMAX,2017-01-02T00:00:00,GHCND:USC00428733,22
",,7,2400",TMIN,2017-01-02T00:00:00,GHCND:USC00428733,-56
",,7,1700",PRCP,2017-01-02T00:00:00,GHCND:USC00428973,5
"T,,7,",SNOW,2017-01-02T00:00:00,GHCND:USC00428973,0
",,7,",SNWD,2017-01-02T00:00:00,GHCND:USC00428973,25
",,7,1700",TMAX,2017-01-02T00:00:00,GHCND:USC00428973,6
",,7,1700",TMIN,2017-01-02T00:00:00,GHCND:USC00428973,-61
",,U,",TAVG,2017-01-02T00:00:00,GHCND:USR0000PLGV,-29
"H,,U,",TMAX,2017-01-02T00:00:00,GHCND:USR0000PLGV,28
"H,,U,",TMIN,2017-01-02T00:00:00,GHCND:USR0000PLGV,-56
",,T,",PRCP,2017-01-02T00:00:00,GHCND:USS0011J70S,229
",,T,",SNWD,2017-01-02T00:00:00,GHCND:USS0011J70S,965
",,T,",TAVG,2017-01-02T00:00:00,GHCND:USS0011J70S,-51
",,T,",TMAX,2017-01-02T00:00:00,GHCND:USS0011J70S,-16
",,T,",TMIN,2017-01-02T00:00:00,GHCND:USS0011J70S,-67
",,T,",TOBS,2017-01-02T00:00:00,GHCND:USS0011J70S,-66
",,T,",WESD,2017-01-02T00:00:00,GHCND:USS0011J70S,2413
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1UTUT0002,292
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1UTUT0024,91
",,N,",SNOW,2017-01-03T00:00:00,GHCND:US1UTUT0024,183
",,N,",SNWD,2017-01-03T00:00:00,GHCND:US1UTUT0024,183
",,N,",WESD,2017-01-03T00:00:00,GHCND:US1UTUT0024,91
",,N,",WESF,2017-01-03T00:00:00,GHCND:US1UTUT0024,91
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1UTUT0028,99
",,N,",SNOW,2017-01-03T00:00:00,GHCND:US1UTUT0028,147
",,N,",SNWD,2017-01-03T00:00:00,GHCND:US1UTUT0028,203
",,N,",WESF,2017-01-03T00:00:00,GHCND:US1UTUT0028,99
",,7,1800",PRCP,2017-01-03T00:00:00,GHCND:USC00420061,53
",,7,",SNOW,2017-01-03T00:00:00,GHCND:USC00420061,76
",,7,1800",SNWD,2017-01-03T00:00:00,GHCND:USC00420061,76
",,7,1800",TMAX,2017-01-03T00:00:00,GHCND:USC00420061,28
",,7,1800",TMIN,2017-01-03T00:00:00,GHCND:USC00420061,-78
",,7,1800",TOBS,2017-01-03T00:00:00,GHCND:USC00420061,0
",,7,0800",PRCP,2017-01-03T00:00:00,GHCND:USC00422057,206
",,7,",SNOW,2017-01-03T00:00:00,GHCND:USC00422057,305
",,7,0800",SNWD,2017-01-03T00:00:00,GHCND:USC00422057,330
",,7,0800",TMAX,2017-01-03T00:00:00,GHCND:USC00422057,-17
",,7,0800",TMIN,2017-01-03T00:00:00,GHCND:USC00422057,-72
",,7,0800",TOBS,2017-01-03T00:00:00,GHCND:USC00422057,-72
",,7,1800",PRCP,2017-01-03T00:00:00,GHCND:USC00426919,3
",,7,1800",TMAX,2017-01-03T00:00:00,GHCND:USC00426919,83
",,7,1800",TMIN,2017-01-03T00:00:00,GHCND:USC00426919,-78
",,7,1800",TOBS,2017-01-03T00:00:00,GHCND:USC00426919,0
",,7,1800",PRCP,2017-01-03T00:00:00,GHCND:USC00427064,112
",,7,",SNOW,2017-01-03T00:00:00,GHCND:USC00427064,140
",,7,1800",SNWD,2017-01-03T00:00:00,GHCND:USC00427064,279
",,7,1800",TMAX,2017-01-03T00:00:00,GHCND:USC00427064,33
",,7,1800",TMIN,2017-01-03T00:00:00,GHCND:USC00427064,-44
",,7,1800",TOBS,2017-01-03T00:00:00,GHCND:USC00427064,6
",,7,1700",PRCP,2017-01-03T00:00:00,GHCND:USC00428119,155
",,7,",SNOW,2017-01-03T00:00:00,GHCND:USC00428119,152
",,7,",SNWD,2017-01-03T00:00:00,GHCND:USC00428119,406
",,7,1700",TMAX,2017-01-03T00:00:00,GHCND:USC00428119,11
",,7,1700",TMIN,2017-01-03T00:00:00,GHCND:USC00428119,-50
",,7,1700",TOBS,2017-01-03T00:00:00,GHCND:USC00428119,-6
",,7,2400",PRCP,2017-01-03T00:00:00,GHCND:USC00428733,107
",,7,2400",TMAX,2017-01-03T00:00:00,GHCND:USC00428733,11
",,7,2400",TMIN,2017-01-03T00:00:00,GHCND:USC00428733,-67
",,7,1700",PRCP,2017-01-03T00:00:00,GHCND:USC00428973,38
",,7,",SNOW,2017-01-03T00:00:00,GHCND:USC00428973,89
",,7,",SNWD,2017-01-03T00:00:00,GHCND:USC00428973,76
