attributes,datatype,date,station,value
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1COPU0041,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1COPU0041,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1COPU0055,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1COPU0055,0
",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1COPU0055,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1COPU0058,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1COPU0058,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1COPU0060,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1COPU0060,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1COPU0065,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1COPU0065,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1COPU0078,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1COPU0078,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1COPU0080,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1COPU0080,0
",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1COPU0080,0
",,N,",WESD,2017-01-01T00:00:00,GHCND:US1COPU0080,0
",,N,",WESF,2017-01-01T00:00:00,GHCND:US1COPU0080,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1COPU0082,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1COPU0082,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1COPU0089,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1COPU0089,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1COPU0094,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1COPU0094,0
",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1COPU0094,0
",,N,",WESD,2017-01-01T00:00:00,GHCND:US1COPU0094,0
",,N,",WESF,2017-01-01T00:00:00,GHCND:US1COPU0094,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1COPU0098,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1COPU0098,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1COPU0101,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1COPU0103,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1COPU0103,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1COPU0109,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1COPU0109,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1COPU0118,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1COPU0118,0
