attributes,datatype,date,station,value
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1WYSW0001,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1WYSW0001,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1WYSW0010,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1WYSW0010,0
"T,,N,",SNWD,2017-01-01T00:00:00,GHCND:US1WYSW0010,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1WYSW0016,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1WYSW0016,0
"T,,N,",SNWD,2017-01-01T00:00:00,GHCND:US1WYSW0016,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1WYSW0019,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1WYSW0019,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1WYSW0026,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1WYSW0026,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1WYSW0030,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1WYSW0030,0
",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1WYSW0030,13
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1WYSW0032,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1WYSW0032,0
"T,,N,",SNWD,2017-01-01T00:00:00,GHCND:US1WYSW0032,0
",,N,",WESF,2017-01-01T00:00:00,GHCND:US1WYSW0032,0
",,7,0700",PRCP,2017-01-01T00:00:00,GHCND:USC00484065,0
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00484065,0
",,7,",SNWD,2017-01-01T00:00:00,GHCND:USC00484065,0
",,7,0700",TMAX,2017-01-01T00:00:00,GHCND:USC00484065,11
",,7,0700",TMIN,2017-01-01T00:00:00,GHCND:USC00484065,-139
",,7,0700",TOBS,2017-01-01T00:00:00,GHCND:USC00484065,-139
",,7,1700",PRCP,2017-01-01T00:00:00,GHCND:USC00487847,0
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00487847,0
",,7,1700",SNWD,2017-01-01T00:00:00,GHCND:USC00487847,0
",,7,1700",TMAX,2017-01-01T00:00:00,GHCND:USC00487847,28
",,7,1700",TMIN,2017-01-01T00:00:00,GHCND:USC00487847,-139
