attributes,datatype,date,station,value
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1DESS0003,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1DESS0003,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1MDSS0001,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1MDWC0002,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1MDWC0002,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1MDWC0009,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1MDWC0009,0
",,7,1700",PRCP,2017-01-01T00:00:00,GHCND:USC00188004,0
",,7,1700",TMAX,2017-01-01T00:00:00,GHCND:USC00188004,133
",,7,1700",TMIN,2017-01-01T00:00:00,GHCND:USC00188004,28
",,7,1700",TOBS,2017-01-01T00:00:00,GHCND:USC00188004,94
",,7,1700",PRCP,2017-01-01T00:00:00,GHCND:USC00188380,0
",,7,1700",TMAX,2017-01-01T00:00:00,GHCND:USC00188380,144
",,7,1700",TMIN,2017-01-01T00:00:00,GHCND:USC00188380,6
",,7,1700",TOBS,2017-01-01T00:00:00,GHCND:USC00188380,133
",,W,",AWND,2017-01-01T00:00:00,GHCND:USW00093720,24
",,W,2400",PRCP,2017-01-01T00:00:00,GHCND:USW00093720,0
"H,,S,",TAVG,2017-01-01T00:00:00,GHCND:USW00093720,83
",,W,2400",TMAX,2017-01-01T00:00:00,GHCND:USW00093720,133
",,W,2400",TMIN,2017-01-01T00:00:00,GHCND:USW00093720,11
",,W,",WDF2,2017-01-01T00:00:00,GHCND:USW00093720,230
",,W,",WDF5,2017-01-01T00:00:00,GHCND:USW00093720,240
",,W,",WSF2,2017-01-01T00:00:00,GHCND:USW00093720,89
",,W,",WSF5,2017-01-01T00:00:00,GHCND:USW00093720,116
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1DESS0003,8
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1DESS0003,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1MDSS0001,25
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1MDWC0002,48
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1MDWC0004,132
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1MDWC0009,18
"T,,N,",PRCP,2017-01-02T00:00:00,GHCND:US1MDWC0017,0
",,7,1700",PRCP,2017-01-02T00:00:00,GHCND:USC00187330,0
",,7,1700",TMAX,2017-01-02T00:00:00,GHCND:USC00187330,94
",,7,1700",TMIN,2017-01-02T00:00:00,GHCND:USC00187330,44
",,7,1700",TOBS,2017-01-02T00:00:00,GHCND:USC00187330,83
",,7,1700",PRCP,2017-01-02T00:00:00,GHCND:USC00188004,170
",,7,1700",TMAX,2017-01-02T00:00:00,GHCND:USC00188004,106
",,7,1700",TMIN,2017-01-02T00:00:00,GHCND:USC00188004,33
",,7,1700",TOBS,2017-01-02T00:00:00,GHCND:USC00188004,89
",,7,1700",PRCP,2017-01-02T00:00:00,GHCND:USC00188380,102
",,7,1700",TMAX,2017-01-02T00:00:00,GHCND:USC00188380,139
",,7,1700",TMIN,2017-01-02T00:00:00,GHCND:USC00188380,-11
",,7,1700",TOBS,2017-01-02T00:00:00,GHCND:USC00188380,94
",,W,",AWND,2017-01-02T00:00:00,GHCND:USW00093720,45
",,W,2400",PRCP,2017-01-02T00:00:00,GHCND:USW00093720,170
"H,,S,",TAVG,2017-01-02T00:00:00,GHCND:USW00093720,71
",,W,2400",TMAX,2017-01-02T00:00:00,GHCND:USW00093720,94
",,W,2400",TMIN,2017-01-02T00:00:00,GHCND:USW00093720,44
",,W,",WDF2,2017-01-02T00:00:00,GHCND:USW00093720,50
",,W,",WDF5,2017-01-02T00:00:00,GHCND:USW00093720,40
",,W,",WSF2,2017-01-02T00:00:00,GHCND:USW00093720,81
",,W,",WSF5,2017-01-02T00:00:00,GHCND:USW00093720,107
",,W,",WT01,2017-01-02T00:00:00,GHCND:USW00093720,1
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1DESS0003,175
",,N,",SNOW,2017-01-03T00:00:00,GHCND:US1DESS0003,0
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1MDSS0001,221
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1MDWC0002,178
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1MDWC0004,102
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1MDWC0009,145
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1MDWC0016,155
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1MDWC0017,191
",,7,1700",PRCP,2017-01-03T00:00:00,GHCND:USC00187330,452
",,7,1700",TMAX,2017-01-03T00:00:00,GHCND:USC00187330,150
",,7,1700",TMIN,2017-01-03T00:00:00,GHCND:USC00187330,78
",,7,1700",TOBS,2017-01-03T00:00:00,GHCND:USC00187330,144
",,7,1700",PRCP,2017-01-03T00:00:00,GHCND:USC00188004,173
",,7,1700",TMAX,2017-01-03T00:00:00,GHCND:USC00188004,117
",,7,1700",TMIN,2017-01-03T00:00:00,GHCND:USC00188004,72
",,7,1700",TOBS,2017-01-03T00:00:00,GHCND:USC00188004,100
",,7,1700",PRCP,2017-01-03T00:00:00,GHCND:USC00188380,127
",,7,1700",TMAX,2017-01-03T00:00:00,GHCND:USC00188380,122
",,7,1700",TMIN,2017-01-03T00:00:00,GHCND:USC00188380,56
",,7,1700",TOBS,2017-01-03T00:00:00,GHCND:USC00188380,100
",,W,",AWND,2017-01-03T00:00:00,GHCND:USW00093720,33
",,W,2400",PRCP,2017-01-03T00:00:00,GHCND:USW00093720,71
"H,,S,",TAVG,2017-01-03T00:00:00,GHCND:USW00093720,88
",,W,2400",TMAX,2017-01-03T00:00:00,GHCND:USW00093720,106
",,W,2400",TMIN,2017-01-03T00:00:00,GHCND:USW00093720,78
",,W,",WDF2,2017-01-03T00:00:00,GHCND:USW00093720,60
",,W,",WDF5,2017-01-03T00:00:00,GHCND:USW00093720,250
",,W,",WSF2,2017-01-03T00:00:00,GHCND:USW00093720,67
",,W,",WSF5,2017-01-03T00:00:00,GHCND:USW00093720,85
",,W,",WT01,2017-01-03T00:00:00,GHCND:USW00093720,1
",,N,",PRCP,2017-01-04T00:00:00,GHCND:US1DESS0003,130
",,N,",SNOW,2017-01-04T00:00:00,GHCND:US1DESS0003,0
",,N,",PRCP,2017-01-04T00:00:00,GHCND:US1MDSS0001,56
",,N,",PRCP,2017-01-04T00:00:00,GHCND:US1MDWC0002,94
",,N,",PRCP,2017-01-04T00:00:00,GHCND:US1MDWC0004,66
",,N,",PRCP,2017-01-04T00:00:00,GHCND:US1MDWC0009,38
",,7,1700",PRCP,2017-01-04T00:00:00,GHCND:USC00187330,0
",,7,1700",TMAX,2017-01-04T00:00:00,GHCND:USC00187330,144
",,7,1700",TMIN,2017-01-04T00:00:00,GHCND:USC00187330,33
",,7,1700",TOBS,2017-01-04T00:00:00,GHCND:USC00187330,128
",,7,1700",PRCP,2017-01-04T00:00:00,GHCND:USC00188004,5
",,7,1700",TMAX,2017-01-04T00:00:00,GHCND:USC00188004,133
",,7,1700",TMIN,2017-01-04T00:00:00,GHCND:USC00188004,83
",,7,1700",TOBS,2017-01-04T00:00:00,GHCND:USC00188004,106
",,7,1700",PRCP,2017-01-04T00:00:00,GHCND:USC00188380,0
",,7,1700",TMAX,2017-01-04T00:00:00,GHCND:USC00188380,139
",,7,1700",TMIN,2017-01-04T00:00:00,GHCND:USC00188380,67
",,7,1700",TOBS,2017-01-04T00:00:00,GHCND:USC00188380,111
",,W,",AWND,2017-01-04T00:00:00,GHCND:USW00093720,38
",,W,2400",PRCP,2017-01-04T00:00:00,GHCND:USW00093720,0
"H,,S,",TAVG,2017-01-04T00:00:00,GHCND:USW00093720,94
",,W,2400",TMAX,2017-01-04T00:00:00,GHCND:USW00093720,133
",,W,2400",TMIN,2017-01-04T00:00:00,GHCND:USW00093720,28
",,W,",WDF2,2017-01-04T00:00:00,GHCND:USW00093720,300
",,W,",WDF5,2017-01-04T00:00:00,GHCND:USW00093720,290
",,W,",WSF2,2017-01-04T00:00:00,GHCND:USW00093720,58
",,W,",WSF5,2017-01-04T00:00:00,GHCND:USW00093720,94
",,W,",WT01,2017-01-04T00:00:00,GHCND:USW00093720,1
",,N,",PRCP,2017-01-05T00:00:00,GHCND:US1DESS0003,0
",,N,",SNOW,2017-01-05T00:00:00,GHCND:US1DESS0003,0
",,N,",PRCP,2017-01-05T00:00:00,GHCND:US1MDSS0001,0
",,N,",PRCP,2017-01-05T00:00:00,GHCND:US1MDWC0002,0
",,N,",SNOW,2017-01-05T00:00:00,GHCND:US1MDWC0002,0
",,N,",PRCP,2017-01-05T00:00:00,GHCND:US1MDWC0009,0
",,N,",SNOW,2017-01-05T00:00:00,GHCND:US1MDWC0009,0
",,7,1700",PRCP,2017-01-05T00:00:00,GHCND:USC00187330,0
",,7,1700",TMAX,2017-01-05T00:00:00,GHCND:USC00187330,128
",,7,1700",TMIN,2017-01-05T00:00:00,GHCND:USC00187330,-39
",,7,1700",TOBS,2017-01-05T00:00:00,GHCND:USC00187330,33
",,7,1700",PRCP,2017-01-05T00:00:00,GHCND:USC00188004,0
",,7,1700",TMAX,2017-01-05T00:00:00,GHCND:USC00188004,111
",,7,1700",TMIN,2017-01-05T00:00:00,GHCND:USC00188004,-28
",,7,1700",TOBS,2017-01-05T00:00:00,GHCND:USC00188004,28
"T,,7,1700",PRCP,2017-01-05T00:00:00,GHCND:USC00188380,0
",,7,1700",TMAX,2017-01-05T00:00:00,GHCND:USC00188380,111
",,7,1700",TMIN,2017-01-05T00:00:00,GHCND:USC00188380,-56
",,7,1700",TOBS,2017-01-05T00:00:00,GHCND:USC00188380,33
",,W,",AWND,2017-01-05T00:00:00,GHCND:USW00093720,14
",,W,2400",PRCP,2017-01-05T00:00:00,GHCND:USW00093720,0
"H,,S,",TAVG,2017-01-05T00:00:00,GHCND:USW00093720,17
",,W,2400",TMAX,2017-01-05T00:00:00,GHCND:USW00093720,28
",,W,2400",TMIN,2017-01-05T00:00:00,GHCND:USW00093720,-38
",,W,",WDF2,2017-01-05T00:00:00,GHCND:USW00093720,330
",,W,",WDF5,2017-01-05T00:00:00,GHCND:USW00093720,320
",,W,",WSF2,2017-01-05T00:00:00,GHCND:USW00093720,58
",,W,",WSF5,2017-01-05T00:00:00,GHCND:USW00093720,72
