,attributes,datatype,date,station,value
0,",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1CASB0005,0
1,",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1CASB0005,0
2,"T,,N,",PRCP,2017-01-01T00:00:00,GHCND:US1CASB0014,0
3,",,7,1600",EVAP,2017-01-01T00:00:00,GHCND:USC00049111,33
4,",,7,",MNPN,2017-01-01T00:00:00,GHCND:USC00049111,39
5,",,7,",MXPN,2017-01-01T00:00:00,GHCND:USC00049111,128
6,",,7,1600",PRCP,2017-01-01T00:00:00,GHCND:USC00049111,3
7,",,7,1600",TMAX,2017-01-01T00:00:00,GHCND:USC00049111,117
8,",,7,1600",TMIN,2017-01-01T00:00:00,GHCND:USC00049111,17
9,",,7,1600",TOBS,2017-01-01T00:00:00,GHCND:USC00049111,100
10,",,7,",WDMV,2017-01-01T00:00:00,GHCND:USC00049111,142
11,",,U,",TAVG,2017-01-01T00:00:00,GHCND:USR0000CVND,73
12,"H,,U,",TMAX,2017-01-01T00:00:00,GHCND:USR0000CVND,111
13,"H,,U,",TMIN,2017-01-01T00:00:00,GHCND:USR0000CVND,39
14,",,W,",AWND,2017-01-01T00:00:00,GHCND:USW00023273,29
15,"T,,W,2400",PRCP,2017-01-01T00:00:00,GHCND:USW00023273,0
16,"H,,S,",TAVG,2017-01-01T00:00:00,GHCND:USW00023273,63
17,",,W,2400",TMAX,2017-01-01T00:00:00,GHCND:USW00023273,117
18,",,W,2400",TMIN,2017-01-01T00:00:00,GHCND:USW00023273,6
19,",,W,",WDF2,2017-01-01T00:00:00,GHCND:USW00023273,300
20,",,W,",WDF5,2017-01-01T00:00:00,GHCND:USW00023273,300
21,",,W,",WSF2,2017-01-01T00:00:00,GHCND:USW00023273,81
22,",,W,",WSF5,2017-01-01T00:00:00,GHCND:USW00023273,116
23,"T,,N,",PRCP,2017-01-02T00:00:00,GHCND:US1CASB0014,0
24,",,7,1600",EVAP,2017-01-02T00:00:00,GHCND:USC00049111,8
25,",,7,",MNPN,2017-01-02T00:00:00,GHCND:USC00049111,67
26,",,7,",MXPN,2017-01-02T00:00:00,GHCND:USC00049111,111
27,",,7,1600",PRCP,2017-01-02T00:00:00,GHCND:USC00049111,0
28,",,7,1600",TMAX,2017-01-02T00:00:00,GHCND:USC00049111,117
29,",,7,1600",TMIN,2017-01-02T00:00:00,GHCND:USC00049111,44
30,",,7,1600",TOBS,2017-01-02T00:00:00,GHCND:USC00049111,100
31,",,7,",WDMV,2017-01-02T00:00:00,GHCND:USC00049111,45
32,",,U,",TAVG,2017-01-02T00:00:00,GHCND:USR0000CVND,82
33,"H,,U,",TMAX,2017-01-02T00:00:00,GHCND:USR0000CVND,111
34,"H,,U,",TMIN,2017-01-02T00:00:00,GHCND:USR0000CVND,61
35,",,W,",AWND,2017-01-02T00:00:00,GHCND:USW00023273,17
36,",,W,2400",PRCP,2017-01-02T00:00:00,GHCND:USW00023273,0
37,"H,,S,",TAVG,2017-01-02T00:00:00,GHCND:USW00023273,89
38,",,W,2400",TMAX,2017-01-02T00:00:00,GHCND:USW00023273,122
39,",,W,2400",TMIN,2017-01-02T00:00:00,GHCND:USW00023273,56
40,",,W,",WDF2,2017-01-02T00:00:00,GHCND:USW00023273,190
41,",,W,",WDF5,2017-01-02T00:00:00,GHCND:USW00023273,210
42,",,W,",WSF2,2017-01-02T00:00:00,GHCND:USW00023273,40
43,",,W,",WSF5,2017-01-02T00:00:00,GHCND:USW00023273,72
44,",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1CASB0014,0
45,",,N,",SNOW,2017-01-03T00:00:00,GHCND:US1CASB0014,0
