attributes,datatype,date,station,value
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1GABR0002,5
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1GACT0001,15
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1GACT0003,5
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1GACT0006,8
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1GACT0009,13
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1GACT0009,0
",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1GACT0009,0
",,N,",WESD,2017-01-01T00:00:00,GHCND:US1GACT0009,0
",,N,",WESF,2017-01-01T00:00:00,GHCND:US1GACT0009,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1GACT0015,5
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1GACT0017,8
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1GACT0019,8
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1GACT0019,0
"T,,N,",PRCP,2017-01-01T00:00:00,GHCND:US1GACT0025,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1GACT0037,5
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1GACT0038,8
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1GACT0039,13
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1GACT0040,76
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1GACT0050,5
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1GACT0055,8
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1GACT0060,5
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1GACT0061,18
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1GACT0064,8
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1GACT0065,8
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1GACT0067,18
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1SCBF0023,15
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1SCBF0050,15
",,U,",TAVG,2017-01-01T00:00:00,GHCND:USR0000SSAV,154
"H,,U,",TMAX,2017-01-01T00:00:00,GHCND:USR0000SSAV,211
"H,,U,",TMIN,2017-01-01T00:00:00,GHCND:USR0000SSAV,94
",,W,",AWND,2017-01-01T00:00:00,GHCND:USW00003822,26
",,W,2400",PRCP,2017-01-01T00:00:00,GHCND:USW00003822,8
",,W,",SNOW,2017-01-01T00:00:00,GHCND:USW00003822,0
",,W,2400",SNWD,2017-01-01T00:00:00,GHCND:USW00003822,0
"H,,S,",TAVG,2017-01-01T00:00:00,GHCND:USW00003822,138
",,W,2400",TMAX,2017-01-01T00:00:00,GHCND:USW00003822,222
",,W,2400",TMIN,2017-01-01T00:00:00,GHCND:USW00003822,100
",,W,",WDF2,2017-01-01T00:00:00,GHCND:USW00003822,170
",,W,",WDF5,2017-01-01T00:00:00,GHCND:USW00003822,170
",,W,",WSF2,2017-01-01T00:00:00,GHCND:USW00003822,63
",,W,",WSF5,2017-01-01T00:00:00,GHCND:USW00003822,76
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1GABR0002,0
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1GABR0002,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1GACT0001,5
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1GACT0003,0
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1GACT0003,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1GACT0006,3
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1GACT0009,3
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1GACT0009,0
",,N,",SNWD,2017-01-02T00:00:00,GHCND:US1GACT0009,0
",,N,",WESD,2017-01-02T00:00:00,GHCND:US1GACT0009,0
",,N,",WESF,2017-01-02T00:00:00,GHCND:US1GACT0009,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1GACT0017,0
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1GACT0017,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1GACT0018,0
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1GACT0018,0
"T,,N,",PRCP,2017-01-02T00:00:00,GHCND:US1GACT0019,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1GACT0025,0
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1GACT0025,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1GACT0037,0
"T,,N,",PRCP,2017-01-02T00:00:00,GHCND:US1GACT0038,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1GACT0039,5
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1GACT0040,0
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1GACT0040,0
"T,,N,",PRCP,2017-01-02T00:00:00,GHCND:US1GACT0050,0
"T,,N,",PRCP,2017-01-02T00:00:00,GHCND:US1GACT0055,0
"T,,N,",PRCP,2017-01-02T00:00:00,GHCND:US1GACT0057,0
"T,,N,",PRCP,2017-01-02T00:00:00,GHCND:US1GACT0060,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1GACT0061,5
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1GACT0064,5
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1GACT0065,0
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1GACT0065,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1GACT0067,8
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1SCBF0023,3
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1SCBF0050,3
",,U,",TAVG,2017-01-02T00:00:00,GHCND:USR0000SSAV,214
"H,,U,",TMAX,2017-01-02T00:00:00,GHCND:USR0000SSAV,261
"H,,U,",TMIN,2017-01-02T00:00:00,GHCND:USR0000SSAV,183
",,W,",AWND,2017-01-02T00:00:00,GHCND:USW00003822,37
",,W,2400",PRCP,2017-01-02T00:00:00,GHCND:USW00003822,0
",,W,",SNOW,2017-01-02T00:00:00,GHCND:USW00003822,0
",,W,2400",SNWD,2017-01-02T00:00:00,GHCND:USW00003822,0
"H,,S,",TAVG,2017-01-02T00:00:00,GHCND:USW00003822,212
",,W,2400",TMAX,2017-01-02T00:00:00,GHCND:USW00003822,261
",,W,2400",TMIN,2017-01-02T00:00:00,GHCND:USW00003822,189
",,W,",WDF2,2017-01-02T00:00:00,GHCND:USW00003822,170
",,W,",WDF5,2017-01-02T00:00:00,GHCND:USW00003822,180
",,W,",WSF2,2017-01-02T00:00:00,GHCND:USW00003822,72
",,W,",WSF5,2017-01-02T00:00:00,GHCND:USW00003822,94
",,W,",WT01,2017-01-02T00:00:00,GHCND:USW00003822,1
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1GABR0002,104
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1GACT0001,76
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1GACT0003,132
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1GACT0006,165
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1GACT0009,81
",,N,",SNOW,2017-01-03T00:00:00,GHCND:US1GACT0009,0
",,N,",SNWD,2017-01-03T00:00:00,GHCND:US1GACT0009,0
",,N,",WESD,2017-01-03T00:00:00,GHCND:US1GACT0009,0
",,N,",WESF,2017-01-03T00:00:00,GHCND:US1GACT0009,0
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1GACT0015,51
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1GACT0016,124
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1GACT0017,69
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1GACT0018,173
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1GACT0019,102
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1GACT0025,160
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1GACT0028,71
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1GACT0037,107
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1GACT0038,99
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1GACT0039,84
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1GACT0040,99
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1GACT0050,155
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1GACT0055,135
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1GACT0057,107
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1GACT0060,201
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1GACT0061,132
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1GACT0064,107
