attributes,datatype,date,station,value
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1MNSR0009,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1MNSR0009,0
",,N,",WESF,2017-01-01T00:00:00,GHCND:US1MNSR0009,0
",,7,1830",PRCP,2017-01-01T00:00:00,GHCND:USC00211691,0
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00211691,0
",,7,1830",SNWD,2017-01-01T00:00:00,GHCND:USC00211691,102
",,7,1830",TMAX,2017-01-01T00:00:00,GHCND:USC00211691,-33
",,7,1830",TMIN,2017-01-01T00:00:00,GHCND:USC00211691,-67
",,7,1830",TOBS,2017-01-01T00:00:00,GHCND:USC00211691,-56
",,7,0600",PRCP,2017-01-01T00:00:00,GHCND:USC00214373,0
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00214373,0
",,7,",SNWD,2017-01-01T00:00:00,GHCND:USC00214373,51
",,7,0600",TMAX,2017-01-01T00:00:00,GHCND:USC00214373,-39
",,7,0600",TMIN,2017-01-01T00:00:00,GHCND:USC00214373,-106
",,7,0600",TOBS,2017-01-01T00:00:00,GHCND:USC00214373,-56
",,7,0700",PRCP,2017-01-01T00:00:00,GHCND:USC00216920,0
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00216920,0
",,7,",SNWD,2017-01-01T00:00:00,GHCND:USC00216920,51
",,7,0700",TMAX,2017-01-01T00:00:00,GHCND:USC00216920,-33
",,7,0700",TMIN,2017-01-01T00:00:00,GHCND:USC00216920,-106
",,7,0700",TOBS,2017-01-01T00:00:00,GHCND:USC00216920,-39
",,W,",AWND,2017-01-01T00:00:00,GHCND:USW00014926,35
",,W,2400",PRCP,2017-01-01T00:00:00,GHCND:USW00014926,3
",,W,",SNOW,2017-01-01T00:00:00,GHCND:USW00014926,5
",,W,",SNWD,2017-01-01T00:00:00,GHCND:USW00014926,50
"H,,S,",TAVG,2017-01-01T00:00:00,GHCND:USW00014926,-42
",,W,2400",TMAX,2017-01-01T00:00:00,GHCND:USW00014926,-27
",,W,2400",TMIN,2017-01-01T00:00:00,GHCND:USW00014926,-55
",,W,",WDF2,2017-01-01T00:00:00,GHCND:USW00014926,360
",,W,",WDF5,2017-01-01T00:00:00,GHCND:USW00014926,220
",,W,",WSF2,2017-01-01T00:00:00,GHCND:USW00014926,63
",,W,",WSF5,2017-01-01T00:00:00,GHCND:USW00014926,81
",,W,",WT01,2017-01-01T00:00:00,GHCND:USW00014926,1
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1MNSR0004,0
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1MNSR0004,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1MNSR0009,10
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1MNSR0009,13
",,N,",WESF,2017-01-02T00:00:00,GHCND:US1MNSR0009,10
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1MNSR0020,13
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1MNSR0020,23
",,7,1830",PRCP,2017-01-02T00:00:00,GHCND:USC00211691,23
",,7,",SNOW,2017-01-02T00:00:00,GHCND:USC00211691,25
",,7,1830",SNWD,2017-01-02T00:00:00,GHCND:USC00211691,127
",,7,1830",TMAX,2017-01-02T00:00:00,GHCND:USC00211691,-22
