attributes,datatype,date,station,value
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1ILMD0010,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1ILMD0010,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1ILSC0009,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1ILSC0009,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1ILSC0018,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1ILSC0018,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1MOFSA189,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1MOFSA189,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1MOJF0018,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1MOSL0004,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1MOSL0004,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1MOSL0018,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1MOSL0018,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1MOSL0024,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1MOSL0024,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1MOSL0045,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1MOSL0050,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1MOSL0050,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1MOSL0054,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1MOSL0056,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1MOSL0056,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1MOSL0067,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1MOSL0070,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1MOSLC007,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1MOSLC007,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1MOSS0027,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1MOSS0027,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1MOSS0034,0
",,7,0700",PRCP,2017-01-01T00:00:00,GHCND:USC00237397,0
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00237397,0
",,7,",SNWD,2017-01-01T00:00:00,GHCND:USC00237397,0
",,7,0700",TMAX,2017-01-01T00:00:00,GHCND:USC00237397,122
",,7,0700",TMIN,2017-01-01T00:00:00,GHCND:USC00237397,-56
",,7,0700",TOBS,2017-01-01T00:00:00,GHCND:USC00237397,-56
",,7,0800",PRCP,2017-01-01T00:00:00,GHCND:USC00237398,0
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00237398,0
",,7,",SNWD,2017-01-01T00:00:00,GHCND:USC00237398,0
",,7,0800",TMAX,2017-01-01T00:00:00,GHCND:USC00237398,122
",,7,0800",TMIN,2017-01-01T00:00:00,GHCND:USC00237398,-61
",,7,0800",TOBS,2017-01-01T00:00:00,GHCND:USC00237398,-50
",,7,0900",PRCP,2017-01-01T00:00:00,GHCND:USC00237452,0
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00237452,0
",,7,",SNWD,2017-01-01T00:00:00,GHCND:USC00237452,0
",,7,0900",TMAX,2017-01-01T00:00:00,GHCND:USC00237452,139
",,7,0900",TMIN,2017-01-01T00:00:00,GHCND:USC00237452,-33
",,7,0900",TOBS,2017-01-01T00:00:00,GHCND:USC00237452,17
",,W,",AWND,2017-01-01T00:00:00,GHCND:USW00003960,11
",,W,",PRCP,2017-01-01T00:00:00,GHCND:USW00003960,0
",,W,",SNOW,2017-01-01T00:00:00,GHCND:USW00003960,0
",,W,",SNWD,2017-01-01T00:00:00,GHCND:USW00003960,0
",,W,",TMAX,2017-01-01T00:00:00,GHCND:USW00003960,44
",,W,",TMIN,2017-01-01T00:00:00,GHCND:USW00003960,-55
",,W,",WDF2,2017-01-01T00:00:00,GHCND:USW00003960,150
",,W,",WDF5,2017-01-01T00:00:00,GHCND:USW00003960,150
",,W,",WSF2,2017-01-01T00:00:00,GHCND:USW00003960,63
",,W,",WSF5,2017-01-01T00:00:00,GHCND:USW00003960,76
",,W,",WT01,2017-01-01T00:00:00,GHCND:USW00003960,1
",,W,",WT08,2017-01-01T00:00:00,GHCND:USW00003960,1
",,W,",AWND,2017-01-01T00:00:00,GHCND:USW00013994,27
"T,,W,2400",PRCP,2017-01-01T00:00:00,GHCND:USW00013994,0
",,W,",SNOW,2017-01-01T00:00:00,GHCND:USW00013994,0
",,W,",SNWD,2017-01-01T00:00:00,GHCND:USW00013994,0
"H,,S,",TAVG,2017-01-01T00:00:00,GHCND:USW00013994,12
",,W,2400",TMAX,2017-01-01T00:00:00,GHCND:USW00013994,67
",,W,2400",TMIN,2017-01-01T00:00:00,GHCND:USW00013994,-43
",,W,",WDF2,2017-01-01T00:00:00,GHCND:USW00013994,120
",,W,",WDF5,2017-01-01T00:00:00,GHCND:USW00013994,130
",,W,",WSF2,2017-01-01T00:00:00,GHCND:USW00013994,72
",,W,",WSF5,2017-01-01T00:00:00,GHCND:USW00013994,81
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1ILMD0010,5
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1ILSC0009,3
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1ILSC0018,10
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1MOFSA189,0
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1MOFSA189,0
"T,,N,",PRCP,2017-01-02T00:00:00,GHCND:US1MOJF0018,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1MOSL0004,5
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1MOSL0018,10
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1MOSL0024,23
"T,,N,",PRCP,2017-01-02T00:00:00,GHCND:US1MOSL0027,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1MOSL0045,10
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1MOSL0049,3
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1MOSL0050,10
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1MOSL0054,10
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1MOSL0055,8
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1MOSL0056,0
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1MOSL0056,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1MOSL0067,0
"T,,N,",PRCP,2017-01-02T00:00:00,GHCND:US1MOSLC007,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1MOSS0034,10
",,7,0700",PRCP,2017-01-02T00:00:00,GHCND:USC00237397,10
",,7,",SNOW,2017-01-02T00:00:00,GHCND:USC00237397,0
",,7,",SNWD,2017-01-02T00:00:00,GHCND:USC00237397,0
",,7,0700",TMAX,2017-01-02T00:00:00,GHCND:USC00237397,72
",,7,0700",TMIN,2017-01-02T00:00:00,GHCND:USC00237397,-56
",,7,0700",TOBS,2017-01-02T00:00:00,GHCND:USC00237397,50
",,7,0800",PRCP,2017-01-02T00:00:00,GHCND:USC00237398,25
",,7,",SNOW,2017-01-02T00:00:00,GHCND:USC00237398,0
",,7,",SNWD,2017-01-02T00:00:00,GHCND:USC00237398,0
",,7,0800",TMAX,2017-01-02T00:00:00,GHCND:USC00237398,61
",,7,0800",TMIN,2017-01-02T00:00:00,GHCND:USC00237398,-50
