attributes,datatype,date,station,value
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1IDTF0004,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1IDTF0004,0
",,7,0700",PRCP,2017-01-01T00:00:00,GHCND:USC00104670,0
",,7,0700",TMAX,2017-01-01T00:00:00,GHCND:USC00104670,-61
",,7,0700",TMIN,2017-01-01T00:00:00,GHCND:USC00104670,-111
",,7,0700",TOBS,2017-01-01T00:00:00,GHCND:USC00104670,-111
",,W,",AWND,2017-01-01T00:00:00,GHCND:USW00004110,51
",,W,",PRCP,2017-01-01T00:00:00,GHCND:USW00004110,0
",,W,",TMAX,2017-01-01T00:00:00,GHCND:USW00004110,-66
",,W,",TMIN,2017-01-01T00:00:00,GHCND:USW00004110,-121
",,W,",WDF2,2017-01-01T00:00:00,GHCND:USW00004110,40
",,W,",WDF5,2017-01-01T00:00:00,GHCND:USW00004110,30
",,W,",WSF2,2017-01-01T00:00:00,GHCND:USW00004110,107
",,W,",WSF5,2017-01-01T00:00:00,GHCND:USW00004110,125
"T,,N,",PRCP,2017-01-02T00:00:00,GHCND:US1IDTF0001,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1IDTF0004,0
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1IDTF0004,0
",,7,0700",PRCP,2017-01-02T00:00:00,GHCND:USC00104670,0
",,7,0700",TMAX,2017-01-02T00:00:00,GHCND:USC00104670,-56
",,7,0700",TMIN,2017-01-02T00:00:00,GHCND:USC00104670,-111
",,7,0700",TOBS,2017-01-02T00:00:00,GHCND:USC00104670,-111
",,W,",AWND,2017-01-02T00:00:00,GHCND:USW00004110,56
",,W,",PRCP,2017-01-02T00:00:00,GHCND:USW00004110,5
",,W,",TMAX,2017-01-02T00:00:00,GHCND:USW00004110,-43
",,W,",TMIN,2017-01-02T00:00:00,GHCND:USW00004110,-110
",,W,",WDF2,2017-01-02T00:00:00,GHCND:USW00004110,40
",,W,",WDF5,2017-01-02T00:00:00,GHCND:USW00004110,40
",,W,",WSF2,2017-01-02T00:00:00,GHCND:USW00004110,94
",,W,",WSF5,2017-01-02T00:00:00,GHCND:USW00004110,107
",,W,",WT01,2017-01-02T00:00:00,GHCND:USW00004110,1
",,W,",WT02,2017-01-02T00:00:00,GHCND:USW00004110,1
",,W,",WT08,2017-01-02T00:00:00,GHCND:USW00004110,1
",,W,",AWND,2017-01-02T00:00:00,GHCND:USW00094178,24
"T,,W,",PRCP,2017-01-02T00:00:00,GHCND:USW00094178,0
",,W,",TMAX,2017-01-02T00:00:00,GHCND:USW00094178,-32
",,W,",TMIN,2017-01-02T00:00:00,GHCND:USW00094178,-99
",,W,",WDF2,2017-01-02T00:00:00,GHCND:USW00094178,100
",,W,",WDF5,2017-01-02T00:00:00,GHCND:USW00094178,100
",,W,",WSF2,2017-01-02T00:00:00,GHCND:USW00094178,45
",,W,",WSF5,2017-01-02T00:00:00,GHCND:USW00094178,58
",,W,",WT01,2017-01-02T00:00:00,GHCND:USW00094178,1
",,W,",WT08,2017-01-02T00:00:00,GHCND:USW00094178,1
"T,,N,",PRCP,2017-01-03T00:00:00,GHCND:US1IDTF0001,0
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1IDTF0004,0
",,N,",SNOW,2017-01-03T00:00:00,GHCND:US1IDTF0004,0
",,7,0700",PRCP,2017-01-03T00:00:00,GHCND:USC00104670,53
",,7,0700",TMAX,2017-01-03T00:00:00,GHCND:USC00104670,-44
",,7,0700",TMIN,2017-01-03T00:00:00,GHCND:USC00104670,-111
",,7,0700",TOBS,2017-01-03T00:00:00,GHCND:USC00104670,-94
",,W,",AWND,2017-01-03T00:00:00,GHCND:USW00004110,76
",,W,",PRCP,2017-01-03T00:00:00,GHCND:USW00004110,3
",,W,",TMAX,2017-01-03T00:00:00,GHCND:USW00004110,-60
",,W,",TMIN,2017-01-03T00:00:00,GHCND:USW00004110,-116
",,W,",WDF2,2017-01-03T00:00:00,GHCND:USW00004110,50
",,W,",WDF5,2017-01-03T00:00:00,GHCND:USW00004110,40
",,W,",WSF2,2017-01-03T00:00:00,GHCND:USW00004110,116
",,W,",WSF5,2017-01-03T00:00:00,GHCND:USW00004110,134
",,W,",WT01,2017-01-03T00:00:00,GHCND:USW00004110,1
",,W,",AWND,2017-01-03T00:00:00,GHCND:USW00094178,37
",,W,",PRCP,2017-01-03T00:00:00,GHCND:USW00094178,15
",,W,",TMAX,2017-01-03T00:00:00,GHCND:USW00094178,-49
",,W,",TMIN,2017-01-03T00:00:00,GHCND:USW00094178,-99
",,W,",WDF2,2017-01-03T00:00:00,GHCND:USW00094178,70
",,W,",WDF5,2017-01-03T00:00:00,GHCND:USW00094178,70
",,W,",WSF2,2017-01-03T00:00:00,GHCND:USW00094178,72
",,W,",WSF5,2017-01-03T00:00:00,GHCND:USW00094178,85
",,W,",WT01,2017-01-03T00:00:00,GHCND:USW00094178,1
",,N,",SNOW,2017-01-04T00:00:00,GHCND:US1IDTF0001,208
",,N,",SNWD,2017-01-04T00:00:00,GHCND:US1IDTF0001,254
",,N,",WESD,2017-01-04T00:00:00,GHCND:US1IDTF0001,213
",,N,",WESF,2017-01-04T00:00:00,GHCND:US1IDTF0001,213
