attributes,datatype,date,station,value
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1WAWW0009,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1WAWW0009,0
",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1WAWW0009,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1WAWW0014,0
",,7,0900",PRCP,2017-01-01T00:00:00,GHCND:USC00355593,0
",,7,0900",TMAX,2017-01-01T00:00:00,GHCND:USC00355593,78
",,7,0900",TMIN,2017-01-01T00:00:00,GHCND:USC00355593,-39
",,7,1700",PRCP,2017-01-01T00:00:00,GHCND:USC00454679,8
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00454679,13
",,7,1700",SNWD,2017-01-01T00:00:00,GHCND:USC00454679,76
",,7,1700",TMAX,2017-01-01T00:00:00,GHCND:USC00454679,0
",,7,1700",TMIN,2017-01-01T00:00:00,GHCND:USC00454679,-89
",,7,1700",TOBS,2017-01-01T00:00:00,GHCND:USC00454679,-22
",,W,",AWND,2017-01-01T00:00:00,GHCND:USW00024160,32
",,W,",PRCP,2017-01-01T00:00:00,GHCND:USW00024160,13
",,W,",SNOW,2017-01-01T00:00:00,GHCND:USW00024160,25
",,W,",SNWD,2017-01-01T00:00:00,GHCND:USW00024160,30
",,W,",TMAX,2017-01-01T00:00:00,GHCND:USW00024160,33
",,W,",TMIN,2017-01-01T00:00:00,GHCND:USW00024160,-49
",,W,",WDF2,2017-01-01T00:00:00,GHCND:USW00024160,230
",,W,",WDF5,2017-01-01T00:00:00,GHCND:USW00024160,220
",,W,",WSF2,2017-01-01T00:00:00,GHCND:USW00024160,116
",,W,",WSF5,2017-01-01T00:00:00,GHCND:USW00024160,148
",,W,",WT01,2017-01-01T00:00:00,GHCND:USW00024160,1
",,W,",WT02,2017-01-01T00:00:00,GHCND:USW00024160,1
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1WAWW0009,15
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1WAWW0009,23
",,N,",SNWD,2017-01-02T00:00:00,GHCND:US1WAWW0009,23
",,N,",WESD,2017-01-02T00:00:00,GHCND:US1WAWW0009,15
",,N,",WESF,2017-01-02T00:00:00,GHCND:US1WAWW0009,15
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1WAWW0014,41
",,7,0900",PRCP,2017-01-02T00:00:00,GHCND:USC00355593,0
",,7,0900",TMAX,2017-01-02T00:00:00,GHCND:USC00355593,-28
",,7,0900",TMIN,2017-01-02T00:00:00,GHCND:USC00355593,-61
",,7,1700",PRCP,2017-01-02T00:00:00,GHCND:USC00454679,0
",,7,",SNOW,2017-01-02T00:00:00,GHCND:USC00454679,0
",,7,1700",SNWD,2017-01-02T00:00:00,GHCND:USC00454679,76
