attributes,datatype,date,station,value
"T,,N,",PRCP,2017-01-01T00:00:00,GHCND:US1NCBR0002,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1NCBR0002,0
",,N,",SNWD,2017-01-01T00:00:00,GHCND:US1NCBR0002,0
",,N,",WESD,2017-01-01T00:00:00,GHCND:US1NCBR0002,0
",,N,",WESF,2017-01-01T00:00:00,GHCND:US1NCBR0002,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1NCBR0034,5
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1NCBR0076,5
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1NCBR0076,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1NCBR0078,3
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1NCNH0007,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1NCNH0007,0
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1NCNH0010,5
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1NCNH0016,5
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1NCNH0046,5
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1NCNH0058,5
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1NCNH0062,5
",,N,",PRCP,2017-01-01T00:00:00,GHCND:US1NCPD0017,0
",,N,",SNOW,2017-01-01T00:00:00,GHCND:US1NCPD0017,0
",,7,0700",PRCP,2017-01-01T00:00:00,GHCND:USC00319461,0
",,7,",SNOW,2017-01-01T00:00:00,GHCND:USC00319461,0
",,7,",SNWD,2017-01-01T00:00:00,GHCND:USC00319461,0
",,7,0700",TMAX,2017-01-01T00:00:00,GHCND:USC00319461,156
",,7,0700",TMIN,2017-01-01T00:00:00,GHCND:USC00319461,-22
",,7,0700",TOBS,2017-01-01T00:00:00,GHCND:USC00319461,94
",,7,0800",PRCP,2017-01-01T00:00:00,GHCND:USC00319467,0
",,7,0800",TMAX,2017-01-01T00:00:00,GHCND:USC00319467,150
",,7,0800",TMIN,2017-01-01T00:00:00,GHCND:USC00319467,-28
",,U,",TAVG,2017-01-01T00:00:00,GHCND:USR0000NSUN,127
"H,,U,",TMAX,2017-01-01T00:00:00,GHCND:USR0000NSUN,161
"H,,U,",TMIN,2017-01-01T00:00:00,GHCND:USR0000NSUN,89
",,W,",AWND,2017-01-01T00:00:00,GHCND:USW00013748,23
",,W,2400",PRCP,2017-01-01T00:00:00,GHCND:USW00013748,3
",,W,",SNOW,2017-01-01T00:00:00,GHCND:USW00013748,0
",,W,2400",SNWD,2017-01-01T00:00:00,GHCND:USW00013748,0
",,W,2400",TMAX,2017-01-01T00:00:00,GHCND:USW00013748,161
",,W,2400",TMIN,2017-01-01T00:00:00,GHCND:USW00013748,83
",,W,",WDF2,2017-01-01T00:00:00,GHCND:USW00013748,90
",,W,",WDF5,2017-01-01T00:00:00,GHCND:USW00013748,90
",,W,",WSF2,2017-01-01T00:00:00,GHCND:USW00013748,63
",,W,",WSF5,2017-01-01T00:00:00,GHCND:USW00013748,81
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1NCBR0002,104
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1NCBR0002,0
",,N,",SNWD,2017-01-02T00:00:00,GHCND:US1NCBR0002,0
",,N,",WESD,2017-01-02T00:00:00,GHCND:US1NCBR0002,0
",,N,",WESF,2017-01-02T00:00:00,GHCND:US1NCBR0002,0
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1NCBR0012,246
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1NCBR0034,109
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1NCBR0076,79
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1NCNH0007,23
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1NCNH0010,36
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1NCNH0016,28
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1NCNH0031,38
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1NCNH0035,30
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1NCNH0046,25
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1NCNH0058,30
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1NCNH0062,33
",,N,",PRCP,2017-01-02T00:00:00,GHCND:US1NCPD0017,56
",,N,",SNOW,2017-01-02T00:00:00,GHCND:US1NCPD0017,0
",,7,0700",PRCP,2017-01-02T00:00:00,GHCND:USC00319461,25
",,7,",SNOW,2017-01-02T00:00:00,GHCND:USC00319461,0
",,7,",SNWD,2017-01-02T00:00:00,GHCND:USC00319461,0
",,7,0700",TMAX,2017-01-02T00:00:00,GHCND:USC00319461,194
",,7,0700",TMIN,2017-01-02T00:00:00,GHCND:USC00319461,89
",,7,0700",TOBS,2017-01-02T00:00:00,GHCND:USC00319461,189
",,7,",WT01,2017-01-02T00:00:00,GHCND:USC00319461,1
",,7,0800",PRCP,2017-01-02T00:00:00,GHCND:USC00319467,0
",,7,0800",TMAX,2017-01-02T00:00:00,GHCND:USC00319467,167
",,7,0800",TMIN,2017-01-02T00:00:00,GHCND:USC00319467,78
",,U,",TAVG,2017-01-02T00:00:00,GHCND:USR0000NSUN,183
"H,,U,",TMAX,2017-01-02T00:00:00,GHCND:USR0000NSUN,211
"H,,U,",TMIN,2017-01-02T00:00:00,GHCND:USR0000NSUN,144
",,W,",AWND,2017-01-02T00:00:00,GHCND:USW00013748,11
",,W,2400",PRCP,2017-01-02T00:00:00,GHCND:USW00013748,284
",,W,",SNOW,2017-01-02T00:00:00,GHCND:USW00013748,0
",,W,2400",SNWD,2017-01-02T00:00:00,GHCND:USW00013748,0
",,W,2400",TMAX,2017-01-02T00:00:00,GHCND:USW00013748,194
",,W,2400",TMIN,2017-01-02T00:00:00,GHCND:USW00013748,139
",,W,",WDF2,2017-01-02T00:00:00,GHCND:USW00013748,280
",,W,",WDF5,2017-01-02T00:00:00,GHCND:USW00013748,100
",,W,",WSF2,2017-01-02T00:00:00,GHCND:USW00013748,58
",,W,",WSF5,2017-01-02T00:00:00,GHCND:USW00013748,72
",,W,",WT01,2017-01-02T00:00:00,GHCND:USW00013748,1
",,W,",WT02,2017-01-02T00:00:00,GHCND:USW00013748,1
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1NCBR0002,150
",,N,",SNOW,2017-01-03T00:00:00,GHCND:US1NCBR0002,0
",,N,",SNWD,2017-01-03T00:00:00,GHCND:US1NCBR0002,0
",,N,",WESD,2017-01-03T00:00:00,GHCND:US1NCBR0002,0
",,N,",WESF,2017-01-03T00:00:00,GHCND:US1NCBR0002,0
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1NCBR0012,30
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1NCBR0034,226
",,N,",PRCP,2017-01-03T00:00:00,GHCND:US1NCBR0076,221
