attributes,datatype,date,station,value
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1SDBR0011,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1SDBR0011,0
",,7,2400",PRCP,2018-01-01T00:00:00,GHCND:USC00390022,0
",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00390022,0
",,7,2400",SNWD,2018-01-01T00:00:00,GHCND:USC00390022,51
",,7,2400",TMAX,2018-01-01T00:00:00,GHCND:USC00390022,-239
",,7,2400",TMIN,2018-01-01T00:00:00,GHCND:USC00390022,-356
",,7,2400",TOBS,2018-01-01T00:00:00,GHCND:USC00390022,-322
",,7,0800",PRCP,2018-01-01T00:00:00,GHCND:USC00390553,0
",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00390553,0
",,7,0700",PRCP,2018-01-01T00:00:00,GHCND:USC00399138,0
",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00399138,0
",,7,0800",SNWD,2018-01-01T00:00:00,GHCND:USC00399138,51
",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00014929,28
",,W,2400",PRCP,2018-01-01T00:00:00,GHCND:USW00014929,0
",,W,",SNOW,2018-01-01T00:00:00,GHCND:USW00014929,0
",,W,",SNWD,2018-01-01T00:00:00,GHCND:USW00014929,50
"H,,S,",TAVG,2018-01-01T00:00:00,GHCND:USW00014929,-291
",,W,2400",TMAX,2018-01-01T00:00:00,GHCND:USW00014929,-227
",,W,2400",TMIN,2018-01-01T00:00:00,GHCND:USW00014929,-355
",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00014929,200
",,W,",WDF5,2018-01-01T00:00:00,GHCND:USW00014929,200
",,W,",WSF2,2018-01-01T00:00:00,GHCND:USW00014929,40
",,W,",WSF5,2018-01-01T00:00:00,GHCND:USW00014929,49
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1SDBR0011,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1SDBR0011,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1SDBR0038,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1SDBR0038,0
",,N,",SNWD,2018-01-02T00:00:00,GHCND:US1SDBR0038,38
",,N,",WESF,2018-01-02T00:00:00,GHCND:US1SDBR0038,0
"T,,7,2400",PRCP,2018-01-02T00:00:00,GHCND:USC00390022,0
"T,,7,",SNOW,2018-01-02T00:00:00,GHCND:USC00390022,0
",,7,2400",SNWD,2018-01-02T00:00:00,GHCND:USC00390022,51
",,7,2400",TMAX,2018-01-02T00:00:00,GHCND:USC00390022,-56
",,7,2400",TMIN,2018-01-02T00:00:00,GHCND:USC00390022,-322
",,7,2400",TOBS,2018-01-02T00:00:00,GHCND:USC00390022,-150
",,7,0800",PRCP,2018-01-02T00:00:00,GHCND:USC00390553,0
",,7,",SNOW,2018-01-02T00:00:00,GHCND:USC00390553,0
",,7,0700",PRCP,2018-01-02T00:00:00,GHCND:USC00399138,0
",,7,",SNOW,2018-01-02T00:00:00,GHCND:USC00399138,0
",,7,0800",SNWD,2018-01-02T00:00:00,GHCND:USC00399138,51
",,W,",AWND,2018-01-02T00:00:00,GHCND:USW00014929,56
"T,,W,2400",PRCP,2018-01-02T00:00:00,GHCND:USW00014929,0
"T,,W,",SNOW,2018-01-02T00:00:00,GHCND:USW00014929,0
",,W,",SNWD,2018-01-02T00:00:00,GHCND:USW00014929,50
"H,,S,",TAVG,2018-01-02T00:00:00,GHCND:USW00014929,-238
",,W,2400",TMAX,2018-01-02T00:00:00,GHCND:USW00014929,-43
",,W,2400",TMIN,2018-01-02T00:00:00,GHCND:USW00014929,-316
",,W,",WDF2,2018-01-02T00:00:00,GHCND:USW00014929,350
",,W,",WDF5,2018-01-02T00:00:00,GHCND:USW00014929,350
",,W,",WSF2,2018-01-02T00:00:00,GHCND:USW00014929,157
",,W,",WSF5,2018-01-02T00:00:00,GHCND:USW00014929,192
",,W,",WT01,2018-01-02T00:00:00,GHCND:USW00014929,1
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1SDBR0011,0
",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1SDBR0011,0
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1SDBR0038,0
",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1SDBR0038,0
",,N,",SNWD,2018-01-03T00:00:00,GHCND:US1SDBR0038,38
",,N,",WESF,2018-01-03T00:00:00,GHCND:US1SDBR0038,0
",,7,2400",PRCP,2018-01-03T00:00:00,GHCND:USC00390022,0
",,7,",SNOW,2018-01-03T00:00:00,GHCND:USC00390022,0
",,7,2400",SNWD,2018-01-03T00:00:00,GHCND:USC00390022,51
",,7,2400",TMAX,2018-01-03T00:00:00,GHCND:USC00390022,-144
",,7,2400",TMIN,2018-01-03T00:00:00,GHCND:USC00390022,-250
",,7,2400",TOBS,2018-01-03T00:00:00,GHCND:USC00390022,-172
",,7,0800",PRCP,2018-01-03T00:00:00,GHCND:USC00390553,0
",,7,",SNOW,2018-01-03T00:00:00,GHCND:USC00390553,0
",,7,0700",PRCP,2018-01-03T00:00:00,GHCND:USC00399138,0
",,7,",SNOW,2018-01-03T00:00:00,GHCND:USC00399138,0
",,7,0800",SNWD,2018-01-03T00:00:00,GHCND:USC00399138,51
",,W,",AWND,2018-01-03T00:00:00,GHCND:USW00014929,20
",,W,2400",PRCP,2018-01-03T00:00:00,GHCND:USW00014929,0
",,W,",SNOW,2018-01-03T00:00:00,GHCND:USW00014929,0
",,W,",SNWD,2018-01-03T00:00:00,GHCND:USW00014929,50
"H,,S,",TAVG,2018-01-03T00:00:00,GHCND:USW00014929,-158
",,W,2400",TMAX,2018-01-03T00:00:00,GHCND:USW00014929,-138
",,W,2400",TMIN,2018-01-03T00:00:00,GHCND:USW00014929,-255
",,W,",WDF2,2018-01-03T00:00:00,GHCND:USW00014929,330
",,W,",WDF5,2018-01-03T00:00:00,GHCND:USW00014929,330
",,W,",WSF2,2018-01-03T00:00:00,GHCND:USW00014929,67
",,W,",WSF5,2018-01-03T00:00:00,GHCND:USW00014929,85
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1SDBR0011,0
",,N,",SNOW,2018-01-04T00:00:00,GHCND:US1SDBR0011,0
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1SDBR0038,0
