attributes,datatype,date,station,value
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1TXCLN009,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1TXTY0007,3
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1TXTY0013,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1TXTY0013,0
",,7,0800",PRCP,2018-01-01T00:00:00,GHCND:USC00410013,0
",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00410013,0
",,7,2400",SNWD,2018-01-01T00:00:00,GHCND:USC00410013,0
",,7,0800",TMAX,2018-01-01T00:00:00,GHCND:USC00410013,-44
",,7,0800",TMIN,2018-01-01T00:00:00,GHCND:USC00410013,-133
",,7,0800",TOBS,2018-01-01T00:00:00,GHCND:USC00410013,-133
",,U,",TAVG,2018-01-01T00:00:00,GHCND:USR0000THMB,-72
"H,,U,",TMAX,2018-01-01T00:00:00,GHCND:USR0000THMB,-44
"H,,U,",TMIN,2018-01-01T00:00:00,GHCND:USR0000THMB,-94
",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00013962,36
",,W,2400",PRCP,2018-01-01T00:00:00,GHCND:USW00013962,0
",,W,",SNOW,2018-01-01T00:00:00,GHCND:USW00013962,0
",,W,",SNWD,2018-01-01T00:00:00,GHCND:USW00013962,0
"H,,S,",TAVG,2018-01-01T00:00:00,GHCND:USW00013962,-92
",,W,2400",TMAX,2018-01-01T00:00:00,GHCND:USW00013962,-49
",,W,2400",TMIN,2018-01-01T00:00:00,GHCND:USW00013962,-127
",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00013962,10
",,W,",WDF5,2018-01-01T00:00:00,GHCND:USW00013962,10
",,W,",WSF2,2018-01-01T00:00:00,GHCND:USW00013962,67
",,W,",WSF5,2018-01-01T00:00:00,GHCND:USW00013962,94
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1TXCLN009,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1TXJO0009,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1TXTY0007,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1TXTY0007,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1TXTY0013,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1TXTY0013,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1TXTY0024,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1TXTY0024,0
",,7,0800",PRCP,2018-01-02T00:00:00,GHCND:USC00410013,0
",,7,",SNOW,2018-01-02T00:00:00,GHCND:USC00410013,0
",,7,2400",SNWD,2018-01-02T00:00:00,GHCND:USC00410013,0
",,7,0800",TMAX,2018-01-02T00:00:00,GHCND:USC00410013,-44
",,7,0800",TMIN,2018-01-02T00:00:00,GHCND:USC00410013,-133
",,7,0800",TOBS,2018-01-02T00:00:00,GHCND:USC00410013,-78
",,7,",WT01,2018-01-02T00:00:00,GHCND:USC00410013,1
",,U,",TAVG,2018-01-02T00:00:00,GHCND:USR0000THMB,-68
"H,,U,",TMAX,2018-01-02T00:00:00,GHCND:USR0000THMB,-28
"H,,U,",TMIN,2018-01-02T00:00:00,GHCND:USR0000THMB,-94
",,W,",AWND,2018-01-02T00:00:00,GHCND:USW00013962,28
"T,,W,2400",PRCP,2018-01-02T00:00:00,GHCND:USW00013962,0
"T,,W,",SNOW,2018-01-02T00:00:00,GHCND:USW00013962,0
",,W,",SNWD,2018-01-02T00:00:00,GHCND:USW00013962,0
"H,,S,",TAVG,2018-01-02T00:00:00,GHCND:USW00013962,-71
",,W,2400",TMAX,2018-01-02T00:00:00,GHCND:USW00013962,-38
",,W,2400",TMIN,2018-01-02T00:00:00,GHCND:USW00013962,-105
",,W,",WDF2,2018-01-02T00:00:00,GHCND:USW00013962,330
",,W,",WDF5,2018-01-02T00:00:00,GHCND:USW00013962,320
",,W,",WSF2,2018-01-02T00:00:00,GHCND:USW00013962,63
",,W,",WSF5,2018-01-02T00:00:00,GHCND:USW00013962,72
",,W,",WT01,2018-01-02T00:00:00,GHCND:USW00013962,1
",,W,",WT08,2018-01-02T00:00:00,GHCND:USW00013962,1
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1TXCLN009,0
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1TXJO0009,0
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1TXTY0007,0
",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1TXTY0007,0
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1TXTY0013,0
",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1TXTY0013,0
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1TXTY0020,8
"T,,N,",PRCP,2018-01-03T00:00:00,GHCND:US1TXTY0024,0
",,7,0800",PRCP,2018-01-03T00:00:00,GHCND:USC00410013,0
",,7,",SNOW,2018-01-03T00:00:00,GHCND:USC00410013,0
",,7,2400",SNWD,2018-01-03T00:00:00,GHCND:USC00410013,0
",,7,0800",TMAX,2018-01-03T00:00:00,GHCND:USC00410013,-33
",,7,0800",TMIN,2018-01-03T00:00:00,GHCND:USC00410013,-106
",,7,0800",TOBS,2018-01-03T00:00:00,GHCND:USC00410013,-61
",,U,",TAVG,2018-01-03T00:00:00,GHCND:USR0000THMB,-4
"H,,U,",TMAX,2018-01-03T00:00:00,GHCND:USR0000THMB,111
"H,,U,",TMIN,2018-01-03T00:00:00,GHCND:USR0000THMB,-100
",,W,",AWND,2018-01-03T00:00:00,GHCND:USW00013962,30
",,W,2400",PRCP,2018-01-03T00:00:00,GHCND:USW00013962,0
",,W,",SNOW,2018-01-03T00:00:00,GHCND:USW00013962,0
",,W,",SNWD,2018-01-03T00:00:00,GHCND:USW00013962,0
"H,,S,",TAVG,2018-01-03T00:00:00,GHCND:USW00013962,-29
",,W,2400",TMAX,2018-01-03T00:00:00,GHCND:USW00013962,106
