attributes,datatype,date,station,value
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1LARP0007,3
",,7,0800",PRCP,2018-01-01T00:00:00,GHCND:USC00160098,0
",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00160098,0
",,7,",SNWD,2018-01-01T00:00:00,GHCND:USC00160098,0
",,7,0800",TMAX,2018-01-01T00:00:00,GHCND:USC00160098,50
",,7,0800",TMIN,2018-01-01T00:00:00,GHCND:USC00160098,-61
",,7,0800",TOBS,2018-01-01T00:00:00,GHCND:USC00160098,-61
",,7,2400",PRCP,2018-01-01T00:00:00,GHCND:USC00160103,0
",,7,2400",TMAX,2018-01-01T00:00:00,GHCND:USC00160103,6
",,7,2400",TMIN,2018-01-01T00:00:00,GHCND:USC00160103,-72
",,7,2400",TOBS,2018-01-01T00:00:00,GHCND:USC00160103,-72
",,7,0700",PRCP,2018-01-01T00:00:00,GHCND:USC00167732,0
",,U,",TAVG,2018-01-01T00:00:00,GHCND:USR0000LCAT,-40
"H,,U,",TMAX,2018-01-01T00:00:00,GHCND:USR0000LCAT,6
"H,,U,",TMIN,2018-01-01T00:00:00,GHCND:USR0000LCAT,-67
",,U,",TAVG,2018-01-01T00:00:00,GHCND:USR0000LEVA,-34
"H,,U,",TMAX,2018-01-01T00:00:00,GHCND:USR0000LEVA,6
"H,,U,",TMIN,2018-01-01T00:00:00,GHCND:USR0000LEVA,-61
",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00013935,30
",,W,",PGTM,2018-01-01T00:00:00,GHCND:USW00013935,1600
",,W,",PRCP,2018-01-01T00:00:00,GHCND:USW00013935,0
",,W,",TMAX,2018-01-01T00:00:00,GHCND:USW00013935,0
",,W,",TMIN,2018-01-01T00:00:00,GHCND:USW00013935,-66
",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00013935,10
",,W,",WDF5,2018-01-01T00:00:00,GHCND:USW00013935,350
",,W,",WSF2,2018-01-01T00:00:00,GHCND:USW00013935,67
",,W,",WSF5,2018-01-01T00:00:00,GHCND:USW00013935,94
",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00093915,50
",,W,",PRCP,2018-01-01T00:00:00,GHCND:USW00093915,0
",,W,",SNOW,2018-01-01T00:00:00,GHCND:USW00093915,0
",,W,",SNWD,2018-01-01T00:00:00,GHCND:USW00093915,0
",,W,",TMAX,2018-01-01T00:00:00,GHCND:USW00093915,6
",,W,",TMIN,2018-01-01T00:00:00,GHCND:USW00093915,-66
",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00093915,360
",,W,",WDF5,2018-01-01T00:00:00,GHCND:USW00093915,340
",,W,",WSF2,2018-01-01T00:00:00,GHCND:USW00093915,81
",,W,",WSF5,2018-01-01T00:00:00,GHCND:USW00093915,116
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1LARP0007,0
",,7,0800",PRCP,2018-01-02T00:00:00,GHCND:USC00160098,0
",,7,",SNOW,2018-01-02T00:00:00,GHCND:USC00160098,0
",,7,",SNWD,2018-01-02T00:00:00,GHCND:USC00160098,0
",,7,0800",TMAX,2018-01-02T00:00:00,GHCND:USC00160098,6
",,7,0800",TMIN,2018-01-02T00:00:00,GHCND:USC00160098,-78
",,7,0800",TOBS,2018-01-02T00:00:00,GHCND:USC00160098,-78
",,7,2400",PRCP,2018-01-02T00:00:00,GHCND:USC00160103,0
",,7,2400",TMAX,2018-01-02T00:00:00,GHCND:USC00160103,17
",,7,2400",TMIN,2018-01-02T00:00:00,GHCND:USC00160103,-89
",,7,2400",TOBS,2018-01-02T00:00:00,GHCND:USC00160103,-22
",,7,0700",PRCP,2018-01-02T00:00:00,GHCND:USC00167732,0
",,U,",TAVG,2018-01-02T00:00:00,GHCND:USR0000LCAT,-37
"H,,U,",TMAX,2018-01-02T00:00:00,GHCND:USR0000LCAT,11
"H,,U,",TMIN,2018-01-02T00:00:00,GHCND:USR0000LCAT,-89
",,U,",TAVG,2018-01-02T00:00:00,GHCND:USR0000LEVA,-31
"H,,U,",TMAX,2018-01-02T00:00:00,GHCND:USR0000LEVA,11
"H,,U,",TMIN,2018-01-02T00:00:00,GHCND:USR0000LEVA,-72
",,W,",AWND,2018-01-02T00:00:00,GHCND:USW00013935,22
