attributes,datatype,date,station,value
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NCBC0001,3
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NCBC0001,3
"T,,N,",SNWD,2018-01-01T00:00:00,GHCND:US1NCBC0001,0
",,N,",WESF,2018-01-01T00:00:00,GHCND:US1NCBC0001,3
"T,,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NCBC0003,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NCBC0003,5
"T,,N,",SNWD,2018-01-01T00:00:00,GHCND:US1NCBC0003,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NCBC0004,3
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NCBC0004,30
",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1NCBC0004,25
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NCBC0005,5
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NCBC0005,3
"T,,N,",SNWD,2018-01-01T00:00:00,GHCND:US1NCBC0005,0
"T,,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NCBC0014,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NCBC0014,3
"T,,N,",SNWD,2018-01-01T00:00:00,GHCND:US1NCBC0014,0
"T,,N,",WESD,2018-01-01T00:00:00,GHCND:US1NCBC0014,0
"T,,N,",WESF,2018-01-01T00:00:00,GHCND:US1NCBC0014,0
"T,,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NCBC0015,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NCBC0022,3
"T,,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NCBC0022,0
"T,,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NCBC0025,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NCBC0028,5
"T,,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NCBC0028,0
"T,,N,",SNWD,2018-01-01T00:00:00,GHCND:US1NCBC0028,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NCBC0032,20
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NCBC0032,30
",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1NCBC0032,25
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NCBC0037,3
"T,,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NCBC0037,0
"T,,N,",SNWD,2018-01-01T00:00:00,GHCND:US1NCBC0037,0
"T,,N,",WESD,2018-01-01T00:00:00,GHCND:US1NCBC0037,0
"T,,N,",WESF,2018-01-01T00:00:00,GHCND:US1NCBC0037,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NCBC0041,3
"T,,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NCBC0041,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NCBC0043,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NCBC0043,0
"T,,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NCBC0044,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NCBC0045,3
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NCBC0045,10
",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1NCBC0045,10
"T,,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NCBC0051,0
"T,,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NCBC0051,0
"T,,N,",SNWD,2018-01-01T00:00:00,GHCND:US1NCBC0051,0
"T,,N,",WESD,2018-01-01T00:00:00,GHCND:US1NCBC0051,0
"T,,N,",WESF,2018-01-01T00:00:00,GHCND:US1NCBC0051,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NCBC0064,3
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NCBC0064,3
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NCBC0066,5
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NCBC0066,13
",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1NCBC0066,13
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NCBC0074,8
",,N,",WESD,2018-01-01T00:00:00,GHCND:US1NCBC0074,8
"T,,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NCBC0085,0
"T,,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NCBC0091,0
"T,,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NCBC0091,0
"T,,N,",SNWD,2018-01-01T00:00:00,GHCND:US1NCBC0091,0
"T,,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NCBC0094,0
"T,,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NCBC0094,0
",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1NCBC0094,0
",,N,",WESD,2018-01-01T00:00:00,GHCND:US1NCBC0094,0
"T,,N,",WESF,2018-01-01T00:00:00,GHCND:US1NCBC0094,0
"T,,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NCBC0095,0
"T,,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NCBC0095,0
"T,,N,",SNWD,2018-01-01T00:00:00,GHCND:US1NCBC0095,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NCBC0105,5
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NCBC0105,38
",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1NCBC0105,38
"T,,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NCBC0110,0
"T,,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NCBC0113,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NCBC0114,3
"T,,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NCBC0114,0
"T,,N,",SNWD,2018-01-01T00:00:00,GHCND:US1NCBC0114,0
"T,,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NCBC0121,0
"T,,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NCBC0126,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NCBC0126,8
",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1NCBC0126,8
"T,,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NCBC0129,0
"T,,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NCBC0137,0
"T,,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NCBC0137,0
"T,,N,",SNWD,2018-01-01T00:00:00,GHCND:US1NCBC0137,0
"T,,N,",WESD,2018-01-01T00:00:00,GHCND:US1NCBC0137,0
"T,,N,",WESF,2018-01-01T00:00:00,GHCND:US1NCBC0137,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NCHN0002,3
"T,,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NCHN0002,0
"T,,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NCHN0027,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NCHN0040,3
"T,I,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NCHN0040,0
",I,N,",WESF,2018-01-01T00:00:00,GHCND:US1NCHN0040,3
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NCHN0044,3
"T,,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NCHN0044,0
"T,,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NCHN0054,0
"T,,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NCHN0054,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NCMS0016,5
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1NCMS0017,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1NCMS0017,0
",,7,0700",PRCP,2018-01-01T00:00:00,GHCND:USC00310531,5
",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00310531,5
"T,,7,",SNWD,2018-01-01T00:00:00,GHCND:USC00310531,0
"T,,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00310724,0
",,7,0700",SNWD,2018-01-01T00:00:00,GHCND:USC00310724,0
",,7,0700",TMAX,2018-01-01T00:00:00,GHCND:USC00310724,-33
",,7,0700",TMIN,2018-01-01T00:00:00,GHCND:USC00310724,-117
",,7,0700",TOBS,2018-01-01T00:00:00,GHCND:USC00310724,-111
"T,,7,0700",PRCP,2018-01-01T00:00:00,GHCND:USC00311420,0
"T,,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00311420,0
"T,,7,0700",SNWD,2018-01-01T00:00:00,GHCND:USC00311420,0
",,7,0700",TMAX,2018-01-01T00:00:00,GHCND:USC00311420,-17
",,7,0700",TMIN,2018-01-01T00:00:00,GHCND:USC00311420,-122
",,7,0700",TOBS,2018-01-01T00:00:00,GHCND:USC00311420,-111
",,7,",WT01,2018-01-01T00:00:00,GHCND:USC00311420,1
",,7,",WT04,2018-01-01T00:00:00,GHCND:USC00311420,1
"T,,7,0800",PRCP,2018-01-01T00:00:00,GHCND:USC00312837,0
"T,,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00312837,0
",,7,0800",SNWD,2018-01-01T00:00:00,GHCND:USC00312837,0
",,7,0800",TMAX,2018-01-01T00:00:00,GHCND:USC00312837,-22
",,7,0800",TMIN,2018-01-01T00:00:00,GHCND:USC00312837,-111
"T,,7,0800",PRCP,2018-01-01T00:00:00,GHCND:USC00313106,0
"T,,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00313106,0
"T,,7,0800",SNWD,2018-01-01T00:00:00,GHCND:USC00313106,0
",,7,0800",TMAX,2018-01-01T00:00:00,GHCND:USC00313106,-33
",,7,0800",TMIN,2018-01-01T00:00:00,GHCND:USC00313106,-111
"T,,7,2400",PRCP,2018-01-01T00:00:00,GHCND:USC00316236,0
"T,,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00316236,0
"T,,7,2400",SNWD,2018-01-01T00:00:00,GHCND:USC00316236,0
",,7,",TMAX,2018-01-01T00:00:00,GHCND:USC00316236,-50
",,7,",TMIN,2018-01-01T00:00:00,GHCND:USC00316236,-128
",,7,",WSFG,2018-01-01T00:00:00,GHCND:USC00316236,72
",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00003812,68
",,W,2400",PRCP,2018-01-01T00:00:00,GHCND:USW00003812,0
"T,,W,",SNOW,2018-01-01T00:00:00,GHCND:USW00003812,0
",,W,2400",SNWD,2018-01-01T00:00:00,GHCND:USW00003812,0
"H,,S,",TAVG,2018-01-01T00:00:00,GHCND:USW00003812,-80
",,W,2400",TMAX,2018-01-01T00:00:00,GHCND:USW00003812,-60
",,W,2400",TMIN,2018-01-01T00:00:00,GHCND:USW00003812,-110
",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00003812,330
",,W,",WDF5,2018-01-01T00:00:00,GHCND:USW00003812,320
",,W,",WSF2,2018-01-01T00:00:00,GHCND:USW00003812,103
",,W,",WSF5,2018-01-01T00:00:00,GHCND:USW00003812,134
"T,,7,2400",PRCP,2018-01-01T00:00:00,GHCND:USW00013872,0
"T,,7,",SNOW,2018-01-01T00:00:00,GHCND:USW00013872,0
",,7,",SNWD,2018-01-01T00:00:00,GHCND:USW00013872,0
",,7,2400",TMAX,2018-01-01T00:00:00,GHCND:USW00013872,-72
",,7,2400",TMIN,2018-01-01T00:00:00,GHCND:USW00013872,-122
",,7,2400",TOBS,2018-01-01T00:00:00,GHCND:USW00013872,-122
",,R,",PRCP,2018-01-01T00:00:00,GHCND:USW00053877,0
",,R,",TMAX,2018-01-01T00:00:00,GHCND:USW00053877,-65
",,R,",TMIN,2018-01-01T00:00:00,GHCND:USW00053877,-120
",,R,",PRCP,2018-01-01T00:00:00,GHCND:USW00053878,0
",,R,",TMAX,2018-01-01T00:00:00,GHCND:USW00053878,-63
",,R,",TMIN,2018-01-01T00:00:00,GHCND:USW00053878,-119
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1NCBC0001,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1NCBC0001,0
"T,,N,",SNWD,2018-01-02T00:00:00,GHCND:US1NCBC0001,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1NCBC0003,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1NCBC0003,0
"T,,N,",SNWD,2018-01-02T00:00:00,GHCND:US1NCBC0003,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1NCBC0004,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1NCBC0004,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1NCBC0005,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1NCBC0005,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1NCBC0014,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1NCBC0014,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1NCBC0022,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1NCBC0022,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1NCBC0025,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1NCBC0025,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1NCBC0028,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1NCBC0028,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1NCBC0037,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1NCBC0037,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1NCBC0041,0
