,attributes,datatype,date,station,value
0,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1CAKN0022,0
1,",,7,0800",PRCP,2018-01-01T00:00:00,GHCND:USC00040332,0
2,",,7,0800",TMAX,2018-01-01T00:00:00,GHCND:USC00040332,172
3,",,7,0800",TMIN,2018-01-01T00:00:00,GHCND:USC00040332,50
4,",,7,0800",PRCP,2018-01-01T00:00:00,GHCND:USC00040444,0
5,",,7,0800",TMAX,2018-01-01T00:00:00,GHCND:USC00040444,194
6,",,7,0800",TMIN,2018-01-01T00:00:00,GHCND:USC00040444,17
7,",,7,0800",TOBS,2018-01-01T00:00:00,GHCND:USC00040444,28
8,",,7,0800",PRCP,2018-01-01T00:00:00,GHCND:USC00048122,0
9,",,7,0800",TMAX,2018-01-01T00:00:00,GHCND:USC00048122,200
10,",,7,0800",TMIN,2018-01-01T00:00:00,GHCND:USC00048122,0
11,",,7,0800",TOBS,2018-01-01T00:00:00,GHCND:USC00048122,11
12,",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00023155,14
13,",,W,2400",PRCP,2018-01-01T00:00:00,GHCND:USW00023155,0
14,",,W,",SNOW,2018-01-01T00:00:00,GHCND:USW00023155,0
15,",,W,",SNWD,2018-01-01T00:00:00,GHCND:USW00023155,0
16,"H,,S,",TAVG,2018-01-01T00:00:00,GHCND:USW00023155,107
17,",,W,2400",TMAX,2018-01-01T00:00:00,GHCND:USW00023155,178
18,",,W,2400",TMIN,2018-01-01T00:00:00,GHCND:USW00023155,39
19,",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00023155,300
20,",,W,",WDF5,2018-01-01T00:00:00,GHCND:USW00023155,310
21,",,W,",WSF2,2018-01-01T00:00:00,GHCND:USW00023155,40
22,",,W,",WSF5,2018-01-01T00:00:00,GHCND:USW00023155,54
23,",,W,",WT08,2018-01-01T00:00:00,GHCND:USW00023155,1
24,",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1CAKN0022,0
25,",,7,0800",PRCP,2018-01-02T00:00:00,GHCND:USC00040332,0
26,",,7,0800",TMAX,2018-01-02T00:00:00,GHCND:USC00040332,172
27,",,7,0800",TMIN,2018-01-02T00:00:00,GHCND:USC00040332,33
28,",,7,0800",PRCP,2018-01-02T00:00:00,GHCND:USC00040444,0
29,",,7,0800",TMAX,2018-01-02T00:00:00,GHCND:USC00040444,167
30,",,7,0800",TMIN,2018-01-02T00:00:00,GHCND:USC00040444,28
31,",,7,0800",TOBS,2018-01-02T00:00:00,GHCND:USC00040444,78
32,",,7,0800",PRCP,2018-01-02T00:00:00,GHCND:USC00048122,0
33,",,7,0800",TMAX,2018-01-02T00:00:00,GHCND:USC00048122,200
34,",,7,0800",TMIN,2018-01-02T00:00:00,GHCND:USC00048122,0
35,",,7,0800",TOBS,2018-01-02T00:00:00,GHCND:USC00048122,22
36,",,W,",AWND,2018-01-02T00:00:00,GHCND:USW00023155,9
37,",,W,2400",PRCP,2018-01-02T00:00:00,GHCND:USW00023155,0
38,",,W,",SNOW,2018-01-02T00:00:00,GHCND:USW00023155,0
39,",,W,",SNWD,2018-01-02T00:00:00,GHCND:USW00023155,0
40,"H,,S,",TAVG,2018-01-02T00:00:00,GHCND:USW00023155,113
41,",,W,2400",TMAX,2018-01-02T00:00:00,GHCND:USW00023155,172
42,",,W,2400",TMIN,2018-01-02T00:00:00,GHCND:USW00023155,67
43,",,W,",WDF2,2018-01-02T00:00:00,GHCND:USW00023155,30
44,",,W,",WDF5,2018-01-02T00:00:00,GHCND:USW00023155,330
45,",,W,",WSF2,2018-01-02T00:00:00,GHCND:USW00023155,36
46,",,W,",WSF5,2018-01-02T00:00:00,GHCND:USW00023155,40
47,",,W,",WT08,2018-01-02T00:00:00,GHCND:USW00023155,1
48,",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1CAKN0022,0
49,",,7,0800",PRCP,2018-01-03T00:00:00,GHCND:USC00040332,0
50,",,7,0800",TMAX,2018-01-03T00:00:00,GHCND:USC00040332,206
51,",,7,0800",TMIN,2018-01-03T00:00:00,GHCND:USC00040332,61
52,",,7,0800",PRCP,2018-01-03T00:00:00,GHCND:USC00040444,0
53,",,7,0800",TMAX,2018-01-03T00:00:00,GHCND:USC00040444,161
54,",,7,0800",TMIN,2018-01-03T00:00:00,GHCND:USC00040444,33
55,",,7,0800",TOBS,2018-01-03T00:00:00,GHCND:USC00040444,39
56,",,7,0800",PRCP,2018-01-03T00:00:00,GHCND:USC00048122,0
57,",,7,0800",TMAX,2018-01-03T00:00:00,GHCND:USC00048122,200
58,",,7,0800",TMIN,2018-01-03T00:00:00,GHCND:USC00048122,11
59,",,7,0800",TOBS,2018-01-03T00:00:00,GHCND:USC00048122,44
60,",,W,",AWND,2018-01-03T00:00:00,GHCND:USW00023155,20
61,",,W,2400",PRCP,2018-01-03T00:00:00,GHCND:USW00023155,0
62,",,W,",SNOW,2018-01-03T00:00:00,GHCND:USW00023155,0
63,",,W,",SNWD,2018-01-03T00:00:00,GHCND:USW00023155,0
64,"H,,S,",TAVG,2018-01-03T00:00:00,GHCND:USW00023155,117
65,",,W,2400",TMAX,2018-01-03T00:00:00,GHCND:USW00023155,222
66,",,W,2400",TMIN,2018-01-03T00:00:00,GHCND:USW00023155,56
67,",,W,",WDF2,2018-01-03T00:00:00,GHCND:USW00023155,350
68,",,W,",WDF5,2018-01-03T00:00:00,GHCND:USW00023155,330
69,",,W,",WSF2,2018-01-03T00:00:00,GHCND:USW00023155,63
70,",,W,",WSF5,2018-01-03T00:00:00,GHCND:USW00023155,72
71,",,W,",WT01,2018-01-03T00:00:00,GHCND:USW00023155,1
72,",,W,",WT08,2018-01-03T00:00:00,GHCND:USW00023155,1
73,",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1CAKN0022,0
74,",,7,0800",PRCP,2018-01-04T00:00:00,GHCND:USC00040332,0
75,",,7,0800",TMAX,2018-01-04T00:00:00,GHCND:USC00040332,194
76,",,7,0800",TMIN,2018-01-04T00:00:00,GHCND:USC00040332,78
77,",,7,0800",PRCP,2018-01-04T00:00:00,GHCND:USC00040444,0
78,",,7,0800",TMAX,2018-01-04T00:00:00,GHCND:USC00040444,206
79,",,7,0800",TMIN,2018-01-04T00:00:00,GHCND:USC00040444,39
80,",,7,0800",TOBS,2018-01-04T00:00:00,GHCND:USC00040444,94
81,",,7,0800",PRCP,2018-01-04T00:00:00,GHCND:USC00048122,0
82,",,7,0800",TMAX,2018-01-04T00:00:00,GHCND:USC00048122,200
83,",,7,0800",TMIN,2018-01-04T00:00:00,GHCND:USC00048122,22
84,",,7,0800",TOBS,2018-01-04T00:00:00,GHCND:USC00048122,56
85,",,W,",AWND,2018-01-04T00:00:00,GHCND:USW00023155,24
86,",,W,2400",PRCP,2018-01-04T00:00:00,GHCND:USW00023155,0
87,",,W,",SNOW,2018-01-04T00:00:00,GHCND:USW00023155,0
88,",,W,",SNWD,2018-01-04T00:00:00,GHCND:USW00023155,0
89,"H,,S,",TAVG,2018-01-04T00:00:00,GHCND:USW00023155,142
90,",,W,2400",TMAX,2018-01-04T00:00:00,GHCND:USW00023155,206
91,",,W,2400",TMIN,2018-01-04T00:00:00,GHCND:USW00023155,89
92,",,W,",WDF2,2018-01-04T00:00:00,GHCND:USW00023155,150
93,",,W,",WDF5,2018-01-04T00:00:00,GHCND:USW00023155,280
94,",,W,",WSF2,2018-01-04T00:00:00,GHCND:USW00023155,54
95,",,W,",WSF5,2018-01-04T00:00:00,GHCND:USW00023155,58
96,",,W,",WT08,2018-01-04T00:00:00,GHCND:USW00023155,1
97,",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1CAKN0022,0
98,",,7,0800",PRCP,2018-01-05T00:00:00,GHCND:USC00040332,0
99,",,7,0800",TMAX,2018-01-05T00:00:00,GHCND:USC00040332,228
100,",,7,0800",TMIN,2018-01-05T00:00:00,GHCND:USC00040332,133
101,",,7,0800",PRCP,2018-01-05T00:00:00,GHCND:USC00040444,0
102,",,7,0800",TMAX,2018-01-05T00:00:00,GHCND:USC00040444,206
103,",,7,0800",TMIN,2018-01-05T00:00:00,GHCND:USC00040444,39
104,",,7,0800",TOBS,2018-01-05T00:00:00,GHCND:USC00040444,89
105,",,7,0800",PRCP,2018-01-05T00:00:00,GHCND:USC00048122,0
106,",,7,0800",TMAX,2018-01-05T00:00:00,GHCND:USC00048122,200
107,",,7,0800",TMIN,2018-01-05T00:00:00,GHCND:USC00048122,22
108,",,7,0800",TOBS,2018-01-05T00:00:00,GHCND:USC00048122,72
109,",,W,",AWND,2018-01-05T00:00:00,GHCND:USW00023155,19
110,",,W,2400",PRCP,2018-01-05T00:00:00,GHCND:USW00023155,0
111,",,W,",SNOW,2018-01-05T00:00:00,GHCND:USW00023155,0
112,",,W,",SNWD,2018-01-05T00:00:00,GHCND:USW00023155,0
