,attributes,datatype,date,station,value
0,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MDAA0001,0
1,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MDAA0001,0
2,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MDAA0003,0
3,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MDAA0003,0
4,"T,,N,",SNWD,2018-01-01T00:00:00,GHCND:US1MDAA0003,0
5,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MDAA0004,0
6,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MDAA0004,0
7,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MDAA0039,0
8,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MDAA0039,0
9,"T,,N,",SNWD,2018-01-01T00:00:00,GHCND:US1MDAA0039,0
10,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MDAA0064,0
11,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MDAA0065,0
12,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MDAA0065,0
13,"T,,N,",SNWD,2018-01-01T00:00:00,GHCND:US1MDAA0065,0
14,",,N,",WESF,2018-01-01T00:00:00,GHCND:US1MDAA0065,0
15,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MDAA0066,0
16,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MDAA0066,0
17,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MDAA0070,0
18,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MDAA0070,0
19,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MDAA0071,0
20,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MDAA0071,0
21,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MDBC0001,0
22,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MDBC0001,0
23,"T,,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MDBL0009,0
24,"T,,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MDBL0009,0
25,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MDBL0013,0
26,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MDBL0013,0
27,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MDBL0015,0
28,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MDBL0015,0
29,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MDBL0016,0
30,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MDBL0016,0
31,",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1MDBL0016,0
32,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MDBL0025,0
33,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MDBL0025,0
34,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MDBL0028,0
35,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MDBL0028,0
36,"T,,N,",SNWD,2018-01-01T00:00:00,GHCND:US1MDBL0028,0
37,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MDBL0035,0
38,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MDBL0035,0
39,",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1MDBL0035,0
40,",,N,",WESD,2018-01-01T00:00:00,GHCND:US1MDBL0035,0
41,",,N,",WESF,2018-01-01T00:00:00,GHCND:US1MDBL0035,0
42,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MDBL0038,0
43,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MDBL0038,0
44,"T,,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MDBL0039,0
45,"T,,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MDBL0039,0
46,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MDCR0019,0
47,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MDCR0019,0
48,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MDCR0021,0
49,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MDCR0021,0
50,"T,,N,",SNWD,2018-01-01T00:00:00,GHCND:US1MDCR0021,0
51,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MDHR0004,0
52,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MDHR0004,0
53,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MDHR0006,0
54,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MDHR0006,0
55,"T,,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MDHR0011,0
56,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MDHR0023,0
57,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MDHR0023,0
58,",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1MDHR0023,13
59,",,N,",WESF,2018-01-01T00:00:00,GHCND:US1MDHR0023,0
60,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MDHW0002,0
61,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MDHW0002,0
62,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MDHW0003,0
63,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MDHW0003,0
64,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MDHW0007,0
65,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MDHW0007,0
66,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MDHW0013,0
67,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MDHW0013,0
68,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MDHW0018,0
69,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MDHW0018,0
70,"T,,N,",SNWD,2018-01-01T00:00:00,GHCND:US1MDHW0018,0
71,"T,,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MDHW0021,0
72,"T,,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MDHW0021,0
73,"T,,N,",SNWD,2018-01-01T00:00:00,GHCND:US1MDHW0021,0
74,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MDHW0023,0
75,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MDHW0023,0
76,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MDHW0036,0
77,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MDHW0038,0
78,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MDHW0038,0
79,"T,,N,",SNWD,2018-01-01T00:00:00,GHCND:US1MDHW0038,0
80,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MDKN0004,0
81,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MDKN0004,0
82,"T,,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MDMG0005,0
