,attributes,datatype,date,station,value
0,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MEHN0028,0
1,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MEHN0028,0
2,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MEPN0030,0
3,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MEPN0030,0
4,",,N,",WESF,2018-01-01T00:00:00,GHCND:US1MEPN0030,0
5,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MEWL0008,0
6,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MEWL0008,0
7,",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00014606,43
8,",,W,2400",PRCP,2018-01-01T00:00:00,GHCND:USW00014606,0
9,",,W,",SNOW,2018-01-01T00:00:00,GHCND:USW00014606,0
10,",,W,2400",SNWD,2018-01-01T00:00:00,GHCND:USW00014606,360
11,"H,,S,",TAVG,2018-01-01T00:00:00,GHCND:USW00014606,-193
12,",,W,2400",TMAX,2018-01-01T00:00:00,GHCND:USW00014606,-155
13,",,W,2400",TMIN,2018-01-01T00:00:00,GHCND:USW00014606,-232
14,",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00014606,320
15,",,W,",WDF5,2018-01-01T00:00:00,GHCND:USW00014606,320
16,",,W,",WSF2,2018-01-01T00:00:00,GHCND:USW00014606,94
17,",,W,",WSF5,2018-01-01T00:00:00,GHCND:USW00014606,116
18,",,R,",PRCP,2018-01-01T00:00:00,GHCND:USW00094644,0
19,",,R,",TMAX,2018-01-01T00:00:00,GHCND:USW00094644,-162
20,",,R,",TMIN,2018-01-01T00:00:00,GHCND:USW00094644,-282
21,",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1MEHN0028,0
22,",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1MEHN0028,0
23,",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1MEPN0030,0
24,",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1MEPN0030,0
25,",,N,",SNWD,2018-01-02T00:00:00,GHCND:US1MEPN0030,394
26,",,N,",WESD,2018-01-02T00:00:00,GHCND:US1MEPN0030,800
27,",,N,",WESF,2018-01-02T00:00:00,GHCND:US1MEPN0030,0
28,",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1MEWL0008,0
29,",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1MEWL0008,0
30,",,W,",AWND,2018-01-02T00:00:00,GHCND:USW00014606,25
31,",,W,2400",PRCP,2018-01-02T00:00:00,GHCND:USW00014606,0
32,",,W,",SNOW,2018-01-02T00:00:00,GHCND:USW00014606,0
33,",,W,2400",SNWD,2018-01-02T00:00:00,GHCND:USW00014606,360
34,"H,,S,",TAVG,2018-01-02T00:00:00,GHCND:USW00014606,-182
35,",,W,2400",TMAX,2018-01-02T00:00:00,GHCND:USW00014606,-127
36,",,W,2400",TMIN,2018-01-02T00:00:00,GHCND:USW00014606,-227
37,",,W,",WDF2,2018-01-02T00:00:00,GHCND:USW00014606,270
