,attributes,datatype,date,station,value
0,"T,,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MTYS0005,0
1,"T,,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MTYS0005,0
2,",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1MTYS0005,305
3,",,N,",WESD,2018-01-01T00:00:00,GHCND:US1MTYS0005,376
4,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MTYS0011,0
5,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MTYS0011,0
6,",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1MTYS0011,394
7,"T,,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MTYS0012,0
8,"T,,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MTYS0012,0
9,",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1MTYS0012,356
10,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MTYS0013,0
11,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MTYS0013,0
12,",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1MTYS0013,241
13,",,N,",WESD,2018-01-01T00:00:00,GHCND:US1MTYS0013,272
14,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MTYS0014,0
15,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MTYS0014,0
16,",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1MTYS0014,267
17,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MTYS0015,0
18,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MTYS0015,0
19,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MTYS0025,0
20,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MTYS0025,0
21,",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1MTYS0025,305
22,"T,,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MTYS0027,0
23,"T,,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MTYS0027,0
24,",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1MTYS0027,356
25,"T,,N,",WESF,2018-01-01T00:00:00,GHCND:US1MTYS0027,0
26,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MTYS0028,0
27,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MTYS0033,0
28,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MTYS0033,0
29,",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1MTYS0033,307
30,",,N,",WESF,2018-01-01T00:00:00,GHCND:US1MTYS0033,0
31,",,7,2400",PRCP,2018-01-01T00:00:00,GHCND:USC00240801,0
32,",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00240801,0
33,",,7,2400",SNWD,2018-01-01T00:00:00,GHCND:USC00240801,305
34,",,7,2400",TMAX,2018-01-01T00:00:00,GHCND:USC00240801,-172
35,",,7,2400",TMIN,2018-01-01T00:00:00,GHCND:USC00240801,-261
36,",,7,2400",TOBS,2018-01-01T00:00:00,GHCND:USC00240801,-244
37,",,7,0900",PRCP,2018-01-01T00:00:00,GHCND:USC00240802,0
38,",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00240802,0
39,",,7,0900",SNWD,2018-01-01T00:00:00,GHCND:USC00240802,356
40,",,7,0900",TMAX,2018-01-01T00:00:00,GHCND:USC00240802,-189
41,",,7,0900",TMIN,2018-01-01T00:00:00,GHCND:USC00240802,-272
42,",,7,0900",TOBS,2018-01-01T00:00:00,GHCND:USC00240802,-233
43,",,7,0800",EVAP,2018-01-01T00:00:00,GHCND:USC00244345,0
44,",D,7,",MNPN,2018-01-01T00:00:00,GHCND:USC00244345,-178
45,",D,7,",MXPN,2018-01-01T00:00:00,GHCND:USC00244345,-178
46,",,7,0800",PRCP,2018-01-01T00:00:00,GHCND:USC00244345,0
47,",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00244345,0
48,",,7,0800",SNWD,2018-01-01T00:00:00,GHCND:USC00244345,203
49,",,7,0800",TMAX,2018-01-01T00:00:00,GHCND:USC00244345,-200
50,",,7,0800",TMIN,2018-01-01T00:00:00,GHCND:USC00244345,-328
51,",,7,0800",TOBS,2018-01-01T00:00:00,GHCND:USC00244345,-283
52,",,7,",WDMV,2018-01-01T00:00:00,GHCND:USC00244345,0
53,",,U,",TAVG,2018-01-01T00:00:00,GHCND:USR0000MSOD,-181
54,"H,,U,",TMAX,2018-01-01T00:00:00,GHCND:USR0000MSOD,-128
55,"H,,U,",TMIN,2018-01-01T00:00:00,GHCND:USR0000MSOD,-233
56,",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00024033,35
57,",,W,2400",PRCP,2018-01-01T00:00:00,GHCND:USW00024033,0
58,",,W,",SNOW,2018-01-01T00:00:00,GHCND:USW00024033,0
59,",,W,0700",SNWD,2018-01-01T00:00:00,GHCND:USW00024033,410
60,"H,,S,",TAVG,2018-01-01T00:00:00,GHCND:USW00024033,-228
61,",,W,2400",TMAX,2018-01-01T00:00:00,GHCND:USW00024033,-160
62,",,W,2400",TMIN,2018-01-01T00:00:00,GHCND:USW00024033,-249
63,",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00024033,230
64,",,W,",WDF5,2018-01-01T00:00:00,GHCND:USW00024033,230
65,",,W,",WSF2,2018-01-01T00:00:00,GHCND:USW00024033,116
66,",,W,",WSF5,2018-01-01T00:00:00,GHCND:USW00024033,134
67,",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1MTYS0005,0
68,",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1MTYS0005,0
