attributes,datatype,date,station,value
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1ALJF0025,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1ALJF0025,0
"T,,N,",PRCP,2018-01-01T00:00:00,GHCND:US1ALJF0037,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1ALJF0039,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1ALJF0039,0
"T,,N,",PRCP,2018-01-01T00:00:00,GHCND:US1ALJF0044,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1ALJF0047,5
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1ALJF0053,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1ALJF0054,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1ALJF0057,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1ALJF0057,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1ALJF0064,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1ALJF0064,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1ALJF0066,3
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1ALSH0005,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1ALSH0005,0
"T,,N,",PRCP,2018-01-01T00:00:00,GHCND:US1ALSH0011,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1ALSH0014,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1ALSH0014,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1ALSH0016,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1ALSH0021,3
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1ALSH0027,3
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1ALSH0048,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1ALSH0048,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1ALSH0055,0
"T,,N,",PRCP,2018-01-01T00:00:00,GHCND:US1ALSH0062,0
",,7,2400",PRCP,2018-01-01T00:00:00,GHCND:USC00010764,0
",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00010764,0
",,7,",SNWD,2018-01-01T00:00:00,GHCND:USC00010764,0
",,7,2400",TMAX,2018-01-01T00:00:00,GHCND:USC00010764,-28
",,7,2400",TMIN,2018-01-01T00:00:00,GHCND:USC00010764,-78
",,7,2400",TOBS,2018-01-01T00:00:00,GHCND:USC00010764,-78
",,7,0700",PRCP,2018-01-01T00:00:00,GHCND:USC00011225,0
",,7,",SNWD,2018-01-01T00:00:00,GHCND:USC00011225,0
",,7,0700",PRCP,2018-01-01T00:00:00,GHCND:USC00014619,0
",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00013876,59
",,W,2400",PRCP,2018-01-01T00:00:00,GHCND:USW00013876,0
",,W,",SNOW,2018-01-01T00:00:00,GHCND:USW00013876,0
",,W,",SNWD,2018-01-01T00:00:00,GHCND:USW00013876,0
"H,,S,",TAVG,2018-01-01T00:00:00,GHCND:USW00013876,-61
",,W,2400",TMAX,2018-01-01T00:00:00,GHCND:USW00013876,-21
",,W,2400",TMIN,2018-01-01T00:00:00,GHCND:USW00013876,-93
",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00013876,350
",,W,",WDF5,2018-01-01T00:00:00,GHCND:USW00013876,360
",,W,",WSF2,2018-01-01T00:00:00,GHCND:USW00013876,89
",,W,",WSF5,2018-01-01T00:00:00,GHCND:USW00013876,116
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1ALJF0025,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1ALJF0025,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1ALJF0037,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1ALJF0037,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1ALJF0039,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1ALJF0039,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1ALJF0044,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1ALJF0044,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1ALJF0047,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1ALJF0053,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1ALJF0054,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1ALJF0057,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1ALJF0057,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1ALJF0064,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1ALJF0064,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1ALJF0066,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1ALJF0066,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1ALSH0011,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1ALSH0011,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1ALSH0014,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1ALSH0014,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1ALSH0016,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1ALSH0021,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1ALSH0027,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1ALSH0027,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1ALSH0048,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1ALSH0048,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1ALSH0055,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1ALSH0062,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1ALSH0062,0
",,7,2400",PRCP,2018-01-02T00:00:00,GHCND:USC00010764,0
",,7,",SNOW,2018-01-02T00:00:00,GHCND:USC00010764,0
",,7,",SNWD,2018-01-02T00:00:00,GHCND:USC00010764,0
",,7,2400",TMAX,2018-01-02T00:00:00,GHCND:USC00010764,6
