attributes,datatype,date,station,value
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MNCS0001,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MNCS0001,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MNCW0008,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MNCW0008,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MNCW0016,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MNCW0016,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1MNCW0022,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1MNCW0022,0
",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1MNCW0022,127
",,N,",WESD,2018-01-01T00:00:00,GHCND:US1MNCW0022,196
",,N,",WESF,2018-01-01T00:00:00,GHCND:US1MNCW0022,0
",,H,0700",PRCP,2018-01-01T00:00:00,GHCND:USC00210939,0
",,H,",SNOW,2018-01-01T00:00:00,GHCND:USC00210939,0
",,H,",SNWD,2018-01-01T00:00:00,GHCND:USC00210939,178
",,H,0700",TMAX,2018-01-01T00:00:00,GHCND:USC00210939,-206
",,H,0700",TMIN,2018-01-01T00:00:00,GHCND:USC00210939,-356
",,H,0700",TOBS,2018-01-01T00:00:00,GHCND:USC00210939,-322
",,7,0800",TMAX,2018-01-01T00:00:00,GHCND:USC00213411,-217
",,7,0800",TMIN,2018-01-01T00:00:00,GHCND:USC00213411,-333
",,U,",TAVG,2018-01-01T00:00:00,GHCND:USR0000MBRN,-167
"H,,U,",TMAX,2018-01-01T00:00:00,GHCND:USR0000MBRN,-167
"H,,U,",TMIN,2018-01-01T00:00:00,GHCND:USR0000MBRN,-167
",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00094938,28
",,W,",PGTM,2018-01-01T00:00:00,GHCND:USW00094938,2330
",,W,",PRCP,2018-01-01T00:00:00,GHCND:USW00094938,0
",,H,",SNOW,2018-01-01T00:00:00,GHCND:USW00094938,0
",,H,",SNWD,2018-01-01T00:00:00,GHCND:USW00094938,178
",,W,",TMAX,2018-01-01T00:00:00,GHCND:USW00094938,-166
",,W,",TMIN,2018-01-01T00:00:00,GHCND:USW00094938,-293
",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00094938,240
",,W,",WDF5,2018-01-01T00:00:00,GHCND:USW00094938,260
",,W,",WSF2,2018-01-01T00:00:00,GHCND:USW00094938,58
",,W,",WSF5,2018-01-01T00:00:00,GHCND:USW00094938,72
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1MNCS0001,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1MNCS0001,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1MNCW0008,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1MNCW0008,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1MNCW0016,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1MNCW0016,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1MNCW0022,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1MNCW0022,0
",,N,",SNWD,2018-01-02T00:00:00,GHCND:US1MNCW0022,127
",,N,",WESF,2018-01-02T00:00:00,GHCND:US1MNCW0022,0
",,H,0700",PRCP,2018-01-02T00:00:00,GHCND:USC00210939,0
",,H,",SNOW,2018-01-02T00:00:00,GHCND:USC00210939,0
",,H,",SNWD,2018-01-02T00:00:00,GHCND:USC00210939,178
",,H,0700",TMAX,2018-01-02T00:00:00,GHCND:USC00210939,-161
",,H,0700",TMIN,2018-01-02T00:00:00,GHCND:USC00210939,-328
",,H,0700",TOBS,2018-01-02T00:00:00,GHCND:USC00210939,-239
",,7,0800",PRCP,2018-01-02T00:00:00,GHCND:USC00213411,0
",,7,",SNOW,2018-01-02T00:00:00,GHCND:USC00213411,0
",,7,",SNWD,2018-01-02T00:00:00,GHCND:USC00213411,127
",,7,0800",TMAX,2018-01-02T00:00:00,GHCND:USC00213411,-167
",,7,0800",TMIN,2018-01-02T00:00:00,GHCND:USC00213411,-289
",,7,0800",TOBS,2018-01-02T00:00:00,GHCND:USC00213411,-222
",,7,",WESD,2018-01-02T00:00:00,GHCND:USC00213411,178
",,W,",AWND,2018-01-02T00:00:00,GHCND:USW00094938,52
",,W,",PGTM,2018-01-02T00:00:00,GHCND:USW00094938,2307
"T,,W,",PRCP,2018-01-02T00:00:00,GHCND:USW00094938,0
",,H,",SNOW,2018-01-02T00:00:00,GHCND:USW00094938,0
",,H,",SNWD,2018-01-02T00:00:00,GHCND:USW00094938,178
",,W,",TMAX,2018-01-02T00:00:00,GHCND:USW00094938,-110
",,W,",TMIN,2018-01-02T00:00:00,GHCND:USW00094938,-255
",,W,",WDF2,2018-01-02T00:00:00,GHCND:USW00094938,330
",,W,",WDF5,2018-01-02T00:00:00,GHCND:USW00094938,330
",,W,",WSF2,2018-01-02T00:00:00,GHCND:USW00094938,94
",,W,",WSF5,2018-01-02T00:00:00,GHCND:USW00094938,116
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1MNCS0001,0
",,N,",SNOW,2018-01-03T00:00:00,GHCND:US1MNCS0001,0
