attributes,datatype,date,station,value
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1GAGN0005,97
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1GAGN0007,81
",,H,2400",PRCP,2018-01-01T00:00:00,GHCND:USC00091340,0
",,H,2400",TMAX,2018-01-01T00:00:00,GHCND:USC00091340,67
",,H,2400",TMIN,2018-01-01T00:00:00,GHCND:USC00091340,-17
",,H,2400",TOBS,2018-01-01T00:00:00,GHCND:USC00091340,-17
",,U,",TAVG,2018-01-01T00:00:00,GHCND:USR0000GSTE,14
"H,,U,",TMAX,2018-01-01T00:00:00,GHCND:USR0000GSTE,56
"H,,U,",TMIN,2018-01-01T00:00:00,GHCND:USR0000GSTE,-22
",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00013878,67
",,W,2400",PRCP,2018-01-01T00:00:00,GHCND:USW00013878,13
",,W,",SNOW,2018-01-01T00:00:00,GHCND:USW00013878,0
",,W,",SNWD,2018-01-01T00:00:00,GHCND:USW00013878,0
",,W,2400",TMAX,2018-01-01T00:00:00,GHCND:USW00013878,67
",,W,2400",TMIN,2018-01-01T00:00:00,GHCND:USW00013878,-10
",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00013878,20
",,W,",WDF5,2018-01-01T00:00:00,GHCND:USW00013878,30
",,W,",WSF2,2018-01-01T00:00:00,GHCND:USW00013878,98
",,W,",WSF5,2018-01-01T00:00:00,GHCND:USW00013878,139
",,W,",WT01,2018-01-01T00:00:00,GHCND:USW00013878,1
"T,,N,",PRCP,2018-01-02T00:00:00,GHCND:US1GAGN0007,0
",,H,2400",PRCP,2018-01-02T00:00:00,GHCND:USC00091340,0
",,H,2400",TMAX,2018-01-02T00:00:00,GHCND:USC00091340,17
",,H,2400",TMIN,2018-01-02T00:00:00,GHCND:USC00091340,-50
",,H,2400",TOBS,2018-01-02T00:00:00,GHCND:USC00091340,-11
",,U,",TAVG,2018-01-02T00:00:00,GHCND:USR0000GSTE,-14
"H,,U,",TMAX,2018-01-02T00:00:00,GHCND:USR0000GSTE,39
"H,,U,",TMIN,2018-01-02T00:00:00,GHCND:USR0000GSTE,-50
",,W,",AWND,2018-01-02T00:00:00,GHCND:USW00013878,60
",,W,2400",PRCP,2018-01-02T00:00:00,GHCND:USW00013878,0
",,W,",SNOW,2018-01-02T00:00:00,GHCND:USW00013878,0
",,W,",SNWD,2018-01-02T00:00:00,GHCND:USW00013878,0
",,W,2400",TMAX,2018-01-02T00:00:00,GHCND:USW00013878,28
",,W,2400",TMIN,2018-01-02T00:00:00,GHCND:USW00013878,-27
",,W,",WDF2,2018-01-02T00:00:00,GHCND:USW00013878,20
",,W,",WDF5,2018-01-02T00:00:00,GHCND:USW00013878,20
",,W,",WSF2,2018-01-02T00:00:00,GHCND:USW00013878,112
",,W,",WSF5,2018-01-02T00:00:00,GHCND:USW00013878,143
",,N,",PRCP,2018-01-03T00:00:00,GHCND:US1GAGN0007,41
",,H,2400",PRCP,2018-01-03T00:00:00,GHCND:USC00091340,206
",,H,2400",TMIN,2018-01-03T00:00:00,GHCND:USC00091340,-22
",,H,2400",TOBS,2018-01-03T00:00:00,GHCND:USC00091340,-22
",,U,",TAVG,2018-01-03T00:00:00,GHCND:USR0000GSTE,-12
"H,,U,",TMAX,2018-01-03T00:00:00,GHCND:USR0000GSTE,-6
"H,,U,",TMIN,2018-01-03T00:00:00,GHCND:USR0000GSTE,-17
",,W,",AWND,2018-01-03T00:00:00,GHCND:USW00013878,55
",,W,2400",PRCP,2018-01-03T00:00:00,GHCND:USW00013878,160
",,W,",SNOW,2018-01-03T00:00:00,GHCND:USW00013878,0
",,W,",SNWD,2018-01-03T00:00:00,GHCND:USW00013878,0
",,W,2400",TMAX,2018-01-03T00:00:00,GHCND:USW00013878,0
",,W,2400",TMIN,2018-01-03T00:00:00,GHCND:USW00013878,-16
",,W,",WDF2,2018-01-03T00:00:00,GHCND:USW00013878,10
",,W,",WDF5,2018-01-03T00:00:00,GHCND:USW00013878,330
",,W,",WSF2,2018-01-03T00:00:00,GHCND:USW00013878,72
",,W,",WSF5,2018-01-03T00:00:00,GHCND:USW00013878,103
",,W,",WT01,2018-01-03T00:00:00,GHCND:USW00013878,1
",,W,",WT06,2018-01-03T00:00:00,GHCND:USW00013878,1
",,N,",PRCP,2018-01-04T00:00:00,GHCND:US1GAGN0005,226
"T,,N,",PRCP,2018-01-04T00:00:00,GHCND:US1GAGN0007,0
",,H,2400",PRCP,2018-01-04T00:00:00,GHCND:USC00091340,0
",,H,2400",TMAX,2018-01-04T00:00:00,GHCND:USC00091340,56
",,H,2400",TMIN,2018-01-04T00:00:00,GHCND:USC00091340,-33
",,H,2400",TOBS,2018-01-04T00:00:00,GHCND:USC00091340,6
",,U,",TAVG,2018-01-04T00:00:00,GHCND:USR0000GSTE,14
"H,,U,",TMAX,2018-01-04T00:00:00,GHCND:USR0000GSTE,56
"H,,U,",TMIN,2018-01-04T00:00:00,GHCND:USR0000GSTE,-22
",,W,",AWND,2018-01-04T00:00:00,GHCND:USW00013878,50
",,W,2400",PRCP,2018-01-04T00:00:00,GHCND:USW00013878,0
",,W,",SNOW,2018-01-04T00:00:00,GHCND:USW00013878,0
",,W,",SNWD,2018-01-04T00:00:00,GHCND:USW00013878,0
",,W,2400",TMAX,2018-01-04T00:00:00,GHCND:USW00013878,61
",,W,2400",TMIN,2018-01-04T00:00:00,GHCND:USW00013878,-38
",,W,",WDF2,2018-01-04T00:00:00,GHCND:USW00013878,270
",,W,",WDF5,2018-01-04T00:00:00,GHCND:USW00013878,260
",,W,",WSF2,2018-01-04T00:00:00,GHCND:USW00013878,89
",,W,",WSF5,2018-01-04T00:00:00,GHCND:USW00013878,116
",,W,",WT08,2018-01-04T00:00:00,GHCND:USW00013878,1
",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1GAGN0005,0
",,N,",SNOW,2018-01-05T00:00:00,GHCND:US1GAGN0005,0
",,N,",PRCP,2018-01-05T00:00:00,GHCND:US1GAGN0007,0
",,N,",SNOW,2018-01-05T00:00:00,GHCND:US1GAGN0007,0
",,H,2400",PRCP,2018-01-05T00:00:00,GHCND:USC00091340,0
",,H,2400",TMAX,2018-01-05T00:00:00,GHCND:USC00091340,83
",,H,2400",TMIN,2018-01-05T00:00:00,GHCND:USC00091340,-39
",,H,2400",TOBS,2018-01-05T00:00:00,GHCND:USC00091340,22
",,U,",TAVG,2018-01-05T00:00:00,GHCND:USR0000GSTE,2
"H,,U,",TMAX,2018-01-05T00:00:00,GHCND:USR0000GSTE,94
"H,,U,",TMIN,2018-01-05T00:00:00,GHCND:USR0000GSTE,-61
",,W,",AWND,2018-01-05T00:00:00,GHCND:USW00013878,29
",,W,2400",PRCP,2018-01-05T00:00:00,GHCND:USW00013878,0
",,W,",SNOW,2018-01-05T00:00:00,GHCND:USW00013878,0
",,W,",SNWD,2018-01-05T00:00:00,GHCND:USW00013878,0
",,W,2400",TMAX,2018-01-05T00:00:00,GHCND:USW00013878,89
",,W,2400",TMIN,2018-01-05T00:00:00,GHCND:USW00013878,-32
",,W,",WDF2,2018-01-05T00:00:00,GHCND:USW00013878,270
",,W,",WDF5,2018-01-05T00:00:00,GHCND:USW00013878,320
",,W,",WSF2,2018-01-05T00:00:00,GHCND:USW00013878,58
",,W,",WSF5,2018-01-05T00:00:00,GHCND:USW00013878,89
",,N,",PRCP,2018-01-06T00:00:00,GHCND:US1GAGN0005,0
",,N,",SNOW,2018-01-06T00:00:00,GHCND:US1GAGN0005,0
",,N,",PRCP,2018-01-06T00:00:00,GHCND:US1GAGN0007,0
",,N,",SNOW,2018-01-06T00:00:00,GHCND:US1GAGN0007,0
",,H,2400",PRCP,2018-01-06T00:00:00,GHCND:USC00091340,0
",,H,2400",TMAX,2018-01-06T00:00:00,GHCND:USC00091340,83
",,H,2400",TMIN,2018-01-06T00:00:00,GHCND:USC00091340,-22
",,H,2400",TOBS,2018-01-06T00:00:00,GHCND:USC00091340,-6
",,U,",TAVG,2018-01-06T00:00:00,GHCND:USR0000GSTE,10
"H,,U,",TMAX,2018-01-06T00:00:00,GHCND:USR0000GSTE,100
"H,,U,",TMIN,2018-01-06T00:00:00,GHCND:USR0000GSTE,-44
",,W,",AWND,2018-01-06T00:00:00,GHCND:USW00013878,29
",,W,2400",PRCP,2018-01-06T00:00:00,GHCND:USW00013878,0
",,W,",SNOW,2018-01-06T00:00:00,GHCND:USW00013878,0
",,W,",SNWD,2018-01-06T00:00:00,GHCND:USW00013878,0
",,W,2400",TMAX,2018-01-06T00:00:00,GHCND:USW00013878,67
",,W,2400",TMIN,2018-01-06T00:00:00,GHCND:USW00013878,-10
",,W,",WDF2,2018-01-06T00:00:00,GHCND:USW00013878,60
",,W,",WDF5,2018-01-06T00:00:00,GHCND:USW00013878,360
",,W,",WSF2,2018-01-06T00:00:00,GHCND:USW00013878,58
",,W,",WSF5,2018-01-06T00:00:00,GHCND:USW00013878,76
",,N,",PRCP,2018-01-07T00:00:00,GHCND:US1GAGN0005,0
