attributes,datatype,date,station,value
",,T,",PRCP,2018-01-01T00:00:00,GHCND:USS0012D09S,0
",,T,",SNWD,2018-01-01T00:00:00,GHCND:USS0012D09S,610
",,T,",TAVG,2018-01-01T00:00:00,GHCND:USS0012D09S,-75
",,T,",TMAX,2018-01-01T00:00:00,GHCND:USS0012D09S,-19
",,T,",TMIN,2018-01-01T00:00:00,GHCND:USS0012D09S,-108
",,T,",TOBS,2018-01-01T00:00:00,GHCND:USS0012D09S,-101
",,T,",WESD,2018-01-01T00:00:00,GHCND:USS0012D09S,1524
",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00024135,11
",,W,2400",PRCP,2018-01-01T00:00:00,GHCND:USW00024135,0
",,H,",SNOW,2018-01-01T00:00:00,GHCND:USW00024135,0
",,H,",SNWD,2018-01-01T00:00:00,GHCND:USW00024135,0
"H,,S,",TAVG,2018-01-01T00:00:00,GHCND:USW00024135,-139
",,W,2400",TMAX,2018-01-01T00:00:00,GHCND:USW00024135,-66
",,W,2400",TMIN,2018-01-01T00:00:00,GHCND:USW00024135,-221
",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00024135,130
",,W,",WDF5,2018-01-01T00:00:00,GHCND:USW00024135,160
",,W,",WSF2,2018-01-01T00:00:00,GHCND:USW00024135,36
",,W,",WSF5,2018-01-01T00:00:00,GHCND:USW00024135,40
",,T,",PRCP,2018-01-02T00:00:00,GHCND:USS0012D09S,0
",,T,",SNWD,2018-01-02T00:00:00,GHCND:USS0012D09S,584
",,T,",TAVG,2018-01-02T00:00:00,GHCND:USS0012D09S,-51
",,T,",TMAX,2018-01-02T00:00:00,GHCND:USS0012D09S,3
",,T,",TMIN,2018-01-02T00:00:00,GHCND:USS0012D09S,-118
",,T,",TOBS,2018-01-02T00:00:00,GHCND:USS0012D09S,-42
",,T,",WESD,2018-01-02T00:00:00,GHCND:USS0012D09S,1549
",,W,",AWND,2018-01-02T00:00:00,GHCND:USW00024135,8
",,W,2400",PRCP,2018-01-02T00:00:00,GHCND:USW00024135,0
"H,,S,",TAVG,2018-01-02T00:00:00,GHCND:USW00024135,-177
",,W,2400",TMAX,2018-01-02T00:00:00,GHCND:USW00024135,-77
",,W,2400",TMIN,2018-01-02T00:00:00,GHCND:USW00024135,-243
",,W,",WDF2,2018-01-02T00:00:00,GHCND:USW00024135,140
",,W,",WDF5,2018-01-02T00:00:00,GHCND:USW00024135,160
",,W,",WSF2,2018-01-02T00:00:00,GHCND:USW00024135,31
",,W,",WSF5,2018-01-02T00:00:00,GHCND:USW00024135,31
",,W,",WT01,2018-01-02T00:00:00,GHCND:USW00024135,1
",,W,",WT08,2018-01-02T00:00:00,GHCND:USW00024135,1
",,T,",PRCP,2018-01-03T00:00:00,GHCND:USS0012D09S,25
",,T,",SNWD,2018-01-03T00:00:00,GHCND:USS0012D09S,584
",,T,",TAVG,2018-01-03T00:00:00,GHCND:USS0012D09S,-5
",,T,",TMAX,2018-01-03T00:00:00,GHCND:USS0012D09S,32
",,T,",TMIN,2018-01-03T00:00:00,GHCND:USS0012D09S,-44
",,T,",TOBS,2018-01-03T00:00:00,GHCND:USS0012D09S,-27
",,T,",WESD,2018-01-03T00:00:00,GHCND:USS0012D09S,1549
",,W,",AWND,2018-01-03T00:00:00,GHCND:USW00024135,8
",,W,2400",PRCP,2018-01-03T00:00:00,GHCND:USW00024135,0
"H,,S,",TAVG,2018-01-03T00:00:00,GHCND:USW00024135,-113
",,W,2400",TMAX,2018-01-03T00:00:00,GHCND:USW00024135,-27
",,W,2400",TMIN,2018-01-03T00:00:00,GHCND:USW00024135,-171
",,W,",WDF2,2018-01-03T00:00:00,GHCND:USW00024135,120
",,W,",WDF5,2018-01-03T00:00:00,GHCND:USW00024135,120
",,W,",WSF2,2018-01-03T00:00:00,GHCND:USW00024135,40
",,W,",WSF5,2018-01-03T00:00:00,GHCND:USW00024135,45
",,W,",WT01,2018-01-03T00:00:00,GHCND:USW00024135,1
",,T,",PRCP,2018-01-04T00:00:00,GHCND:USS0012D09S,0
",,T,",SNWD,2018-01-04T00:00:00,GHCND:USS0012D09S,584
",,T,",TAVG,2018-01-04T00:00:00,GHCND:USS0012D09S,-4
",,T,",TMAX,2018-01-04T00:00:00,GHCND:USS0012D09S,30
",,T,",TMIN,2018-01-04T00:00:00,GHCND:USS0012D09S,-46
",,T,",TOBS,2018-01-04T00:00:00,GHCND:USS0012D09S,19
",,T,",WESD,2018-01-04T00:00:00,GHCND:USS0012D09S,1549
",,W,",AWND,2018-01-04T00:00:00,GHCND:USW00024135,7
"T,,W,2400",PRCP,2018-01-04T00:00:00,GHCND:USW00024135,0
"H,,S,",TAVG,2018-01-04T00:00:00,GHCND:USW00024135,-101
",,W,2400",TMAX,2018-01-04T00:00:00,GHCND:USW00024135,-38
",,W,2400",TMIN,2018-01-04T00:00:00,GHCND:USW00024135,-166
",,W,",WDF2,2018-01-04T00:00:00,GHCND:USW00024135,120
",,W,",WDF5,2018-01-04T00:00:00,GHCND:USW00024135,120
",,W,",WSF2,2018-01-04T00:00:00,GHCND:USW00024135,31
",,W,",WSF5,2018-01-04T00:00:00,GHCND:USW00024135,31
",,W,",WT01,2018-01-04T00:00:00,GHCND:USW00024135,1
",,W,",WT02,2018-01-04T00:00:00,GHCND:USW00024135,1
",,W,",WT08,2018-01-04T00:00:00,GHCND:USW00024135,1
",,T,",PRCP,2018-01-05T00:00:00,GHCND:USS0012D09S,25
",,T,",SNWD,2018-01-05T00:00:00,GHCND:USS0012D09S,584
",,T,",TAVG,2018-01-05T00:00:00,GHCND:USS0012D09S,26
",,T,",TMAX,2018-01-05T00:00:00,GHCND:USS0012D09S,58
",,T,",TMIN,2018-01-05T00:00:00,GHCND:USS0012D09S,4
",,T,",TOBS,2018-01-05T00:00:00,GHCND:USS0012D09S,10
",,T,",WESD,2018-01-05T00:00:00,GHCND:USS0012D09S,1549
",,W,",AWND,2018-01-05T00:00:00,GHCND:USW00024135,11
",,W,2400",PRCP,2018-01-05T00:00:00,GHCND:USW00024135,0
"H,,S,",TAVG,2018-01-05T00:00:00,GHCND:USW00024135,-23
",,W,2400",TMAX,2018-01-05T00:00:00,GHCND:USW00024135,67
",,W,2400",TMIN,2018-01-05T00:00:00,GHCND:USW00024135,-49
",,W,",WDF2,2018-01-05T00:00:00,GHCND:USW00024135,290
",,W,",WDF5,2018-01-05T00:00:00,GHCND:USW00024135,290
",,W,",WSF2,2018-01-05T00:00:00,GHCND:USW00024135,54
",,W,",WSF5,2018-01-05T00:00:00,GHCND:USW00024135,72
",,T,",PRCP,2018-01-06T00:00:00,GHCND:USS0012D09S,0
",,T,",SNWD,2018-01-06T00:00:00,GHCND:USS0012D09S,559
",,T,",TAVG,2018-01-06T00:00:00,GHCND:USS0012D09S,9
",,T,",TMAX,2018-01-06T00:00:00,GHCND:USS0012D09S,37
",,T,",TMIN,2018-01-06T00:00:00,GHCND:USS0012D09S,-18
",,T,",TOBS,2018-01-06T00:00:00,GHCND:USS0012D09S,-10
",,T,",WESD,2018-01-06T00:00:00,GHCND:USS0012D09S,1549
",,W,",AWND,2018-01-06T00:00:00,GHCND:USW00024135,26
",,W,2400",PRCP,2018-01-06T00:00:00,GHCND:USW00024135,0
"H,,S,",TAVG,2018-01-06T00:00:00,GHCND:USW00024135,23
",,W,2400",TMAX,2018-01-06T00:00:00,GHCND:USW00024135,56
