,attributes,datatype,date,station,value
0,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1WYNT0004,0
1,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1WYNT0004,0
2,"T,,N,",PRCP,2018-01-01T00:00:00,GHCND:US1WYNT0024,0
3,"T,,N,",SNOW,2018-01-01T00:00:00,GHCND:US1WYNT0024,0
4,",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1WYNT0024,127
5,",,N,",WESD,2018-01-01T00:00:00,GHCND:US1WYNT0024,124
6,"T,,N,",WESF,2018-01-01T00:00:00,GHCND:US1WYNT0024,0
7,"T,,N,",PRCP,2018-01-01T00:00:00,GHCND:US1WYNT0028,0
8,"T,,N,",SNOW,2018-01-01T00:00:00,GHCND:US1WYNT0028,0
9,",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1WYNT0028,25
10,",,N,",WESD,2018-01-01T00:00:00,GHCND:US1WYNT0028,18
11,"T,,N,",WESF,2018-01-01T00:00:00,GHCND:US1WYNT0028,0
12,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1WYNT0035,0
13,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1WYNT0035,0
14,",,N,",SNWD,2018-01-01T00:00:00,GHCND:US1WYNT0035,38
15,"T,,N,",PRCP,2018-01-01T00:00:00,GHCND:US1WYNT0050,0
16,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1WYNT0053,0
17,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1WYNT0053,0
18,",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1WYNT0071,0
19,",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1WYNT0071,0
20,",,7,0700",PRCP,2018-01-01T00:00:00,GHCND:USC00480552,0
21,",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00480552,0
22,",,7,0700",SNWD,2018-01-01T00:00:00,GHCND:USC00480552,51
23,",,7,0700",TMAX,2018-01-01T00:00:00,GHCND:USC00480552,-17
24,",,7,0700",TMIN,2018-01-01T00:00:00,GHCND:USC00480552,-167
25,",,7,0700",PRCP,2018-01-01T00:00:00,GHCND:USC00481569,0
26,",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00481569,0
27,",,7,0700",TMAX,2018-01-01T00:00:00,GHCND:USC00481569,-139
28,",,7,0700",TMIN,2018-01-01T00:00:00,GHCND:USC00481569,-244
29,"T,,7,0700",PRCP,2018-01-01T00:00:00,GHCND:USC00481572,0
30,"T,,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00481572,0
31,",,7,0700",SNWD,2018-01-01T00:00:00,GHCND:USC00481572,102
32,",,7,0700",TMAX,2018-01-01T00:00:00,GHCND:USC00481572,-150
33,",,7,0700",TMIN,2018-01-01T00:00:00,GHCND:USC00481572,-233
34,",,7,0700",TOBS,2018-01-01T00:00:00,GHCND:USC00481572,-200
35,",,U,",TAVG,2018-01-01T00:00:00,GHCND:USR0000WCAS,-78
36,"H,,U,",TMAX,2018-01-01T00:00:00,GHCND:USR0000WCAS,6
37,"H,,U,",TMIN,2018-01-01T00:00:00,GHCND:USR0000WCAS,-133
38,",,T,",PRCP,2018-01-01T00:00:00,GHCND:USS0006G01S,0
39,",,T,",SNWD,2018-01-01T00:00:00,GHCND:USS0006G01S,406
40,",,T,",TAVG,2018-01-01T00:00:00,GHCND:USS0006G01S,-73
41,",,T,",TMAX,2018-01-01T00:00:00,GHCND:USS0006G01S,-30
42,",,T,",TMIN,2018-01-01T00:00:00,GHCND:USS0006G01S,-144
43,",,T,",TOBS,2018-01-01T00:00:00,GHCND:USS0006G01S,-142
44,",,T,",WESD,2018-01-01T00:00:00,GHCND:USS0006G01S,965
45,",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00024089,16
46,",,W,2400",PRCP,2018-01-01T00:00:00,GHCND:USW00024089,0
47,",,W,",SNOW,2018-01-01T00:00:00,GHCND:USW00024089,0
48,",,W,",SNWD,2018-01-01T00:00:00,GHCND:USW00024089,150
49,"H,,S,",TAVG,2018-01-01T00:00:00,GHCND:USW00024089,-210
50,",,W,2400",TMAX,2018-01-01T00:00:00,GHCND:USW00024089,-121
51,",,W,2400",TMIN,2018-01-01T00:00:00,GHCND:USW00024089,-282
52,",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00024089,250
53,",,W,",WDF5,2018-01-01T00:00:00,GHCND:USW00024089,240
54,",,W,",WSF2,2018-01-01T00:00:00,GHCND:USW00024089,67
55,",,W,",WSF5,2018-01-01T00:00:00,GHCND:USW00024089,76
56,",,W,",WT01,2018-01-01T00:00:00,GHCND:USW00024089,1
57,",,W,",WT08,2018-01-01T00:00:00,GHCND:USW00024089,1
58,",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1WYNT0004,0
59,",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1WYNT0004,0
60,",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1WYNT0024,0
61,",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1WYNT0024,0
62,",,N,",SNWD,2018-01-02T00:00:00,GHCND:US1WYNT0024,127
63,",,N,",WESD,2018-01-02T00:00:00,GHCND:US1WYNT0024,124
64,",,N,",WESF,2018-01-02T00:00:00,GHCND:US1WYNT0024,0
65,",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1WYNT0028,0
66,",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1WYNT0028,0
67,",,N,",SNWD,2018-01-02T00:00:00,GHCND:US1WYNT0028,13
68,",,N,",WESD,2018-01-02T00:00:00,GHCND:US1WYNT0028,15
69,",,N,",WESF,2018-01-02T00:00:00,GHCND:US1WYNT0028,0
70,",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1WYNT0035,0
71,",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1WYNT0035,0
72,",,N,",SNWD,2018-01-02T00:00:00,GHCND:US1WYNT0035,25
73,",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1WYNT0053,0
74,",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1WYNT0053,0
75,",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1WYNT0071,0
76,",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1WYNT0071,0
77,",,7,0700",PRCP,2018-01-02T00:00:00,GHCND:USC00480552,0
78,",,7,",SNOW,2018-01-02T00:00:00,GHCND:USC00480552,0
79,",,7,0700",SNWD,2018-01-02T00:00:00,GHCND:USC00480552,51
80,",,7,0700",TMAX,2018-01-02T00:00:00,GHCND:USC00480552,22
81,",,7,0700",TMIN,2018-01-02T00:00:00,GHCND:USC00480552,-178
82,",,7,0700",PRCP,2018-01-02T00:00:00,GHCND:USC00481569,25
