attributes,datatype,date,station,value
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1UTIR0001,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1UTIR0001,0
",,N,",PRCP,2018-01-01T00:00:00,GHCND:US1UTIR0005,0
",,N,",SNOW,2018-01-01T00:00:00,GHCND:US1UTIR0005,0
",,7,0700",PRCP,2018-01-01T00:00:00,GHCND:USC00421259,0
",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00421259,0
",,7,0700",SNWD,2018-01-01T00:00:00,GHCND:USC00421259,0
",,7,0700",TMAX,2018-01-01T00:00:00,GHCND:USC00421259,89
",,7,0700",TMIN,2018-01-01T00:00:00,GHCND:USC00421259,-44
",,7,0700",TOBS,2018-01-01T00:00:00,GHCND:USC00421259,-39
",,7,0900",PRCP,2018-01-01T00:00:00,GHCND:USC00421260,0
",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00421260,0
",,7,0900",SNWD,2018-01-01T00:00:00,GHCND:USC00421260,0
",,7,0900",TMIN,2018-01-01T00:00:00,GHCND:USC00421260,-22
",,7,0900",TOBS,2018-01-01T00:00:00,GHCND:USC00421260,83
",,7,0800",PRCP,2018-01-01T00:00:00,GHCND:USC00428456,0
",,7,",SNOW,2018-01-01T00:00:00,GHCND:USC00428456,0
",,7,",SNWD,2018-01-01T00:00:00,GHCND:USC00428456,0
",,T,",PRCP,2018-01-01T00:00:00,GHCND:USS0012M14S,0
",,T,",SNWD,2018-01-01T00:00:00,GHCND:USS0012M14S,76
",,T,",TAVG,2018-01-01T00:00:00,GHCND:USS0012M14S,-1
",,T,",TMAX,2018-01-01T00:00:00,GHCND:USS0012M14S,51
",,T,",TMIN,2018-01-01T00:00:00,GHCND:USS0012M14S,-32
",,T,",TOBS,2018-01-01T00:00:00,GHCND:USS0012M14S,-29
",,T,",WESD,2018-01-01T00:00:00,GHCND:USS0012M14S,178
",,T,",PRCP,2018-01-01T00:00:00,GHCND:USS0012M17S,0
",,T,",SNWD,2018-01-01T00:00:00,GHCND:USS0012M17S,51
",,T,",TAVG,2018-01-01T00:00:00,GHCND:USS0012M17S,-4
",,T,",TMAX,2018-01-01T00:00:00,GHCND:USS0012M17S,94
",,T,",TMIN,2018-01-01T00:00:00,GHCND:USS0012M17S,-59
",,T,",TOBS,2018-01-01T00:00:00,GHCND:USS0012M17S,-41
",,T,",WESD,2018-01-01T00:00:00,GHCND:USS0012M17S,102
",,W,",AWND,2018-01-01T00:00:00,GHCND:USW00093129,13
",,W,2400",PRCP,2018-01-01T00:00:00,GHCND:USW00093129,0
",,H,",SNOW,2018-01-01T00:00:00,GHCND:USW00093129,0
",,H,",SNWD,2018-01-01T00:00:00,GHCND:USW00093129,0
",,W,2400",TMAX,2018-01-01T00:00:00,GHCND:USW00093129,122
",,W,2400",TMIN,2018-01-01T00:00:00,GHCND:USW00093129,-82
",,W,",WDF2,2018-01-01T00:00:00,GHCND:USW00093129,350
",,W,",WDF5,2018-01-01T00:00:00,GHCND:USW00093129,360
",,W,",WSF2,2018-01-01T00:00:00,GHCND:USW00093129,31
",,W,",WSF5,2018-01-01T00:00:00,GHCND:USW00093129,40
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1UTIR0001,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1UTIR0001,0
",,N,",PRCP,2018-01-02T00:00:00,GHCND:US1UTIR0005,0
",,N,",SNOW,2018-01-02T00:00:00,GHCND:US1UTIR0005,0
",,7,0700",PRCP,2018-01-02T00:00:00,GHCND:USC00421259,0
",,7,",SNOW,2018-01-02T00:00:00,GHCND:USC00421259,0
",,7,0700",SNWD,2018-01-02T00:00:00,GHCND:USC00421259,0
",,7,0700",TMAX,2018-01-02T00:00:00,GHCND:USC00421259,122
",,7,0700",TMIN,2018-01-02T00:00:00,GHCND:USC00421259,-39
",,7,0700",TOBS,2018-01-02T00:00:00,GHCND:USC00421259,-22
",,7,0900",PRCP,2018-01-02T00:00:00,GHCND:USC00421260,0
",,7,",SNOW,2018-01-02T00:00:00,GHCND:USC00421260,0
",,7,0900",SNWD,2018-01-02T00:00:00,GHCND:USC00421260,0
",,7,0900",TMAX,2018-01-02T00:00:00,GHCND:USC00421260,117
",,7,0900",TMIN,2018-01-02T00:00:00,GHCND:USC00421260,-39
",,7,0900",TOBS,2018-01-02T00:00:00,GHCND:USC00421260,22
",,7,0800",PRCP,2018-01-02T00:00:00,GHCND:USC00428456,0
",,7,",SNOW,2018-01-02T00:00:00,GHCND:USC00428456,0
",,7,",SNWD,2018-01-02T00:00:00,GHCND:USC00428456,0
",,T,",PRCP,2018-01-02T00:00:00,GHCND:USS0012M14S,0
",,T,",SNWD,2018-01-02T00:00:00,GHCND:USS0012M14S,76
",,T,",TAVG,2018-01-02T00:00:00,GHCND:USS0012M14S,-3
",,T,",TMAX,2018-01-02T00:00:00,GHCND:USS0012M14S,31
",,T,",TMIN,2018-01-02T00:00:00,GHCND:USS0012M14S,-47
",,T,",TOBS,2018-01-02T00:00:00,GHCND:USS0012M14S,25
",,T,",WESD,2018-01-02T00:00:00,GHCND:USS0012M14S,178
",,T,",PRCP,2018-01-02T00:00:00,GHCND:USS0012M17S,0
",,T,",SNWD,2018-01-02T00:00:00,GHCND:USS0012M17S,51
",,T,",TAVG,2018-01-02T00:00:00,GHCND:USS0012M17S,-4
",,T,",TMAX,2018-01-02T00:00:00,GHCND:USS0012M17S,69
",,T,",TMIN,2018-01-02T00:00:00,GHCND:USS0012M17S,-56
